Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-12-01,0,Leeds,Briggate,,Thursday,2016,4,December,48,250,0,250,0,0,0,250,0,250
2016-12-01,0,Leeds,"Briggate at McDonalds	",,Thursday,2016,4,December,48,130,118,248,0,0,0,130,118,248
2016-12-01,0,Leeds,Commercial Street at Sharps,,Thursday,2016,4,December,48,50,0,50,0,0,0,50,0,50
2016-12-01,0,Leeds,Commercial Street at Barratts,,Thursday,2016,4,December,48,0,0,0,0,0,0,0,0,0
2016-12-01,0,Leeds,Headrow,,Thursday,2016,4,December,48,80,0,80,0,0,0,80,0,80
2016-12-01,0,Leeds,"Dortmund Square	",,Thursday,2016,4,December,48,54,0,54,0,0,0,54,0,54
2016-12-01,0,Leeds,Albion Street South,,Thursday,2016,4,December,48,47,0,47,0,0,0,47,0,47
2016-12-01,0,Leeds,Albion Street North,,Thursday,2016,4,December,48,153,0,153,0,0,0,153,0,153
2016-12-01,1,Leeds,Briggate,,Thursday,2016,4,December,48,149,0,149,0,0,0,149,0,149
2016-12-01,1,Leeds,"Briggate at McDonalds	",,Thursday,2016,4,December,48,60,72,132,0,0,0,60,72,132
2016-12-01,1,Leeds,Commercial Street at Sharps,,Thursday,2016,4,December,48,34,0,34,0,0,0,34,0,34
2016-12-01,1,Leeds,Commercial Street at Barratts,,Thursday,2016,4,December,48,0,0,0,0,0,0,0,0,0
2016-12-01,1,Leeds,Headrow,,Thursday,2016,4,December,48,40,0,40,0,0,0,40,0,40
2016-12-01,1,Leeds,"Dortmund Square	",,Thursday,2016,4,December,48,41,0,41,0,0,0,41,0,41
2016-12-01,1,Leeds,Albion Street South,,Thursday,2016,4,December,48,31,0,31,0,0,0,31,0,31
2016-12-01,1,Leeds,Albion Street North,,Thursday,2016,4,December,48,164,0,164,0,0,0,164,0,164
2016-12-01,2,Leeds,Briggate,,Thursday,2016,4,December,48,197,0,197,0,0,0,197,0,197
2016-12-01,2,Leeds,"Briggate at McDonalds	",,Thursday,2016,4,December,48,56,67,123,0,0,0,56,67,123
2016-12-01,2,Leeds,Commercial Street at Sharps,,Thursday,2016,4,December,48,21,0,21,0,0,0,21,0,21
2016-12-01,2,Leeds,Commercial Street at Barratts,,Thursday,2016,4,December,48,0,0,0,0,0,0,0,0,0
2016-12-01,2,Leeds,Headrow,,Thursday,2016,4,December,48,34,0,34,0,0,0,34,0,34
2016-12-01,2,Leeds,"Dortmund Square	",,Thursday,2016,4,December,48,33,0,33,0,0,0,33,0,33
2016-12-01,2,Leeds,Albion Street South,,Thursday,2016,4,December,48,74,0,74,0,0,0,74,0,74
2016-12-01,2,Leeds,Albion Street North,,Thursday,2016,4,December,48,228,0,228,0,0,0,228,0,228
2016-12-01,3,Leeds,Briggate,,Thursday,2016,4,December,48,81,0,81,0,0,0,81,0,81
2016-12-01,3,Leeds,"Briggate at McDonalds	",,Thursday,2016,4,December,48,15,44,59,0,0,0,15,44,59
2016-12-01,3,Leeds,Commercial Street at Sharps,,Thursday,2016,4,December,48,14,0,14,0,0,0,14,0,14
2016-12-01,3,Leeds,Commercial Street at Barratts,,Thursday,2016,4,December,48,0,0,0,0,0,0,0,0,0
2016-12-01,3,Leeds,Headrow,,Thursday,2016,4,December,48,24,0,24,0,0,0,24,0,24
2016-12-01,3,Leeds,"Dortmund Square	",,Thursday,2016,4,December,48,31,0,31,0,0,0,31,0,31
2016-12-01,3,Leeds,Albion Street South,,Thursday,2016,4,December,48,18,0,18,0,0,0,18,0,18
2016-12-01,3,Leeds,Albion Street North,,Thursday,2016,4,December,48,222,0,222,0,0,0,222,0,222
2016-12-01,4,Leeds,Briggate,,Thursday,2016,4,December,48,47,0,47,0,0,0,47,0,47
2016-12-01,4,Leeds,"Briggate at McDonalds	",,Thursday,2016,4,December,48,31,20,51,0,0,0,31,20,51
2016-12-01,4,Leeds,Commercial Street at Sharps,,Thursday,2016,4,December,48,18,0,18,0,0,0,18,0,18
2016-12-01,4,Leeds,Commercial Street at Barratts,,Thursday,2016,4,December,48,0,0,0,0,0,0,0,0,0
2016-12-01,4,Leeds,Headrow,,Thursday,2016,4,December,48,13,0,13,0,0,0,13,0,13
2016-12-01,4,Leeds,"Dortmund Square	",,Thursday,2016,4,December,48,21,0,21,0,0,0,21,0,21
2016-12-01,4,Leeds,Albion Street South,,Thursday,2016,4,December,48,0,0,0,0,0,0,0,0,0
2016-12-01,4,Leeds,Albion Street North,,Thursday,2016,4,December,48,219,0,219,0,0,0,219,0,219
2016-12-01,5,Leeds,Briggate,,Thursday,2016,4,December,48,99,0,99,0,0,0,99,0,99
2016-12-01,5,Leeds,"Briggate at McDonalds	",,Thursday,2016,4,December,48,68,33,101,0,0,0,68,33,101
2016-12-01,5,Leeds,Commercial Street at Sharps,,Thursday,2016,4,December,48,62,0,62,0,0,0,62,0,62
2016-12-01,5,Leeds,Commercial Street at Barratts,,Thursday,2016,4,December,48,78,0,78,0,0,0,78,0,78
2016-12-01,5,Leeds,Headrow,,Thursday,2016,4,December,48,27,0,27,0,0,0,27,0,27
2016-12-01,5,Leeds,"Dortmund Square	",,Thursday,2016,4,December,48,28,0,28,0,0,0,28,0,28
2016-12-01,5,Leeds,Albion Street South,,Thursday,2016,4,December,48,32,0,32,0,0,0,32,0,32
2016-12-01,5,Leeds,Albion Street North,,Thursday,2016,4,December,48,144,0,144,0,0,0,144,0,144
2016-12-01,6,Leeds,Briggate,,Thursday,2016,4,December,48,278,0,278,0,0,0,278,0,278
2016-12-01,6,Leeds,"Briggate at McDonalds	",,Thursday,2016,4,December,48,155,115,270,0,0,0,155,115,270
2016-12-01,6,Leeds,Commercial Street at Sharps,,Thursday,2016,4,December,48,145,0,145,0,0,0,145,0,145
2016-12-01,6,Leeds,Commercial Street at Barratts,,Thursday,2016,4,December,48,78,0,78,0,0,0,78,0,78
2016-12-01,6,Leeds,Headrow,,Thursday,2016,4,December,48,85,0,85,0,0,0,85,0,85
2016-12-01,6,Leeds,"Dortmund Square	",,Thursday,2016,4,December,48,143,0,143,0,0,0,143,0,143
2016-12-01,6,Leeds,Albion Street South,,Thursday,2016,4,December,48,53,0,53,0,0,0,53,0,53
2016-12-01,6,Leeds,Albion Street North,,Thursday,2016,4,December,48,42,0,42,0,0,0,42,0,42
