Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-05-30,0,Leeds,Briggate,,Monday,2016,2,June,22,173,0,173,0,0,0,173,0,173
2016-05-30,0,Leeds,"Briggate at McDonalds	",,Monday,2016,2,June,22,42,0,42,0,0,0,42,0,42
2016-05-30,0,Leeds,Commercial Street at Sharps,,Monday,2016,2,June,22,151,0,151,0,0,0,151,0,151
2016-05-30,0,Leeds,Commercial Street at Barratts,,Monday,2016,2,June,22,20,0,20,0,0,0,20,0,20
2016-05-30,0,Leeds,Headrow,,Monday,2016,2,June,22,263,0,263,0,0,0,263,0,263
2016-05-30,0,Leeds,"Dortmund Square	",,Monday,2016,2,June,22,175,0,175,0,0,0,175,0,175
2016-05-30,0,Leeds,Albion Street South,,Monday,2016,2,June,22,15,0,15,0,0,0,15,0,15
2016-05-30,0,Leeds,Albion Street North,,Monday,2016,2,June,22,13,0,13,0,0,0,13,0,13
2016-05-30,1,Leeds,Briggate,,Monday,2016,2,June,22,138,0,138,0,0,0,138,0,138
2016-05-30,1,Leeds,"Briggate at McDonalds	",,Monday,2016,2,June,22,33,0,33,0,0,0,33,0,33
2016-05-30,1,Leeds,Commercial Street at Sharps,,Monday,2016,2,June,22,53,0,53,0,0,0,53,0,53
2016-05-30,1,Leeds,Commercial Street at Barratts,,Monday,2016,2,June,22,0,0,0,0,0,0,0,0,0
2016-05-30,1,Leeds,Headrow,,Monday,2016,2,June,22,212,0,212,0,0,0,212,0,212
2016-05-30,1,Leeds,"Dortmund Square	",,Monday,2016,2,June,22,173,0,173,0,0,0,173,0,173
2016-05-30,1,Leeds,Albion Street South,,Monday,2016,2,June,22,7,0,7,0,0,0,7,0,7
2016-05-30,1,Leeds,Albion Street North,,Monday,2016,2,June,22,1,0,1,0,0,0,1,0,1
2016-05-30,2,Leeds,Briggate,,Monday,2016,2,June,22,133,0,133,0,0,0,133,0,133
2016-05-30,2,Leeds,"Briggate at McDonalds	",,Monday,2016,2,June,22,11,0,11,0,0,0,11,0,11
2016-05-30,2,Leeds,Commercial Street at Sharps,,Monday,2016,2,June,22,49,0,49,0,0,0,49,0,49
2016-05-30,2,Leeds,Commercial Street at Barratts,,Monday,2016,2,June,22,0,0,0,0,0,0,0,0,0
2016-05-30,2,Leeds,Headrow,,Monday,2016,2,June,22,143,0,143,0,0,0,143,0,143
2016-05-30,2,Leeds,"Dortmund Square	",,Monday,2016,2,June,22,113,0,113,0,0,0,113,0,113
