Site,Location,BRCYear,BRCMonthName,BRCWeek,DayOfWeek,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,0,23,0,23,23,0,23,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,1,13,0,13,13,0,13,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,2,0,0,0,0,0,0,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,3,0,0,0,0,0,0,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,4,18,0,18,18,0,18,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,5,48,0,48,48,0,48,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,6,99,0,99,99,0,99,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,7,316,0,316,316,0,316,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,8,1252,0,1252,1252,0,1252,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,9,1616,0,1616,1616,0,1616,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,10,2346,0,2346,2346,0,2346,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,11,2644,0,2644,2644,0,2644,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,12,2474,0,2474,2474,0,2474,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,13,1857,0,1857,1857,0,1857,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,14,1268,0,1268,1268,0,1268,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,15,1330,0,1330,1330,0,1330,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,16,1262,0,1262,1262,0,1262,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,17,1254,0,1254,1254,0,1254,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,18,724,0,724,724,0,724,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,19,328,0,328,328,0,328,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,20,151,0,151,151,0,151,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,21,84,0,84,84,0,84,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,22,123,0,123,123,0,123,,,
Leeds,Albion Street North,2016,November,44,Tuesday,01-Nov-16,23,138,0,138,138,0,138,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,0,26,0,26,26,0,26,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,1,24,0,24,24,0,24,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,2,150,0,150,150,0,150,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,3,127,0,127,127,0,127,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,4,138,0,138,138,0,138,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,5,109,0,109,109,0,109,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,6,35,0,35,35,0,35,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,7,173,0,173,173,0,173,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,8,697,0,697,697,0,697,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,9,534,0,534,534,0,534,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,10,783,0,783,783,0,783,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,11,1393,0,1393,1393,0,1393,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,12,2394,0,2394,2394,0,2394,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,13,2757,0,2757,2757,0,2757,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,14,2187,0,2187,2187,0,2187,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,15,1718,0,1718,1718,0,1718,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,16,1201,0,1201,1201,0,1201,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,17,1188,0,1188,1188,0,1188,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,18,739,0,739,739,0,739,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,19,507,0,507,507,0,507,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,20,243,0,243,243,0,243,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,21,217,0,217,217,0,217,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,22,171,0,171,171,0,171,,,
Leeds,Albion Street North,2016,November,44,Wednesday,02-Nov-16,23,112,0,112,112,0,112,,,
Leeds,Albion Street North,2016,November,44,Thursday,03-Nov-16,0,191,0,191,191,0,191,,,
Leeds,Albion Street North,2016,November,44,Thursday,03-Nov-16,1,203,0,203,203,0,203,,,
Leeds,Albion Street North,2016,November,44,Thursday,03-Nov-16,2,284,0,284,284,0,284,,,
Leeds,Albion Street North,2016,November,44,Thursday,03-Nov-16,3,277,0,277,277,0,277,,,
Leeds,Albion Street North,2016,November,44,Thursday,03-Nov-16,4,272,0,272,272,0,272,,,
Leeds,Albion Street North,2016,November,44,Thursday,03-Nov-16,5,180,0,180,180,0,180,,,
