Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,00:00,54,0,54,54,0,54
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,01:00,16,0,16,16,0,16
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,02:00,13,0,13,13,0,13
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,03:00,24,0,24,24,0,24
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,04:00,65,0,65,65,0,65
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,05:00,81,0,81,81,0,81
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,06:00,188,0,188,188,0,188
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,07:00,823,0,823,823,0,823
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,08:00,1715,0,1715,1715,0,1715
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,09:00,1239,0,1239,1239,0,1239
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,10:00,1497,0,1497,1497,0,1497
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,11:00,2392,0,2392,2392,0,2392
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,12:00,4432,0,4432,4432,0,4432
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,13:00,4904,0,4904,4904,0,4904
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,14:00,3824,0,3824,3824,0,3824
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,15:00,3324,0,3324,3324,0,3324
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,16:00,3982,0,3982,3982,0,3982
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,17:00,5381,0,5381,5381,0,5381
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,18:00,2222,0,2222,2222,0,2222
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,19:00,1299,0,1299,1299,0,1299
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,20:00,612,0,612,612,0,612
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,21:00,318,0,318,318,0,318
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,22:00,197,0,197,197,0,197
Leeds,Albion Street North,2017,August,31,Tuesday,01-Aug-17,23:00,105,0,105,105,0,105
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,00:00,53,0,53,53,0,53
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,01:00,12,0,12,12,0,12
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,02:00,11,0,11,11,0,11
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,03:00,13,0,13,13,0,13
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,04:00,4,0,4,4,0,4
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,05:00,45,0,45,45,0,45
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,06:00,219,0,219,219,0,219
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,07:00,790,0,790,790,0,790
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,08:00,1772,0,1772,1772,0,1772
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,09:00,1153,0,1153,1153,0,1153
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,10:00,1479,0,1479,1479,0,1479
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,11:00,2282,0,2282,2282,0,2282
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,12:00,3423,0,3423,3423,0,3423
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,13:00,4256,0,4256,4256,0,4256
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,14:00,3342,0,3342,3342,0,3342
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,15:00,3511,0,3511,3511,0,3511
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,16:00,4068,0,4068,4068,0,4068
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,17:00,4181,0,4181,4181,0,4181
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,18:00,2591,0,2591,2591,0,2591
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,19:00,1384,0,1384,1384,0,1384
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,20:00,656,0,656,656,0,656
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,21:00,262,0,262,262,0,262
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,22:00,85,0,85,85,0,85
Leeds,Albion Street North,2017,August,31,Wednesday,02-Aug-17,23:00,260,0,260,260,0,260
Leeds,Albion Street North,2017,August,31,Thursday,03-Aug-17,00:00,36,0,36,36,0,36
Leeds,Albion Street North,2017,August,31,Thursday,03-Aug-17,01:00,24,0,24,24,0,24
Leeds,Albion Street North,2017,August,31,Thursday,03-Aug-17,02:00,11,0,11,11,0,11
