Site,Location,BRCYear,BRCMonthName,BRCWeek,DayOfWeek,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,00:00,197,0,197,197,0,197
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,01:00,195,0,195,195,0,195
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,02:00,279,0,279,279,0,279
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,03:00,232,0,232,232,0,232
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,04:00,213,0,213,213,0,213
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,05:00,92,0,92,92,0,92
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,06:00,82,0,82,82,0,82
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,07:00,46,0,46,46,0,46
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,08:00,135,0,135,135,0,135
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,09:00,602,0,602,602,0,602
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,10:00,1219,0,1219,1219,0,1219
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,11:00,1887,0,1887,1887,0,1887
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,12:00,2556,0,2556,2556,0,2556
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,13:00,2649,0,2649,2649,0,2649
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,14:00,2803,0,2803,2803,0,2803
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,15:00,2267,0,2267,2267,0,2267
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,16:00,1723,0,1723,1723,0,1723
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,17:00,1195,0,1195,1195,0,1195
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,18:00,740,0,740,740,0,740
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,19:00,478,0,478,478,0,478
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,20:00,414,0,414,414,0,414
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,21:00,310,0,310,310,0,310
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,22:00,372,0,372,372,0,372
Leeds,Albion Street North,2017,March,13,Saturday,01-Apr-17,23:00,433,0,433,433,0,433
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,00:00,30,0,30,30,0,30
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,01:00,242,0,242,242,0,242
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,02:00,192,0,192,192,0,192
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,03:00,189,0,189,189,0,189
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,04:00,140,0,140,140,0,140
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,05:00,78,0,78,78,0,78
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,06:00,59,0,59,59,0,59
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,07:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,08:00,38,0,38,38,0,38
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,09:00,167,0,167,167,0,167
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,10:00,425,0,425,425,0,425
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,11:00,1332,0,1332,1332,0,1332
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,12:00,1190,0,1190,1190,0,1190
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,13:00,1372,0,1372,1372,0,1372
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,14:00,1436,0,1436,1436,0,1436
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,15:00,1157,0,1157,1157,0,1157
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,16:00,788,0,788,788,0,788
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,17:00,397,0,397,397,0,397
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,18:00,349,0,349,349,0,349
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,19:00,277,0,277,277,0,277
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,20:00,257,0,257,257,0,257
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,21:00,146,0,146,146,0,146
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,22:00,177,0,177,177,0,177
Leeds,Albion Street North,2017,March,13,Sunday,02-Apr-17,23:00,87,0,87,87,0,87
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,00:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,01:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,02:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,03:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,04:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,05:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,06:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,07:00,112,0,112,112,0,112
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,08:00,586,0,586,586,0,586
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,09:00,629,0,629,629,0,629
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,10:00,1166,0,1166,1166,0,1166
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,11:00,1997,0,1997,1997,0,1997
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,12:00,2732,0,2732,2732,0,2732
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,13:00,2534,0,2534,2534,0,2534
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,14:00,1696,0,1696,1696,0,1696
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,15:00,1833,0,1833,1833,0,1833
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,16:00,1214,0,1214,1214,0,1214
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,17:00,1143,0,1143,1143,0,1143
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,18:00,696,0,696,696,0,696
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,19:00,407,0,407,407,0,407
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,20:00,191,0,191,191,0,191
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,21:00,114,0,114,114,0,114
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,22:00,89,0,89,89,0,89
Leeds,Albion Street North,2017,April,14,Monday,03-Apr-17,23:00,44,0,44,44,0,44
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,00:00,9,0,9,9,0,9
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,01:00,1,0,1,1,0,1
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,02:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,03:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,04:00,4,0,4,4,0,4
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,05:00,23,0,23,23,0,23
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,06:00,55,0,55,55,0,55
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,07:00,193,0,193,193,0,193
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,08:00,795,0,795,795,0,795
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,09:00,1028,0,1028,1028,0,1028
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,10:00,1498,0,1498,1498,0,1498
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,11:00,1689,0,1689,1689,0,1689
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,12:00,1593,0,1593,1593,0,1593
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,13:00,1194,0,1194,1194,0,1194
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,14:00,817,0,817,817,0,817
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,15:00,855,0,855,855,0,855
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,16:00,813,0,813,813,0,813
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,17:00,806,0,806,806,0,806
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,18:00,465,0,465,465,0,465
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,19:00,212,0,212,212,0,212
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,20:00,97,0,97,97,0,97
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,21:00,53,0,53,53,0,53
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,22:00,76,0,76,76,0,76
Leeds,Albion Street North,2017,April,14,Tuesday,04-Apr-17,23:00,84,0,84,84,0,84
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,00:00,16,0,16,16,0,16
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,01:00,13,0,13,13,0,13
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,02:00,100,0,100,100,0,100
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,03:00,83,0,83,83,0,83
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,04:00,90,0,90,90,0,90
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,05:00,70,0,70,70,0,70
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,06:00,16,0,16,16,0,16
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,07:00,114,0,114,114,0,114
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,08:00,491,0,491,491,0,491
Leeds,Albion Street North,2017,April,14,Wednesday,05-Apr-17,09:00,375,0,375,375,0,375
