Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-07-06,0,Leeds,Briggate,,Monday,2015,3,July,27,144,0,144,0,0,0,144,0,144
2015-07-06,0,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,85,0,85,0,0,0,85,0,85
2015-07-06,0,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,74,0,74,0,0,0,74,0,74
2015-07-06,0,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,31,0,31,0,0,0,31,0,31
2015-07-06,0,Leeds,Headrow,,Monday,2015,3,July,27,38,0,38,0,0,0,38,0,38
2015-07-06,0,Leeds,"Dortmund Square	",,Monday,2015,3,July,27,64,0,64,0,0,0,64,0,64
2015-07-06,0,Leeds,Albion Street South,,Monday,2015,3,July,27,39,0,39,0,0,0,39,0,39
2015-07-06,0,Leeds,Albion Street North,,Monday,2015,3,July,27,35,0,35,0,0,0,35,0,35
2015-07-06,1,Leeds,Briggate,,Monday,2015,3,July,27,46,0,46,0,0,0,46,0,46
2015-07-06,1,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,27,0,27,0,0,0,27,0,27
2015-07-06,1,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,27,0,27,0,0,0,27,0,27
2015-07-06,1,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,9,0,9,0,0,0,9,0,9
2015-07-06,1,Leeds,Headrow,,Monday,2015,3,July,27,13,0,13,0,0,0,13,0,13
2015-07-06,1,Leeds,"Dortmund Square	",,Monday,2015,3,July,27,13,0,13,0,0,0,13,0,13
2015-07-06,1,Leeds,Albion Street South,,Monday,2015,3,July,27,12,0,12,0,0,0,12,0,12
2015-07-06,1,Leeds,Albion Street North,,Monday,2015,3,July,27,9,0,9,0,0,0,9,0,9
2015-07-06,2,Leeds,Briggate,,Monday,2015,3,July,27,54,0,54,0,0,0,54,0,54
2015-07-06,2,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,24,0,24,0,0,0,24,0,24
2015-07-06,2,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,18,0,18,0,0,0,18,0,18
2015-07-06,2,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,0,0,0,0,0,0,0,0,0
2015-07-06,2,Leeds,Headrow,,Monday,2015,3,July,27,15,0,15,0,0,0,15,0,15
2015-07-06,2,Leeds,"Dortmund Square	",,Monday,2015,3,July,27,33,0,33,0,0,0,33,0,33
2015-07-06,2,Leeds,Albion Street South,,Monday,2015,3,July,27,12,0,12,0,0,0,12,0,12
2015-07-06,2,Leeds,Albion Street North,,Monday,2015,3,July,27,8,0,8,0,0,0,8,0,8
2015-07-06,3,Leeds,Briggate,,Monday,2015,3,July,27,69,0,69,0,0,0,69,0,69
2015-07-06,3,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,14,0,14,0,0,0,14,0,14
2015-07-06,3,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,30,0,30,0,0,0,30,0,30
2015-07-06,3,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,0,0,0,0,0,0,0,0,0
2015-07-06,3,Leeds,Headrow,,Monday,2015,3,July,27,11,0,11,0,0,0,11,0,11
2015-07-06,3,Leeds,"Dortmund Square	",,Monday,2015,3,July,27,14,0,14,0,0,0,14,0,14
2015-07-06,3,Leeds,Albion Street South,,Monday,2015,3,July,27,34,0,34,0,0,0,34,0,34
2015-07-06,3,Leeds,Albion Street North,,Monday,2015,3,July,27,19,0,19,0,0,0,19,0,19
2015-07-06,4,Leeds,Briggate,,Monday,2015,3,July,27,182,0,182,0,0,0,182,0,182
2015-07-06,4,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,33,0,33,0,0,0,33,0,33
2015-07-06,4,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,28,0,28,0,0,0,28,0,28
2015-07-06,4,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,9,0,9,0,0,0,9,0,9
2015-07-06,4,Leeds,Headrow,,Monday,2015,3,July,27,14,0,14,0,0,0,14,0,14
2015-07-06,4,Leeds,"Dortmund Square	",,Monday,2015,3,July,27,18,0,18,0,0,0,18,0,18
2015-07-06,4,Leeds,Albion Street South,,Monday,2015,3,July,27,21,0,21,0,0,0,21,0,21
2015-07-06,4,Leeds,Albion Street North,,Monday,2015,3,July,27,1,0,1,0,0,0,1,0,1
2015-07-06,5,Leeds,Briggate,,Monday,2015,3,July,27,107,0,107,0,0,0,107,0,107
2015-07-06,5,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,39,0,39,0,0,0,39,0,39
2015-07-06,5,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,65,0,65,0,0,0,65,0,65
2015-07-06,5,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,33,0,33,0,0,0,33,0,33
2015-07-06,5,Leeds,Headrow,,Monday,2015,3,July,27,30,0,30,0,0,0,30,0,30
2015-07-06,5,Leeds,"Dortmund Square	",,Monday,2015,3,July,27,26,0,26,0,0,0,26,0,26
2015-07-06,5,Leeds,Albion Street South,,Monday,2015,3,July,27,52,0,52,0,0,0,52,0,52
2015-07-06,5,Leeds,Albion Street North,,Monday,2015,3,July,27,34,0,34,0,0,0,34,0,34
2015-07-06,6,Leeds,Briggate,,Monday,2015,3,July,27,203,0,203,0,0,0,203,0,203
2015-07-06,6,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,80,0,80,0,0,0,80,0,80
2015-07-06,6,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,88,0,88,0,0,0,88,0,88
2015-07-06,6,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,113,0,113,0,0,0,113,0,113
2015-07-06,6,Leeds,Headrow,,Monday,2015,3,July,27,78,0,78,0,0,0,78,0,78
2015-07-06,6,Leeds,"Dortmund Square	",,Monday,2015,3,July,27,118,0,118,0,0,0,118,0,118
2015-07-06,6,Leeds,Albion Street South,,Monday,2015,3,July,27,147,0,147,0,0,0,147,0,147
2015-07-06,6,Leeds,Albion Street North,,Monday,2015,3,July,27,51,0,51,0,0,0,51,0,51
2015-07-06,7,Leeds,Briggate,,Monday,2015,3,July,27,447,0,447,0,0,0,447,0,447
2015-07-06,7,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,285,0,285,0,0,0,285,0,285
2015-07-06,7,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,360,0,360,0,0,0,360,0,360
2015-07-06,7,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,252,0,252,0,0,0,252,0,252
2015-07-06,7,Leeds,Headrow,,Monday,2015,3,July,27,284,0,284,0,0,0,284,0,284
2015-07-06,7,Leeds,"Dortmund Square	",,Monday,2015,3,July,27,402,0,402,0,0,0,402,0,402
2015-07-06,7,Leeds,Albion Street South,,Monday,2015,3,July,27,322,0,322,0,0,0,322,0,322
2015-07-06,7,Leeds,Albion Street North,,Monday,2015,3,July,27,129,0,129,0,0,0,129,0,129
2015-07-06,8,Leeds,Briggate,,Monday,2015,3,July,27,875,0,875,0,0,0,875,0,875
2015-07-06,8,Leeds,"Briggate at McDonalds	",,Monday,2015,3,July,27,499,0,499,0,0,0,499,0,499
2015-07-06,8,Leeds,Commercial Street at Sharps,,Monday,2015,3,July,27,920,0,920,0,0,0,920,0,920
2015-07-06,8,Leeds,Commercial Street at Barratts,,Monday,2015,3,July,27,540,0,540,0,0,0,540,0,540
