Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-10-05,0,Leeds,Briggate,,Monday,2015,4,October,40,110,0,110,0,0,0,110,0,110
2015-10-05,0,Leeds,"Briggate at McDonalds	",,Monday,2015,4,October,40,63,0,63,0,0,0,63,0,63
2015-10-05,0,Leeds,Commercial Street at Sharps,,Monday,2015,4,October,40,38,0,38,0,0,0,38,0,38
2015-10-05,0,Leeds,Commercial Street at Barratts,,Monday,2015,4,October,40,18,0,18,0,0,0,18,0,18
2015-10-05,0,Leeds,Headrow,,Monday,2015,4,October,40,43,0,43,0,0,0,43,0,43
2015-10-05,0,Leeds,"Dortmund Square	",,Monday,2015,4,October,40,51,0,51,0,0,0,51,0,51
2015-10-05,0,Leeds,Albion Street South,,Monday,2015,4,October,40,20,0,20,0,0,0,20,0,20
2015-10-05,0,Leeds,Albion Street North,,Monday,2015,4,October,40,12,0,12,0,0,0,12,0,12
2015-10-05,1,Leeds,Briggate,,Monday,2015,4,October,40,52,0,52,0,0,0,52,0,52
2015-10-05,1,Leeds,"Briggate at McDonalds	",,Monday,2015,4,October,40,36,0,36,0,0,0,36,0,36
2015-10-05,1,Leeds,Commercial Street at Sharps,,Monday,2015,4,October,40,11,0,11,0,0,0,11,0,11
2015-10-05,1,Leeds,Commercial Street at Barratts,,Monday,2015,4,October,40,3,0,3,0,0,0,3,0,3
2015-10-05,1,Leeds,Headrow,,Monday,2015,4,October,40,17,0,17,0,0,0,17,0,17
2015-10-05,1,Leeds,"Dortmund Square	",,Monday,2015,4,October,40,34,0,34,0,0,0,34,0,34
2015-10-05,1,Leeds,Albion Street South,,Monday,2015,4,October,40,12,0,12,0,0,0,12,0,12
2015-10-05,1,Leeds,Albion Street North,,Monday,2015,4,October,40,5,0,5,0,0,0,5,0,5
2015-10-05,2,Leeds,Briggate,,Monday,2015,4,October,40,27,0,27,0,0,0,27,0,27
2015-10-05,2,Leeds,"Briggate at McDonalds	",,Monday,2015,4,October,40,45,0,45,0,0,0,45,0,45
2015-10-05,2,Leeds,Commercial Street at Sharps,,Monday,2015,4,October,40,5,0,5,0,0,0,5,0,5
2015-10-05,2,Leeds,Commercial Street at Barratts,,Monday,2015,4,October,40,0,0,0,0,0,0,0,0,0
2015-10-05,2,Leeds,Headrow,,Monday,2015,4,October,40,13,0,13,0,0,0,13,0,13
2015-10-05,2,Leeds,"Dortmund Square	",,Monday,2015,4,October,40,32,0,32,0,0,0,32,0,32
2015-10-05,2,Leeds,Albion Street South,,Monday,2015,4,October,40,16,0,16,0,0,0,16,0,16
2015-10-05,2,Leeds,Albion Street North,,Monday,2015,4,October,40,1,0,1,0,0,0,1,0,1
2015-10-05,3,Leeds,Briggate,,Monday,2015,4,October,40,31,0,31,0,0,0,31,0,31
2015-10-05,3,Leeds,"Briggate at McDonalds	",,Monday,2015,4,October,40,22,0,22,0,0,0,22,0,22
2015-10-05,3,Leeds,Commercial Street at Sharps,,Monday,2015,4,October,40,14,0,14,0,0,0,14,0,14
2015-10-05,3,Leeds,Commercial Street at Barratts,,Monday,2015,4,October,40,0,0,0,0,0,0,0,0,0
2015-10-05,3,Leeds,Headrow,,Monday,2015,4,October,40,2,0,2,0,0,0,2,0,2
2015-10-05,3,Leeds,"Dortmund Square	",,Monday,2015,4,October,40,23,0,23,0,0,0,23,0,23
2015-10-05,3,Leeds,Albion Street South,,Monday,2015,4,October,40,26,0,26,0,0,0,26,0,26
2015-10-05,3,Leeds,Albion Street North,,Monday,2015,4,October,40,2,0,2,0,0,0,2,0,2
2015-10-05,4,Leeds,Briggate,,Monday,2015,4,October,40,34,0,34,0,0,0,34,0,34
2015-10-05,4,Leeds,"Briggate at McDonalds	",,Monday,2015,4,October,40,9,0,9,0,0,0,9,0,9
2015-10-05,4,Leeds,Commercial Street at Sharps,,Monday,2015,4,October,40,12,0,12,0,0,0,12,0,12
2015-10-05,4,Leeds,Commercial Street at Barratts,,Monday,2015,4,October,40,3,0,3,0,0,0,3,0,3
2015-10-05,4,Leeds,Headrow,,Monday,2015,4,October,40,16,0,16,0,0,0,16,0,16
2015-10-05,4,Leeds,"Dortmund Square	",,Monday,2015,4,October,40,20,0,20,0,0,0,20,0,20
2015-10-05,4,Leeds,Albion Street South,,Monday,2015,4,October,40,10,0,10,0,0,0,10,0,10
2015-10-05,4,Leeds,Albion Street North,,Monday,2015,4,October,40,0,0,0,0,0,0,0,0,0
2015-10-05,5,Leeds,Briggate,,Monday,2015,4,October,40,62,0,62,0,0,0,62,0,62
