"Date","InCount","outlier"
"1","2009-07-17","7539",2
"2","2009-07-18","11994",2
"3","2009-07-19","8784",2
"4","2009-07-20","5419",2
"5","2009-07-21","6094",2
"6","2009-07-22","6868",2
"7","2009-07-23","6893",2
"8","2009-07-24","11209",2
"9","2009-07-25","14076",2
"10","2009-07-26","9821",2
"11","2009-07-27","6046",2
"12","2009-07-28","5372",2
"13","2009-07-29","5713",2
"14","2009-07-30","6691",2
"15","2009-07-31","10437",2
"16","2009-08-01","12785",2
"17","2009-08-02","10618",2
"18","2009-08-03","5685",2
"19","2009-08-04","5982",2
"20","2009-08-05","6221",2
"21","2009-08-06","6737",2
"22","2009-08-07","11328",2
"23","2009-08-08","14353",2
"24","2009-08-09","10619",2
"25","2009-08-10","5170",2
"26","2009-08-11","6550",2
"27","2009-08-12","5960",2
"28","2009-08-13","6798",2
"29","2009-08-14","10479",2
"30","2009-08-15","12906",2
"31","2009-08-16","8994",2
"32","2009-08-17","5098",2
"33","2009-08-18","6401",2
"34","2009-08-19","5979",2
"35","2009-08-20","7357",2
"36","2009-08-21","13071",2
"37","2009-08-22","12164",2
"38","2009-08-23","8655",2
"39","2009-08-24","4715",2
"40","2009-08-25","6254",2
"41","2009-08-26","5904",2
"42","2009-08-27","6927",2
"43","2009-08-28","10270",2
"44","2009-08-29","12205",2
"45","2009-08-30","9896",2
"46","2009-08-31","8488",2
"47","2009-09-01","5631",2
"48","2009-09-02","5053",2
"49","2009-09-03","5065",2
"50","2009-09-04","10180",2
"51","2009-09-05","11326",2
"52","2009-09-06","7678",2
"53","2009-09-07","4904",2
"54","2009-09-08","5032",2
"55","2009-09-09","5571",2
"56","2009-09-10","6319",2
"57","2009-09-11","11705",2
"58","2009-09-12","13550",2
"59","2009-09-13","8105",2
"60","2009-09-14","4191",2
"61","2009-09-15","5170",2
"62","2009-09-16","5627",2
"63","2009-09-17","6183",2
"64","2009-09-18","10890",2
"65","2009-09-19","13040",2
