"Date","InCount","outlier"
"1","2009-07-17","158887",2
"2","2009-07-18","278500",2
"3","2009-07-19","112421",2
"4","2009-07-20","216690",2
"5","2009-07-21","192403",2
"6","2009-07-22","210521",2
"7","2009-07-23","210896",2
"8","2009-07-24","221989",2
"9","2009-07-25","257823",2
"10","2009-07-26","108453",2
"11","2009-07-27","203841",2
"12","2009-07-28","196691",2
"13","2009-07-29","184872",2
"14","2009-07-30","189832",2
"15","2009-07-31","227171",2
"16","2009-08-01","245436",2
"17","2009-08-02","142948",2
"18","2009-08-03","216022",2
"19","2009-08-04","194161",2
"20","2009-08-05","194067",2
"21","2009-08-06","212948",2
"22","2009-08-07","219816",2
"23","2009-08-08","258398",2
"24","2009-08-09","109875",2
"25","2009-08-10","178753",2
"26","2009-08-11","218500",2
"27","2009-08-12","210386",2
"28","2009-08-13","202791",2
"29","2009-08-14","215026",2
"30","2009-08-15","247003",2
"31","2009-08-16","112327",2
"32","2009-08-17","194403",2
"33","2009-08-18","205222",2
"34","2009-08-19","201089",2
"35","2009-08-20","184902",2
"36","2009-08-21","197925",2
"37","2009-08-22","250034",2
"38","2009-08-23","102606",2
"39","2009-08-24","177546",2
"40","2009-08-25","215990",2
"41","2009-08-26","186333",2
"42","2009-08-27","216458",2
"43","2009-08-28","214561",2
"44","2009-08-29","271141",2
"45","2009-08-30","118090",2
"46","2009-08-31","146195",2
"47","2009-09-01","219872",2
"48","2009-09-02","199628",2
"49","2009-09-03","168866",2
"50","2009-09-04","194252",2
"51","2009-09-05","244170",2
"52","2009-09-06","110432",2
"53","2009-09-07","192388",2
"54","2009-09-08","174554",2
"55","2009-09-09","188027",2
"56","2009-09-10","195408",2
"57","2009-09-11","210168",2
"58","2009-09-12","280649",2
"59","2009-09-13","110842",2
"60","2009-09-14","158285",2
"61","2009-09-15","166786",2
"62","2009-09-16","167694",2
"63","2009-09-17","187332",2
"64","2009-09-18","199004",2
"65","2009-09-19","301001",1
"66","2009-09-20","147461",2
"67","2009-09-21","177673",2
"68","2009-09-22","189266",2
"69","2009-09-23","192809",2
"70","2009-09-24","213146",2
"71","2009-09-25","224278",2
"72","2009-09-26","330322",1
"73","2009-09-27","138163",2
"74","2009-09-28","198775",2
"75","2009-09-29","195101",2
"76","2009-09-30","207518",2
"77","2009-10-01","216253",2
"78","2009-10-02","224333",2
"79","2009-10-03","305840",1
"80","2009-10-04","148999",2
"81","2009-10-05","183916",2
"82","2009-10-06","170750",2
"83","2009-10-07","208738",2
"84","2009-10-08","203794",2
"85","2009-10-09","210663",2
"86","2009-10-10","339373",1
"87","2009-10-11","149312",2
"88","2009-10-12","177972",2
"89","2009-10-13","196081",2
"90","2009-10-14","176279",2
"91","2009-10-15","184190",2
"92","2009-10-16","224549",2
"93","2009-10-17","322107",1
"94","2009-10-18","135615",2
"95","2009-10-19","172088",2
"96","2009-10-20","165732",2
"97","2009-10-21","179621",2
"98","2009-10-22","191706",2
"99","2009-10-23","234707",2
"100","2009-10-24","292087",2
"101","2009-10-25","142633",2
"102","2009-10-26","241059",2
"103","2009-10-27","247356",2
"104","2009-10-28","268009",2
"105","2009-10-29","272758",2
"106","2009-10-30","308408",1
"107","2009-10-31","285522",2
"108","2009-11-01","91393",2
"109","2009-11-02","184693",2
"110","2009-11-03","183198",2
"111","2009-11-04","174779",2
"112","2009-11-05","185757",2
"113","2009-11-06","200119",2
"114","2009-11-07","373877",1
"115","2009-11-08","137347",2
"116","2009-11-09","192900",2
"117","2009-11-10","182616",2
"118","2009-11-11","203448",2
"119","2009-11-12","208265",2
"120","2009-11-13","217960",2
"121","2009-11-14","352220",1
"122","2009-11-15","178887",2
"123","2009-11-16","171413",2
"124","2009-11-17","194798",2
"125","2009-11-18","168836",2
"126","2009-11-19","219728",2
"127","2009-11-20","239822",2
"128","2009-11-21","359848",1
"129","2009-11-22","157867",2
"130","2009-11-23","189585",2
"131","2009-11-24","190267",2
"132","2009-11-25","196056",2
