"Date","InCount","outlier"
"2010-01-01","26603",1
"2011-01-01","36097",1
"2012-01-01","19809",1
"2013-01-01","34732",1
"2014-01-01","23034",1
"2015-01-01","33304",1
"2016-01-01","37257",1
"2017-01-01","34271",1
"2010-02-01","149086",2
"2011-02-01","132762",2
"2012-02-01","154498",2
"2013-02-01","154899",2
"2014-02-01",NA,0
"2015-02-01","96020",2
"2016-02-01","129020",2
"2017-02-01","137846",2
"2010-03-01","153423",2
"2011-03-01","148088",2
"2012-03-01","166659",2
"2013-03-01","160544",2
"2014-03-01","219099",2
"2015-03-01","84900",2
"2016-03-01","117304",2
"2010-04-01","192684",2
"2011-04-01","189995",2
"2012-04-01","100442",2
"2013-04-01","160492",2
"2014-04-01","134132",2
"2015-04-01","144386",2
"2016-04-01","149712",2
"2010-05-01","270176",1
"2011-05-01","96372",2
"2012-05-01","134200",2
"2013-05-01","143946",2
"2014-05-01","133573",2
"2015-05-01","155337",2
"2016-05-01","100676",2
"2010-06-01","175493",2
"2011-06-01","182719",2
"2012-06-01","168414",2
"2013-06-01","206783",2
"2014-06-01","106547",2
"2015-06-01","134832",2
"2016-06-01","150904",2
"2010-07-01","155779",2
"2011-07-01","157276",2
"2012-07-01","93537",2
"2013-07-01","134206",2
"2014-07-01","138538",2
"2015-07-01","129849",2
"2016-07-01",NA,0
"2009-08-01","219428",2
"2010-08-01","106358",2
"2011-08-01","137308",2
"2012-08-01","136853",2
"2013-08-01","127539",2
"2014-08-01","138387",2
"2015-08-01","166202",2
"2016-08-01","155784",2
"2009-09-01","201774",2
"2010-09-01","191542",2
"2011-09-01","155315",2
"2012-09-01","182694",2
"2013-09-01","85438",2
"2014-09-01","150343",2
"2015-09-01",NA,0
"2016-09-01","175755",2
"2009-10-01","188726",2
"2010-10-01","160313",2
"2011-10-01","216226",2
"2012-10-01","134616",2
"2013-10-01","145653",2
"2014-10-01","155770",2
"2015-10-01","153355",2
"2016-10-01","249460",2
"2009-11-01","76048",2
"2010-11-01","155671",2
"2011-11-01","141465",2
"2012-11-01","162680",2
"2013-11-01","144893",2
"2014-11-01","212365",2
"2015-11-01","103567",2
"2016-11-01","155269",2
"2009-12-01","208841",2
"2010-12-01","83623",2
"2011-12-01","191196",2
"2012-12-01","306719",1
"2013-12-01","149879",2
"2014-12-01","174576",2
"2015-12-01","145205",2
"2016-12-01","185748",2
"2010-01-02","242591",2
"2011-01-02","108425",2
"2012-01-02","134362",2
"2013-01-02","156376",2
"2014-01-02","144560",2
"2015-01-02","157841",2
"2016-01-02","148576",2
"2017-01-02","126457",2
"2010-02-02","132246",2
"2011-02-02","129659",2
"2012-02-02","144545",2
"2013-02-02","208500",2
"2014-02-02",NA,0
"2015-02-02","128613",2
"2016-02-02","118790",2
"2017-02-02","142835",2
"2010-03-02","166651",2
"2011-03-02","131356",2
"2012-03-02","155703",2
"2013-03-02","246731",2
"2014-03-02","92879",2
"2015-03-02","111832",2
"2016-03-02","120813",2
"2010-04-02","166331",2
"2011-04-02","257745",1
"2012-04-02","149805",2
"2013-04-02","208380",2
"2014-04-02","131237",2
"2015-04-02","166249",2
"2016-04-02","177948",2
"2010-05-02","101475",2
"2011-05-02","113545",2
"2012-05-02","166529",2
"2013-05-02","161361",2
"2014-05-02","153386",2
"2015-05-02","203018",2
"2016-05-02","121079",2
"2010-06-02","198469",2
"2011-06-02","176341",2
"2012-06-02","209320",2
"2013-06-02","100947",2
"2014-06-02","156696",2
"2015-06-02","137162",2
"2016-06-02","161006",2
"2010-07-02","176268",2
"2011-07-02","207498",2
"2012-07-02","134564",2
"2013-07-02","123155",2
"2014-07-02","151782",2
"2015-07-02","138672",2
"2016-07-02",NA,0
"2009-08-02","125434",2
"2010-08-02","152038",2
"2011-08-02","146836",2
"2012-08-02","150336",2
"2013-08-02","140157",2
"2014-08-02","168154",2
"2015-08-02","117728",2
"2016-08-02","163643",2
"2009-09-02","181724",2
"2010-09-02","180738",2
"2011-09-02","163453",2
"2012-09-02","82367",2
"2013-09-02","148721",2
"2014-09-02","159198",2
"2015-09-02",NA,0
"2016-09-02","166178",2
"2009-10-02","192202",2
"2010-10-02","317571",1
"2011-10-02","93443",2
"2012-10-02","139065",2
"2013-10-02","111754",2
"2014-10-02","162285",2
"2015-10-02","168111",2
"2016-10-02","123022",2
"2009-11-02","166317",2
"2010-11-02","140497",2
"2011-11-02","134741",2
"2012-11-02","172627",2
"2013-11-02","177449",2
"2014-11-02","112701",2
"2015-11-02","131858",2
"2016-11-02","155756",2
"2009-12-02","211337",2
"2010-12-02","119222",2
"2011-12-02","221392",2
"2012-12-02","161365",2
"2013-12-02","161187",2
"2014-12-02","161106",2
"2015-12-02","164228",2
"2016-12-02","220914",2
"2010-01-03","78584",2
"2011-01-03","152232",2
"2012-01-03","119090",2
"2013-01-03","152924",2
"2014-01-03","129506",2
"2015-01-03","137392",2
"2016-01-03","82171",2
"2017-01-03","140007",2
"2010-02-03","142959",2
"2011-02-03","146735",2
"2012-02-03","166137",2
"2013-02-03","90927",2
"2014-02-03","120001",2
"2015-02-03","132166",2
"2016-02-03","139980",2
"2017-02-03","153771",2
"2010-03-03","155838",2
"2011-03-03","136562",2
"2012-03-03","219175",2
"2013-03-03","98482",2
"2014-03-03","125850",2
"2015-03-03","117717",2
"2016-03-03","148623",2
"2010-04-03","236088",2
"2011-04-03","89020",2
"2012-04-03","146143",2
"2013-04-03","181969",2
"2014-04-03","145337",2
"2015-04-03","131743",2
"2016-04-03","99823",2
"2010-05-03","123378",2
"2011-05-03","141286",2
"2012-05-03","142916",2
"2013-05-03","149836",2
"2014-05-03","233050",2
"2015-05-03","95335",2
"2016-05-03","135637",2
"2010-06-03","203784",2
"2011-06-03","174910",2
"2012-06-03","70865",2
"2013-06-03","146666",2
"2014-06-03","143047",2
"2015-06-03","155790",2
"2016-06-03","173584",2
"2010-07-03","243909",2
"2011-07-03","96845",2
"2012-07-03","141812",2
"2013-07-03","131348",2
"2014-07-03","152095",2
"2015-07-03",NA,0
"2016-07-03",NA,0
"2009-08-03","196815",2
"2010-08-03","165119",2
"2011-08-03","137858",2
"2012-08-03","145039",2
"2013-08-03","176120",2
"2014-08-03","116104",2
"2015-08-03","144461",2
"2016-08-03","159287",2
"2009-09-03","150390",2
"2010-09-03","171576",2
"2011-09-03","179589",2
"2012-09-03","164756",2
"2013-09-03","136336",2
"2014-09-03","135262",2
"2015-09-03",NA,0
"2016-09-03","172895",2
"2009-10-03","275114",1
"2010-10-03","78869",2
"2011-10-03","138826",2
"2012-10-03","140332",2
"2013-10-03","126282",2
"2014-10-03","177671",2
"2015-10-03","227488",2
"2016-10-03","157773",2
"2009-11-03","164590",2
"2010-11-03","144801",2
"2011-11-03","134769",2
"2012-11-03","200817",2
"2013-11-03","96560",2
"2014-11-03","139776",2
"2015-11-03","131678",2
"2016-11-03","152870",2
"2009-12-03","215957",2
"2010-12-03","176746",2
"2011-12-03","344553",1
"2012-12-03","157683",2
"2013-12-03","155221",2
"2014-12-03","170326",2
"2015-12-03","152242",2
"2016-12-03","316875",1
"2010-01-04","183459",2
"2011-01-04","152624",2
"2012-01-04","123588",2
"2013-01-04","156634",2
"2014-01-04","155441",2
"2015-01-04","81097",2
"2016-01-04","133001",2
"2017-01-04","127949",2
"2010-02-04","140565",2
"2011-02-04","122180",2
"2012-02-04","177770",2
"2013-02-04","113065",2
"2014-02-04","119068",2
"2015-02-04","132345",2
"2016-02-04","135798",2
"2017-02-04","199912",2
"2010-03-04","166395",2
"2011-03-04","155487",2
"2012-03-04","67534",2
"2013-03-04","132386",2
"2014-03-04","130925",2
"2015-03-04","142895",2
"2016-03-04","127185",2
"2010-04-04","30714",1
"2011-04-04","124907",2
"2012-04-04","113061",2
"2013-04-04","201205",2
"2014-04-04","144795",2
"2015-04-04","183087",2
"2016-04-04","149082",2
"2010-05-04","158928",2
"2011-05-04","151477",2
"2012-05-04","152890",2
"2013-05-04","237430",2
"2014-05-04","124194",2
"2015-05-04","135855",2
"2016-05-04","138774",2
"2010-06-04","207698",2
"2011-06-04","190557",2
"2012-06-04","118744",2
"2013-06-04","137683",2
"2014-06-04","138069",2
"2015-06-04","158706",2
"2016-06-04","188839",2
"2010-07-04","126290",2
"2011-07-04","143030",2
"2012-07-04","136129",2
"2013-07-04","127638",2
"2014-07-04","145873",2
"2015-07-04",NA,0
"2016-07-04","148124",2
"2009-08-04","174565",2
"2010-08-04","150224",2
"2011-08-04","127789",2
"2012-08-04","165324",2
"2013-08-04","94814",2
"2014-08-04","136263",2
"2015-08-04","148717",2
"2016-08-04","156528",2
"2009-09-04","170409",2
"2010-09-04","220748",2
"2011-09-04","80313",2
"2012-09-04","148432",2
"2013-09-04","142151",2
"2014-09-04","143620",2
"2015-09-04",NA,0
"2016-09-04","104094",2
"2009-10-04","133067",2
"2010-10-04","163938",2
"2011-10-04","136500",2
"2012-10-04","144878",2
"2013-10-04","133205",2
"2014-10-04","207307",2
"2015-10-04","113666",2
"2016-10-04","157530",2
"2009-11-04","155732",2
"2010-11-04","133063",2
"2011-11-04","156644",2
"2012-11-04","86651",2
"2013-11-04","132317",2
"2014-11-04","141462",2
"2015-11-04","133059",2
"2016-11-04","173503",2
"2009-12-04","272670",1
"2010-12-04","329233",1
"2011-12-04","138113",2
"2012-12-04","152070",2
"2013-12-04","162467",2
"2014-12-04","161237",2
"2015-12-04","188981",2
"2016-12-04","179445",2
"2010-01-05","85321",2
"2011-01-05","120271",2
"2012-01-05","132831",2
"2013-01-05","179447",2
"2014-01-05","68023",2
"2015-01-05","126020",2
"2016-01-05","120887",2
"2017-01-05","137419",2
"2010-02-05","162885",2
"2011-02-05","199415",2
"2012-02-05","70470",2
"2013-02-05","111955",2
"2014-02-05","107014",2
"2015-02-05","123182",2
"2016-02-05","148803",2
"2017-02-05","106973",2
"2010-03-05","174493",2
"2011-03-05","226584",2
"2012-03-05","140017",2
"2013-03-05","144310",2
"2014-03-05","133868",2
"2015-03-05","147005",2
"2016-03-05","214544",2
"2010-04-05","105916",2
"2011-04-05","135371",2
"2012-04-05","201912",2
"2013-04-05","183465",2
"2014-04-05","189022",2
"2015-04-05","54967",2
"2016-04-05","132041",2
"2010-05-05","143871",2
"2011-05-05","142759",2
"2012-05-05","219838",2
"2013-05-05","125823",2
"2014-05-05","118814",2
"2015-05-05","124744",2
"2016-05-05","139016",2
"2010-06-05","227728",2
"2011-06-05","87514",2
"2012-06-05","109074",2
"2013-06-05","135746",2
"2014-06-05","141730",2
"2015-06-05","167614",2
"2016-06-05","99683",2
"2010-07-05","152241",2
"2011-07-05","139367",2
"2012-07-05","142861",2
"2013-07-05","145809",2
"2014-07-05","301952",1
"2015-07-05",NA,0
"2016-07-05","148582",2
"2009-08-05","172886",2
"2010-08-05","167650",2
"2011-08-05","157690",2
"2012-08-05","79700",2
"2013-08-05","118527",2
"2014-08-05","149947",2
"2015-08-05","155364",2
"2016-08-05","173890",2
"2009-09-05","220316",2
"2010-09-05","99989",2
"2011-09-05","137379",2
"2012-09-05","140378",2
"2013-09-05","141207",2
"2014-09-05","138647",2
"2015-09-05",NA,0
"2016-09-05","160336",2
"2009-10-05","164725",2
"2010-10-05","165431",2
"2011-10-05","149486",2
"2012-10-05","163501",2
"2013-10-05","220841",2
"2014-10-05","123664",2
"2015-10-05","118158",2
"2016-10-05","143209",2
"2009-11-05","164187",2
"2010-11-05","168492",2
"2011-11-05","201372",2
"2012-11-05","136449",2
"2013-11-05","108744",2
"2014-11-05","138813",2
"2015-11-05","119929",2
"2016-11-05","217392",2
"2009-12-05","446710",1
"2010-12-05","168063",2
"2011-12-05","175275",2
"2012-12-05","161492",2
"2013-12-05","115082",2
"2014-12-05","192879",2
"2015-12-05","261230",1
"2016-12-05","181840",2
"2010-01-06","101957",2
"2011-01-06","133086",2
"2012-01-06","152141",2
"2013-01-06","82203",2
"2014-01-06","105266",2
"2015-01-06","126719",2
"2016-01-06","136977",2
"2017-01-06","125988",2
"2010-02-06","252491",1
"2011-02-06","86821",2
"2012-02-06","131103",2
"2013-02-06","132306",2
"2014-02-06","129706",2
"2015-02-06","136555",2
"2016-02-06","179923",2
"2017-02-06","135675",2
"2010-03-06","251981",1
"2011-03-06","94709",2
"2012-03-06","150862",2
"2013-03-06","141516",2
"2014-03-06","139725",2
"2015-03-06","160407",2
"2016-03-06","93624",2
"2010-04-06","188762",2
"2011-04-06","161807",2
"2012-04-06","138233",2
"2013-04-06","219316",2
"2014-04-06","94974",2
"2015-04-06","119806",2
"2016-04-06","144936",2
"2010-05-06","136879",2
"2011-05-06","149306",2
"2012-05-06","109841",2
"2013-05-06","129968",2
"2014-05-06","140069",2
"2015-05-06","109575",2
"2016-05-06","151986",2
"2010-06-06","81738",2
"2011-06-06","144396",2
"2012-06-06","182473",2
"2013-06-06","142981",2
"2014-06-06","168779",2
"2015-06-06","210398",2
"2016-06-06","145173",2
"2010-07-06","152722",2
"2011-07-06","137253",2
"2012-07-06","118945",2
"2013-07-06","193078",2
"2014-07-06","96360",2
"2015-07-06","126489",2
"2016-07-06","136027",2
"2009-08-06","188587",2
"2010-08-06","163009",2
"2011-08-06","159190",2
"2012-08-06","134974",2
"2013-08-06","138768",2
"2014-08-06","136161",2
"2015-08-06","150384",2
"2016-08-06","186593",2
"2009-09-06","98793",2
"2010-09-06","147529",2
"2011-09-06","122976",2
"2012-09-06","139137",2
"2013-09-06","114167",2
"2014-09-06","171618",2
"2015-09-06",NA,0
"2016-09-06","169906",2
