"Date","InCount","outlier"
"1","2009-07-17","8624",2
"2","2009-07-18","13645",2
"3","2009-07-19","4204",2
"4","2009-07-20","10291",2
"5","2009-07-21","10331",2
"6","2009-07-22","11853",2
"7","2009-07-23","13890",2
"8","2009-07-24","13155",2
"9","2009-07-25","12077",2
"10","2009-07-26","4890",2
"11","2009-07-27","9687",2
"12","2009-07-28","9834",2
"13","2009-07-29","11117",2
"14","2009-07-30","13295",2
"15","2009-07-31","13695",2
"16","2009-08-01","11642",2
"17","2009-08-02","6266",2
"18","2009-08-03","9734",2
"19","2009-08-04","10363",2
"20","2009-08-05","11839",2
"21","2009-08-06","14104",2
"22","2009-08-07","12842",2
"23","2009-08-08","13209",2
"24","2009-08-09","4690",2
"25","2009-08-10","9518",2
"26","2009-08-11","10865",2
"27","2009-08-12","11651",2
"28","2009-08-13","14052",2
"29","2009-08-14","12233",2
"30","2009-08-15","11451",2
"31","2009-08-16","4040",2
"32","2009-08-17","9521",2
"33","2009-08-18","10569",2
"34","2009-08-19","11404",2
"35","2009-08-20","12482",2
"36","2009-08-21","12140",2
"37","2009-08-22","11501",2
"38","2009-08-23","3541",2
"39","2009-08-24","8051",2
"40","2009-08-25","10458",2
"41","2009-08-26","11005",2
"42","2009-08-27","14182",2
"43","2009-08-28","11534",2
"44","2009-08-29","11464",2
"45","2009-08-30","4054",2
"46","2009-08-31","5496",2
"47","2009-09-01","9343",2
"48","2009-09-02","9846",2
"49","2009-09-03","10364",2
"50","2009-09-04","10565",2
"51","2009-09-05","11191",2
"52","2009-09-06","3428",2
"53","2009-09-07","9465",2
"54","2009-09-08","8797",2
"55","2009-09-09","10909",2
"56","2009-09-10","12833",2
"57","2009-09-11","13916",2
"58","2009-09-12","12326",2
"59","2009-09-13","3824",2
"60","2009-09-14","8319",2
"61","2009-09-15","9099",2
"62","2009-09-16","10612",2
"63","2009-09-17","13795",2
"64","2009-09-18","13080",2
"65","2009-09-19","14267",2
"66","2009-09-20","4857",2
"67","2009-09-21","9424",2
"68","2009-09-22","11268",2
"69","2009-09-23","11856",2
"70","2009-09-24","15073",2
"71","2009-09-25","14294",2
"72","2009-09-26","14033",2
"73","2009-09-27","4994",2
"74","2009-09-28","9876",2
"75","2009-09-29","11098",2
"76","2009-09-30","12616",2
"77","2009-10-01","15216",2
"78","2009-10-02","15073",2
"79","2009-10-03","14302",2
"80","2009-10-04","5103",2
"81","2009-10-05","9624",2
"82","2009-10-06","13262",2
