"Date","InCount","outlier"
"2009-07-17","158887",2
"2009-07-18","278500",2
"2009-07-19","112421",2
"2009-07-20","216690",2
"2009-07-21","192403",2
"2009-07-22","210521",2
"2009-07-23","210896",2
"2009-07-24","221989",2
"2009-07-25","257823",2
"2009-07-26","108453",2
"2009-07-27","203841",2
"2009-07-28","196691",2
"2009-07-29","184872",2
"2009-07-30","189832",2
"2009-07-31","227171",2
"2009-08-01","245436",2
"2009-08-02","142948",2
"2009-08-03","216022",2
"2009-08-04","194161",2
"2009-08-05","194067",2
"2009-08-06","212948",2
"2009-08-07","219816",2
"2009-08-08","258398",2
"2009-08-09","109875",2
"2009-08-10","178753",2
"2009-08-11","218500",2
"2009-08-12","210386",2
"2009-08-13","202791",2
"2009-08-14","215026",2
"2009-08-15","247003",2
"2009-08-16","112327",2
"2009-08-17","194403",2
"2009-08-18","205222",2
"2009-08-19","201089",2
"2009-08-20","184902",2
"2009-08-21","197925",2
"2009-08-22","250034",2
"2009-08-23","102606",2
"2009-08-24","177546",2
"2009-08-25","215990",2
"2009-08-26","186333",2
"2009-08-27","216458",2
"2009-08-28","214561",2
"2009-08-29","271141",2
"2009-08-30","118090",2
"2009-08-31","146195",2
"2009-09-01","219872",2
"2009-09-02","199628",2
"2009-09-03","168866",2
"2009-09-04","194252",2
"2009-09-05","244170",2
"2009-09-06","110432",2
"2009-09-07","192388",2
"2009-09-08","174554",2
"2009-09-09","188027",2
"2009-09-10","195408",2
"2009-09-11","210168",2
"2009-09-12","280649",2
"2009-09-13","110842",2
"2009-09-14","158285",2
"2009-09-15","166786",2
"2009-09-16","167694",2
"2009-09-17","187332",2
"2009-09-18","199004",2
"2009-09-19","301001",1
"2009-09-20","147461",2
"2009-09-21","177673",2
"2009-09-22","189266",2
"2009-09-23","192809",2
"2009-09-24","213146",2
"2009-09-25","224278",2
"2009-09-26","330322",1
"2009-09-27","138163",2
"2009-09-28","198775",2
"2009-09-29","195101",2
"2009-09-30","207518",2
"2009-10-01","216253",2
"2009-10-02","224333",2
"2009-10-03","305840",1
"2009-10-04","148999",2
