"Date","InCount"
"1","2009-07-17","158887"
"2","2009-07-18","278500"
"3","2009-07-19","112421"
"4","2009-07-20","216690"
"5","2009-07-21","192403"
"6","2009-07-22","210521"
"7","2009-07-23","210896"
"8","2009-07-24","221989"
"9","2009-07-25","257823"
"10","2009-07-26","108453"
"11","2009-07-27","203841"
"12","2009-07-28","196691"
"13","2009-07-29","184872"
"14","2009-07-30","189832"
"15","2009-07-31","227171"
"16","2009-08-01","245436"
"17","2009-08-02","142948"
"18","2009-08-03","216022"
"19","2009-08-04","194161"
"20","2009-08-05","194067"
"21","2009-08-06","212948"
"22","2009-08-07","219816"
"23","2009-08-08","258398"
"24","2009-08-09","109875"
"25","2009-08-10","178753"
"26","2009-08-11","218500"
"27","2009-08-12","210386"
"28","2009-08-13","202791"
"29","2009-08-14","215026"
"30","2009-08-15","247003"
"31","2009-08-16","112327"
"32","2009-08-17","194403"
"33","2009-08-18","205222"
"34","2009-08-19","201089"
"35","2009-08-20","184902"
"36","2009-08-21","197925"
"37","2009-08-22","250034"
"38","2009-08-23","102606"
"39","2009-08-24","177546"
"40","2009-08-25","215990"
"41","2009-08-26","186333"
"42","2009-08-27","216458"
"43","2009-08-28","214561"
"44","2009-08-29","271141"
"45","2009-08-30","118090"
"46","2009-08-31","146195"
"47","2009-09-01","219872"
"48","2009-09-02","199628"
"49","2009-09-03","168866"
"50","2009-09-04","194252"
"51","2009-09-05","244170"
"52","2009-09-06","110432"
"53","2009-09-07","192388"
"54","2009-09-08","174554"
"55","2009-09-09","188027"
"56","2009-09-10","195408"
"57","2009-09-11","210168"
"58","2009-09-12","280649"
"59","2009-09-13","110842"
"60","2009-09-14","158285"
"61","2009-09-15","166786"
"62","2009-09-16","167694"
"63","2009-09-17","187332"
"64","2009-09-18","199004"
"65","2009-09-19","301001"
"66","2009-09-20","147461"
"67","2009-09-21","177673"
"68","2009-09-22","189266"
"69","2009-09-23","192809"
"70","2009-09-24","213146"
"71","2009-09-25","224278"
"72","2009-09-26","330322"
"73","2009-09-27","138163"
"74","2009-09-28","198775"
"75","2009-09-29","195101"
"76","2009-09-30","207518"
"77","2009-10-01","216253"
"78","2009-10-02","224333"
"79","2009-10-03","305840"
"80","2009-10-04","148999"
"81","2009-10-05","183916"
"82","2009-10-06","170750"
"83","2009-10-07","208738"
"84","2009-10-08","203794"
"85","2009-10-09","210663"
"86","2009-10-10","339373"
"87","2009-10-11","149312"
"88","2009-10-12","177972"
"89","2009-10-13","196081"
"90","2009-10-14","176279"
"91","2009-10-15","184190"
"92","2009-10-16","224549"
"93","2009-10-17","322107"
"94","2009-10-18","135615"
"95","2009-10-19","172088"
"96","2009-10-20","165732"
"97","2009-10-21","179621"
"98","2009-10-22","191706"
"99","2009-10-23","234707"
"100","2009-10-24","292087"
"101","2009-10-25","142633"
"102","2009-10-26","241059"
"103","2009-10-27","247356"
"104","2009-10-28","268009"
"105","2009-10-29","272758"
"106","2009-10-30","308408"
"107","2009-10-31","285522"
"108","2009-11-01","91393"
"109","2009-11-02","184693"
"110","2009-11-03","183198"
"111","2009-11-04","174779"
"112","2009-11-05","185757"
"113","2009-11-06","200119"
"114","2009-11-07","373877"
"115","2009-11-08","137347"
"116","2009-11-09","192900"
"117","2009-11-10","182616"
"118","2009-11-11","203448"
"119","2009-11-12","208265"
"120","2009-11-13","217960"
"121","2009-11-14","352220"
"122","2009-11-15","178887"
"123","2009-11-16","171413"
"124","2009-11-17","194798"
"125","2009-11-18","168836"
"126","2009-11-19","219728"
"127","2009-11-20","239822"
"128","2009-11-21","359848"
"129","2009-11-22","157867"
"130","2009-11-23","189585"
"131","2009-11-24","190267"
"132","2009-11-25","196056"
"133","2009-11-26","243662"
"134","2009-11-27","276742"
"135","2009-11-28","454615"
"136","2009-11-29","153419"
"137","2009-11-30","240443"
"138","2009-12-01","231657"
"139","2009-12-02","234701"
"140","2009-12-03","261507"
"141","2009-12-04","308327"
"142","2009-12-05","478935"
"143","2009-12-06","217461"
"144","2009-12-07","247612"
"145","2009-12-08","250866"
"146","2009-12-09","254860"
"147","2009-12-10","300345"
"148","2009-12-11","295546"
"149","2009-12-12","432023"
"150","2009-12-13","237357"
"151","2009-12-14","253427"
"152","2009-12-15","260164"
"153","2009-12-16","270989"
"154","2009-12-17","316391"
"155","2009-12-18","274173"
"156","2009-12-19","385995"
"157","2009-12-20","190825"
"158","2009-12-21","371361"
"159","2009-12-22","352386"
"160","2009-12-23","383282"
"161","2009-12-24","232983"
"162","2009-12-25","3053"
"163","2009-12-26","246775"
"164","2009-12-27","207009"
"165","2009-12-28","318807"
"166","2009-12-29","349118"
"167","2009-12-30","282622"
"168","2009-12-31","274723"
"169","2010-01-01","35794"
"170","2010-01-02","259075"
"171","2010-01-03","84861"
"172","2010-01-04","198615"
"173","2010-01-05","96585"
"174","2010-01-06","115830"
"175","2010-01-07","152620"
"176","2010-01-08","169990"
"177","2010-01-09","203621"
"178","2010-01-10","87591"
"179","2010-01-11","138140"
"180","2010-01-12","152065"
"181","2010-01-13","135109"
"182","2010-01-14","152376"
"183","2010-01-15","170924"
"184","2010-01-16","240189"
"185","2010-01-17","112155"
"186","2010-01-18","165784"
"187","2010-01-19","163923"
"188","2010-01-20","163903"
"189","2010-01-21","187280"
"190","2010-01-22","170731"
"191","2010-01-23","275902"
"192","2010-01-24","102542"
"193","2010-01-25","162461"
"194","2010-01-26","179871"
"195","2010-01-27","165835"
"196","2010-01-28","187837"
"197","2010-01-29","209648"
"198","2010-01-30","328443"
"199","2010-01-31","129047"
"200","2010-02-01","165019"
"201","2010-02-02","148319"
"202","2010-02-03","161207"
"203","2010-02-04","161195"
"204","2010-02-05","186835"
"205","2010-02-06","277948"
"206","2010-02-07","108027"
"207","2010-02-08","160825"
"208","2010-02-09","170808"
"209","2010-02-10","172219"
"210","2010-02-11","191003"
"211","2010-02-12","210814"
"212","2010-02-13","302295"
"213","2010-02-14","119857"
"214","2010-02-15","193620"
"215","2010-02-16","213553"
"216","2010-02-17","207682"
"217","2010-02-18","201833"
"218","2010-02-19","229534"
"219","2010-02-20","281005"
