Date,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
01/01/2020,Leeds,Briggate,,Sunday,2016,4,December,52,1146,0,1146,0,0,0,1146,0,1146
01/01/2017,Leeds,"Briggate at McDonalds	",,Sunday,2016,4,December,52,496,478,974,0,0,0,496,478,974
01/01/2017,Leeds,Commercial Street at Sharps,,Sunday,2016,4,December,52,124,0,124,0,0,0,124,0,124
01/01/2017,Leeds,Commercial Street at Barratts,,Sunday,2016,4,December,52,167,0,167,0,0,0,167,0,167
01/01/2017,Leeds,Headrow,,Sunday,2016,4,December,52,338,0,338,0,0,0,338,0,338
01/01/2017,Leeds,"Dortmund Square	",,Sunday,2016,4,December,52,395,0,395,0,0,0,395,0,395
01/01/2017,Leeds,Albion Street South,,Sunday,2016,4,December,52,3,0,3,0,0,0,3,0,3
01/01/2017,Leeds,Albion Street North,,Sunday,2016,4,December,52,11,0,11,0,0,0,11,0,11
01/01/2017,Leeds,Briggate,,Sunday,2016,4,December,52,1048,0,1048,0,0,0,1048,0,1048
01/01/2017,Leeds,"Briggate at McDonalds	",,Sunday,2016,4,December,52,355,422,777,0,0,0,355,422,777
01/01/2017,Leeds,Commercial Street at Sharps,,Sunday,2016,4,December,52,127,0,127,0,0,0,127,0,127
01/01/2017,Leeds,Commercial Street at Barratts,,Sunday,2016,4,December,52,71,0,71,0,0,0,71,0,71
01/01/2017,Leeds,Headrow,,Sunday,2016,4,December,52,194,0,194,0,0,0,194,0,194
01/01/2017,Leeds,"Dortmund Square	",,Sunday,2016,4,December,52,239,0,239,0,0,0,239,0,239
01/01/2017,Leeds,Albion Street South,,Sunday,2016,4,December,52,65,0,65,0,0,0,65,0,65
01/01/2017,Leeds,Albion Street North,,Sunday,2016,4,December,52,82,0,82,0,0,0,82,0,82
01/01/2017,Leeds,Briggate,,Sunday,2016,4,December,52,976,0,976,0,0,0,976,0,976
01/01/2017,Leeds,"Briggate at McDonalds	",,Sunday,2016,4,December,52,317,432,749,0,0,0,317,432,749
01/01/2017,Leeds,Commercial Street at Sharps,,Sunday,2016,4,December,52,112,0,112,0,0,0,112,0,112
01/01/2017,Leeds,Commercial Street at Barratts,,Sunday,2016,4,December,52,41,0,41,0,0,0,41,0,41
01/01/2017,Leeds,Headrow,,Sunday,2016,4,December,52,216,0,216,0,0,0,216,0,216
01/01/2017,Leeds,"Dortmund Square	",,Sunday,2016,4,December,52,195,0,195,0,0,0,195,0,195
