Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2017-01-01,0,Leeds,Briggate,,Sunday,2016,4,December,52,1146,0,1146,0,0,0,1146,0,1146
2017-01-01,0,Leeds,"Briggate at McDonalds	",,Sunday,2016,4,December,52,496,478,974,0,0,0,496,478,974
2017-01-01,0,Leeds,Commercial Street at Sharps,,Sunday,2016,4,December,52,124,0,124,0,0,0,124,0,124
2017-01-01,0,Leeds,Commercial Street at Barratts,,Sunday,2016,4,December,52,167,0,167,0,0,0,167,0,167
2017-01-01,0,Leeds,Headrow,,Sunday,2016,4,December,52,338,0,338,0,0,0,338,0,338
2017-01-01,0,Leeds,"Dortmund Square	",,Sunday,2016,4,December,52,395,0,395,0,0,0,395,0,395
2017-01-01,0,Leeds,Albion Street South,,Sunday,2016,4,December,52,3,0,3,0,0,0,3,0,3
2017-01-01,0,Leeds,Albion Street North,,Sunday,2016,4,December,52,11,0,11,0,0,0,11,0,11
2017-01-01,1,Leeds,Briggate,,Sunday,2016,4,December,52,1048,0,1048,0,0,0,1048,0,1048
2017-01-01,1,Leeds,"Briggate at McDonalds	",,Sunday,2016,4,December,52,355,422,777,0,0,0,355,422,777
2017-01-01,1,Leeds,Commercial Street at Sharps,,Sunday,2016,4,December,52,127,0,127,0,0,0,127,0,127
2017-01-01,1,Leeds,Commercial Street at Barratts,,Sunday,2016,4,December,52,71,0,71,0,0,0,71,0,71
2017-01-01,1,Leeds,Headrow,,Sunday,2016,4,December,52,194,0,194,0,0,0,194,0,194
2017-01-01,1,Leeds,"Dortmund Square	",,Sunday,2016,4,December,52,239,0,239,0,0,0,239,0,239
2017-01-01,1,Leeds,Albion Street South,,Sunday,2016,4,December,52,65,0,65,0,0,0,65,0,65
2017-01-01,1,Leeds,Albion Street North,,Sunday,2016,4,December,52,82,0,82,0,0,0,82,0,82
2017-01-01,2,Leeds,Briggate,,Sunday,2016,4,December,52,976,0,976,0,0,0,976,0,976
2017-01-01,2,Leeds,"Briggate at McDonalds	",,Sunday,2016,4,December,52,317,432,749,0,0,0,317,432,749
2017-01-01,2,Leeds,Commercial Street at Sharps,,Sunday,2016,4,December,52,112,0,112,0,0,0,112,0,112
2017-01-01,2,Leeds,Commercial Street at Barratts,,Sunday,2016,4,December,52,41,0,41,0,0,0,41,0,41
2017-01-01,2,Leeds,Headrow,,Sunday,2016,4,December,52,216,0,216,0,0,0,216,0,216
2017-01-01,2,Leeds,"Dortmund Square	",,Sunday,2016,4,December,52,195,0,195,0,0,0,195,0,195
2017-01-01,2,Leeds,Albion Street South,,Sunday,2016,4,December,52,52,0,52,0,0,0,52,0,52
2017-01-01,2,Leeds,Albion Street North,,Sunday,2016,4,December,52,65,0,65,0,0,0,65,0,65
2017-01-01,3,Leeds,Briggate,,Sunday,2016,4,December,52,592,0,592,0,0,0,592,0,592
2017-01-01,3,Leeds,"Briggate at McDonalds	",,Sunday,2016,4,December,52,188,237,425,0,0,0,188,237,425
2017-01-01,3,Leeds,Commercial Street at Sharps,,Sunday,2016,4,December,52,50,0,50,0,0,0,50,0,50
2017-01-01,3,Leeds,Commercial Street at Barratts,,Sunday,2016,4,December,52,30,0,30,0,0,0,30,0,30
2017-01-01,3,Leeds,Headrow,,Sunday,2016,4,December,52,162,0,162,0,0,0,162,0,162
2017-01-01,3,Leeds,"Dortmund Square	",,Sunday,2016,4,December,52,116,0,116,0,0,0,116,0,116
2017-01-01,3,Leeds,Albion Street South,,Sunday,2016,4,December,52,20,0,20,0,0,0,20,0,20
2017-01-01,3,Leeds,Albion Street North,,Sunday,2016,4,December,52,64,0,64,0,0,0,64,0,64
2017-01-01,4,Leeds,Briggate,,Sunday,2016,4,December,52,528,0,528,0,0,0,528,0,528
2017-01-01,4,Leeds,"Briggate at McDonalds	",,Sunday,2016,4,December,52,112,199,311,0,0,0,112,199,311
2017-01-01,4,Leeds,Commercial Street at Sharps,,Sunday,2016,4,December,52,33,0,33,0,0,0,33,0,33
2017-01-01,4,Leeds,Commercial Street at Barratts,,Sunday,2016,4,December,52,0,0,0,0,0,0,0,0,0
2017-01-01,4,Leeds,Headrow,,Sunday,2016,4,December,52,96,0,96,0,0,0,96,0,96
2017-01-01,4,Leeds,"Dortmund Square	",,Sunday,2016,4,December,52,83,0,83,0,0,0,83,0,83
