Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-07-01,0,Leeds,Briggate,,Friday,2016,2,June,26,68,0,68,0,0,0,68,0,68
2016-07-01,0,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,94,0,94,0,0,0,94,0,94
2016-07-01,0,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,77,0,77,0,0,0,77,0,77
2016-07-01,0,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,40,0,40,0,0,0,40,0,40
2016-07-01,0,Leeds,Headrow,,Friday,2016,2,June,26,93,0,93,0,0,0,93,0,93
2016-07-01,0,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,60,0,60,0,0,0,60,0,60
2016-07-01,0,Leeds,Albion Street South,,Friday,2016,2,June,26,49,0,49,0,0,0,49,0,49
2016-07-01,0,Leeds,Albion Street North,,Friday,2016,2,June,26,12,0,12,0,0,0,12,0,12
2016-07-01,1,Leeds,Briggate,,Friday,2016,2,June,26,23,0,23,0,0,0,23,0,23
2016-07-01,1,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,59,0,59,0,0,0,59,0,59
2016-07-01,1,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,30,0,30,0,0,0,30,0,30
2016-07-01,1,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,19,0,19,0,0,0,19,0,19
2016-07-01,1,Leeds,Headrow,,Friday,2016,2,June,26,48,0,48,0,0,0,48,0,48
2016-07-01,1,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,31,0,31,0,0,0,31,0,31
2016-07-01,1,Leeds,Albion Street South,,Friday,2016,2,June,26,33,0,33,0,0,0,33,0,33
2016-07-01,1,Leeds,Albion Street North,,Friday,2016,2,June,26,4,0,4,0,0,0,4,0,4
2016-07-01,2,Leeds,Briggate,,Friday,2016,2,June,26,44,0,44,0,0,0,44,0,44
2016-07-01,2,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,56,0,56,0,0,0,56,0,56
2016-07-01,2,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,24,0,24,0,0,0,24,0,24
2016-07-01,2,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,0,0,0,0,0,0,0,0,0
2016-07-01,2,Leeds,Headrow,,Friday,2016,2,June,26,27,0,27,0,0,0,27,0,27
2016-07-01,2,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,38,0,38,0,0,0,38,0,38
2016-07-01,2,Leeds,Albion Street South,,Friday,2016,2,June,26,8,0,8,0,0,0,8,0,8
2016-07-01,2,Leeds,Albion Street North,,Friday,2016,2,June,26,0,0,0,0,0,0,0,0,0
2016-07-01,3,Leeds,Briggate,,Friday,2016,2,June,26,37,0,37,0,0,0,37,0,37
2016-07-01,3,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,70,0,70,0,0,0,70,0,70
2016-07-01,3,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,28,0,28,0,0,0,28,0,28
2016-07-01,3,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,20,0,20,0,0,0,20,0,20
2016-07-01,3,Leeds,Headrow,,Friday,2016,2,June,26,16,0,16,0,0,0,16,0,16
2016-07-01,3,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,27,0,27,0,0,0,27,0,27
2016-07-01,3,Leeds,Albion Street South,,Friday,2016,2,June,26,5,0,5,0,0,0,5,0,5
2016-07-01,3,Leeds,Albion Street North,,Friday,2016,2,June,26,0,0,0,0,0,0,0,0,0
2016-07-01,4,Leeds,Briggate,,Friday,2016,2,June,26,77,0,77,0,0,0,77,0,77
2016-07-01,4,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,41,0,41,0,0,0,41,0,41
2016-07-01,4,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,34,0,34,0,0,0,34,0,34
2016-07-01,4,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,10,0,10,0,0,0,10,0,10
2016-07-01,4,Leeds,Headrow,,Friday,2016,2,June,26,18,0,18,0,0,0,18,0,18
2016-07-01,4,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,19,0,19,0,0,0,19,0,19
2016-07-01,4,Leeds,Albion Street South,,Friday,2016,2,June,26,10,0,10,0,0,0,10,0,10
2016-07-01,4,Leeds,Albion Street North,,Friday,2016,2,June,26,0,0,0,0,0,0,0,0,0
2016-07-01,5,Leeds,Briggate,,Friday,2016,2,June,26,103,0,103,0,0,0,103,0,103
2016-07-01,5,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,48,0,48,0,0,0,48,0,48
2016-07-01,5,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,77,0,77,0,0,0,77,0,77
2016-07-01,5,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,13,0,13,0,0,0,13,0,13
2016-07-01,5,Leeds,Headrow,,Friday,2016,2,June,26,26,0,26,0,0,0,26,0,26
2016-07-01,5,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,25,0,25,0,0,0,25,0,25
2016-07-01,5,Leeds,Albion Street South,,Friday,2016,2,June,26,22,0,22,0,0,0,22,0,22
2016-07-01,5,Leeds,Albion Street North,,Friday,2016,2,June,26,19,0,19,0,0,0,19,0,19
2016-07-01,6,Leeds,Briggate,,Friday,2016,2,June,26,266,0,266,0,0,0,266,0,266
2016-07-01,6,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,81,0,81,0,0,0,81,0,81
2016-07-01,6,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,112,0,112,0,0,0,112,0,112
2016-07-01,6,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,49,0,49,0,0,0,49,0,49
2016-07-01,6,Leeds,Headrow,,Friday,2016,2,June,26,107,0,107,0,0,0,107,0,107
2016-07-01,6,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,100,0,100,0,0,0,100,0,100
2016-07-01,6,Leeds,Albion Street South,,Friday,2016,2,June,26,27,0,27,0,0,0,27,0,27
2016-07-01,6,Leeds,Albion Street North,,Friday,2016,2,June,26,18,0,18,0,0,0,18,0,18
2016-07-01,7,Leeds,Briggate,,Friday,2016,2,June,26,504,0,504,0,0,0,504,0,504
2016-07-01,7,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,263,0,263,0,0,0,263,0,263
2016-07-01,7,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,307,0,307,0,0,0,307,0,307
2016-07-01,7,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,240,0,240,0,0,0,240,0,240
2016-07-01,7,Leeds,Headrow,,Friday,2016,2,June,26,276,0,276,0,0,0,276,0,276
2016-07-01,7,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,492,0,492,0,0,0,492,0,492
2016-07-01,7,Leeds,Albion Street South,,Friday,2016,2,June,26,176,0,176,0,0,0,176,0,176
2016-07-01,7,Leeds,Albion Street North,,Friday,2016,2,June,26,105,0,105,0,0,0,105,0,105
2016-07-01,8,Leeds,Briggate,,Friday,2016,2,June,26,944,0,944,0,0,0,944,0,944
2016-07-01,8,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,443,0,443,0,0,0,443,0,443
2016-07-01,8,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,818,0,818,0,0,0,818,0,818
2016-07-01,8,Leeds,Commercial Street at Barratts,,Friday,2016,2,June,26,681,0,681,0,0,0,681,0,681
2016-07-01,8,Leeds,Headrow,,Friday,2016,2,June,26,547,0,547,0,0,0,547,0,547
2016-07-01,8,Leeds,"Dortmund Square	",,Friday,2016,2,June,26,996,0,996,0,0,0,996,0,996
2016-07-01,8,Leeds,Albion Street South,,Friday,2016,2,June,26,551,0,551,0,0,0,551,0,551
2016-07-01,8,Leeds,Albion Street North,,Friday,2016,2,June,26,601,0,601,0,0,0,601,0,601
2016-07-01,9,Leeds,Briggate,,Friday,2016,2,June,26,1304,0,1304,0,0,0,1304,0,1304
2016-07-01,9,Leeds,"Briggate at McDonalds	",,Friday,2016,2,June,26,461,0,461,0,0,0,461,0,461
2016-07-01,9,Leeds,Commercial Street at Sharps,,Friday,2016,2,June,26,1121,0,1121,0,0,0,1121,0,1121
