Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-02-29,0,Leeds,Briggate,,Monday,2016,1,March,9,64,0,64,0,0,0,64,0,64
2016-02-29,0,Leeds,"Briggate at McDonalds	",,Monday,2016,1,March,9,61,0,61,0,0,0,61,0,61
2016-02-29,0,Leeds,Commercial Street at Sharps,,Monday,2016,1,March,9,21,0,21,0,0,0,21,0,21
2016-02-29,0,Leeds,Commercial Street at Barratts,,Monday,2016,1,March,9,21,0,21,0,0,0,21,0,21
2016-02-29,0,Leeds,Headrow,,Monday,2016,1,March,9,28,0,28,0,0,0,28,0,28
2016-02-29,0,Leeds,"Dortmund Square	",,Monday,2016,1,March,9,45,0,45,0,0,0,45,0,45
2016-02-29,0,Leeds,Albion Street South,,Monday,2016,1,March,9,18,0,18,0,0,0,18,0,18
2016-02-29,0,Leeds,Albion Street North,,Monday,2016,1,March,9,16,0,16,0,0,0,16,0,16
2016-02-29,1,Leeds,Briggate,,Monday,2016,1,March,9,40,0,40,0,0,0,40,0,40
2016-02-29,1,Leeds,"Briggate at McDonalds	",,Monday,2016,1,March,9,66,0,66,0,0,0,66,0,66
2016-02-29,1,Leeds,Commercial Street at Sharps,,Monday,2016,1,March,9,4,0,4,0,0,0,4,0,4
2016-02-29,1,Leeds,Commercial Street at Barratts,,Monday,2016,1,March,9,0,0,0,0,0,0,0,0,0
2016-02-29,1,Leeds,Headrow,,Monday,2016,1,March,9,9,0,9,0,0,0,9,0,9
2016-02-29,1,Leeds,"Dortmund Square	",,Monday,2016,1,March,9,21,0,21,0,0,0,21,0,21
2016-02-29,1,Leeds,Albion Street South,,Monday,2016,1,March,9,10,0,10,0,0,0,10,0,10
2016-02-29,1,Leeds,Albion Street North,,Monday,2016,1,March,9,6,0,6,0,0,0,6,0,6
2016-02-29,2,Leeds,Briggate,,Monday,2016,1,March,9,36,0,36,0,0,0,36,0,36
2016-02-29,2,Leeds,"Briggate at McDonalds	",,Monday,2016,1,March,9,23,0,23,0,0,0,23,0,23
2016-02-29,2,Leeds,Commercial Street at Sharps,,Monday,2016,1,March,9,7,0,7,0,0,0,7,0,7
2016-02-29,2,Leeds,Commercial Street at Barratts,,Monday,2016,1,March,9,0,0,0,0,0,0,0,0,0
2016-02-29,2,Leeds,Headrow,,Monday,2016,1,March,9,16,0,16,0,0,0,16,0,16
2016-02-29,2,Leeds,"Dortmund Square	",,Monday,2016,1,March,9,17,0,17,0,0,0,17,0,17
2016-02-29,2,Leeds,Albion Street South,,Monday,2016,1,March,9,3,0,3,0,0,0,3,0,3
2016-02-29,2,Leeds,Albion Street North,,Monday,2016,1,March,9,0,0,0,0,0,0,0,0,0
2016-02-29,3,Leeds,Briggate,,Monday,2016,1,March,9,23,0,23,0,0,0,23,0,23
2016-02-29,3,Leeds,"Briggate at McDonalds	",,Monday,2016,1,March,9,30,0,30,0,0,0,30,0,30
2016-02-29,3,Leeds,Commercial Street at Sharps,,Monday,2016,1,March,9,18,0,18,0,0,0,18,0,18
2016-02-29,3,Leeds,Commercial Street at Barratts,,Monday,2016,1,March,9,0,0,0,0,0,0,0,0,0
2016-02-29,3,Leeds,Headrow,,Monday,2016,1,March,9,10,0,10,0,0,0,10,0,10
2016-02-29,3,Leeds,"Dortmund Square	",,Monday,2016,1,March,9,11,0,11,0,0,0,11,0,11
2016-02-29,3,Leeds,Albion Street South,,Monday,2016,1,March,9,12,0,12,0,0,0,12,0,12
2016-02-29,3,Leeds,Albion Street North,,Monday,2016,1,March,9,4,0,4,0,0,0,4,0,4
2016-02-29,4,Leeds,Briggate,,Monday,2016,1,March,9,18,0,18,0,0,0,18,0,18
2016-02-29,4,Leeds,"Briggate at McDonalds	",,Monday,2016,1,March,9,15,0,15,0,0,0,15,0,15
2016-02-29,4,Leeds,Commercial Street at Sharps,,Monday,2016,1,March,9,25,0,25,0,0,0,25,0,25
2016-02-29,4,Leeds,Commercial Street at Barratts,,Monday,2016,1,March,9,0,0,0,0,0,0,0,0,0
2016-02-29,4,Leeds,Headrow,,Monday,2016,1,March,9,8,0,8,0,0,0,8,0,8
2016-02-29,4,Leeds,"Dortmund Square	",,Monday,2016,1,March,9,9,0,9,0,0,0,9,0,9
2016-02-29,4,Leeds,Albion Street South,,Monday,2016,1,March,9,3,0,3,0,0,0,3,0,3
2016-02-29,4,Leeds,Albion Street North,,Monday,2016,1,March,9,3,0,3,0,0,0,3,0,3
2016-02-29,5,Leeds,Briggate,,Monday,2016,1,March,9,47,0,47,0,0,0,47,0,47
2016-02-29,5,Leeds,"Briggate at McDonalds	",,Monday,2016,1,March,9,64,0,64,0,0,0,64,0,64
2016-02-29,5,Leeds,Commercial Street at Sharps,,Monday,2016,1,March,9,45,0,45,0,0,0,45,0,45
2016-02-29,5,Leeds,Commercial Street at Barratts,,Monday,2016,1,March,9,21,0,21,0,0,0,21,0,21
2016-02-29,5,Leeds,Headrow,,Monday,2016,1,March,9,18,0,18,0,0,0,18,0,18
2016-02-29,5,Leeds,"Dortmund Square	",,Monday,2016,1,March,9,22,0,22,0,0,0,22,0,22
2016-02-29,5,Leeds,Albion Street South,,Monday,2016,1,March,9,22,0,22,0,0,0,22,0,22
2016-02-29,5,Leeds,Albion Street North,,Monday,2016,1,March,9,5,0,5,0,0,0,5,0,5
2016-02-29,6,Leeds,Briggate,,Monday,2016,1,March,9,161,0,161,0,0,0,161,0,161
2016-02-29,6,Leeds,"Briggate at McDonalds	",,Monday,2016,1,March,9,142,0,142,0,0,0,142,0,142
2016-02-29,6,Leeds,Commercial Street at Sharps,,Monday,2016,1,March,9,90,0,90,0,0,0,90,0,90
