Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-04-04,0,Leeds,Briggate,,Monday,2016,2,April,14,155,0,155,0,0,0,155,0,155
2016-04-04,0,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,68,0,68,0,0,0,68,0,68
2016-04-04,0,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,53,0,53,0,0,0,53,0,53
2016-04-04,0,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,23,0,23,0,0,0,23,0,23
2016-04-04,0,Leeds,Headrow,,Monday,2016,2,April,14,15,0,15,0,0,0,15,0,15
2016-04-04,0,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,43,0,43,0,0,0,43,0,43
2016-04-04,0,Leeds,Albion Street South,,Monday,2016,2,April,14,21,0,21,0,0,0,21,0,21
2016-04-04,0,Leeds,Albion Street North,,Monday,2016,2,April,14,18,0,18,0,0,0,18,0,18
2016-04-04,1,Leeds,Briggate,,Monday,2016,2,April,14,86,0,86,0,0,0,86,0,86
2016-04-04,1,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,54,0,54,0,0,0,54,0,54
2016-04-04,1,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,14,0,14,0,0,0,14,0,14
2016-04-04,1,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,0,0,0,0,0,0,0,0,0
2016-04-04,1,Leeds,Headrow,,Monday,2016,2,April,14,51,0,51,0,0,0,51,0,51
2016-04-04,1,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,14,0,14,0,0,0,14,0,14
2016-04-04,1,Leeds,Albion Street South,,Monday,2016,2,April,14,11,0,11,0,0,0,11,0,11
2016-04-04,1,Leeds,Albion Street North,,Monday,2016,2,April,14,5,0,5,0,0,0,5,0,5
2016-04-04,2,Leeds,Briggate,,Monday,2016,2,April,14,42,0,42,0,0,0,42,0,42
2016-04-04,2,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,23,0,23,0,0,0,23,0,23
2016-04-04,2,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,76,0,76,0,0,0,76,0,76
2016-04-04,2,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,0,0,0,0,0,0,0,0,0
2016-04-04,2,Leeds,Headrow,,Monday,2016,2,April,14,19,0,19,0,0,0,19,0,19
2016-04-04,2,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,13,0,13,0,0,0,13,0,13
2016-04-04,2,Leeds,Albion Street South,,Monday,2016,2,April,14,2,0,2,0,0,0,2,0,2
2016-04-04,2,Leeds,Albion Street North,,Monday,2016,2,April,14,0,0,0,0,0,0,0,0,0
2016-04-04,3,Leeds,Briggate,,Monday,2016,2,April,14,27,0,27,0,0,0,27,0,27
2016-04-04,3,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,21,0,21,0,0,0,21,0,21
2016-04-04,3,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,23,0,23,0,0,0,23,0,23
2016-04-04,3,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,0,0,0,0,0,0,0,0,0
2016-04-04,3,Leeds,Headrow,,Monday,2016,2,April,14,4,0,4,0,0,0,4,0,4
2016-04-04,3,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,10,0,10,0,0,0,10,0,10
2016-04-04,3,Leeds,Albion Street South,,Monday,2016,2,April,14,12,0,12,0,0,0,12,0,12
2016-04-04,3,Leeds,Albion Street North,,Monday,2016,2,April,14,3,0,3,0,0,0,3,0,3
2016-04-04,4,Leeds,Briggate,,Monday,2016,2,April,14,24,0,24,0,0,0,24,0,24
2016-04-04,4,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,19,0,19,0,0,0,19,0,19
2016-04-04,4,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,19,0,19,0,0,0,19,0,19
2016-04-04,4,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,0,0,0,0,0,0,0,0,0
2016-04-04,4,Leeds,Headrow,,Monday,2016,2,April,14,15,0,15,0,0,0,15,0,15
2016-04-04,4,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,23,0,23,0,0,0,23,0,23
2016-04-04,4,Leeds,Albion Street South,,Monday,2016,2,April,14,2,0,2,0,0,0,2,0,2
2016-04-04,4,Leeds,Albion Street North,,Monday,2016,2,April,14,2,0,2,0,0,0,2,0,2
2016-04-04,5,Leeds,Briggate,,Monday,2016,2,April,14,56,0,56,0,0,0,56,0,56
2016-04-04,5,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,67,0,67,0,0,0,67,0,67
2016-04-04,5,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,75,0,75,0,0,0,75,0,75
2016-04-04,5,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,23,0,23,0,0,0,23,0,23
2016-04-04,5,Leeds,Headrow,,Monday,2016,2,April,14,40,0,40,0,0,0,40,0,40
2016-04-04,5,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,30,0,30,0,0,0,30,0,30
2016-04-04,5,Leeds,Albion Street South,,Monday,2016,2,April,14,25,0,25,0,0,0,25,0,25
2016-04-04,5,Leeds,Albion Street North,,Monday,2016,2,April,14,4,0,4,0,0,0,4,0,4
2016-04-04,6,Leeds,Briggate,,Monday,2016,2,April,14,164,0,164,0,0,0,164,0,164
2016-04-04,6,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,157,0,157,0,0,0,157,0,157
2016-04-04,6,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,129,0,129,0,0,0,129,0,129
2016-04-04,6,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,124,0,124,0,0,0,124,0,124
2016-04-04,6,Leeds,Headrow,,Monday,2016,2,April,14,81,0,81,0,0,0,81,0,81
2016-04-04,6,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,108,0,108,0,0,0,108,0,108
2016-04-04,6,Leeds,Albion Street South,,Monday,2016,2,April,14,37,0,37,0,0,0,37,0,37
2016-04-04,6,Leeds,Albion Street North,,Monday,2016,2,April,14,24,0,24,0,0,0,24,0,24
2016-04-04,7,Leeds,Briggate,,Monday,2016,2,April,14,511,0,511,0,0,0,511,0,511
2016-04-04,7,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,355,0,355,0,0,0,355,0,355
2016-04-04,7,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,342,0,342,0,0,0,342,0,342
2016-04-04,7,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,296,0,296,0,0,0,296,0,296
2016-04-04,7,Leeds,Headrow,,Monday,2016,2,April,14,217,0,217,0,0,0,217,0,217
2016-04-04,7,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,484,0,484,0,0,0,484,0,484
2016-04-04,7,Leeds,Albion Street South,,Monday,2016,2,April,14,169,0,169,0,0,0,169,0,169
2016-04-04,7,Leeds,Albion Street North,,Monday,2016,2,April,14,140,0,140,0,0,0,140,0,140
2016-04-04,8,Leeds,Briggate,,Monday,2016,2,April,14,859,0,859,0,0,0,859,0,859
2016-04-04,8,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,545,0,545,0,0,0,545,0,545
2016-04-04,8,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,830,0,830,0,0,0,830,0,830
2016-04-04,8,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,659,0,659,0,0,0,659,0,659
2016-04-04,8,Leeds,Headrow,,Monday,2016,2,April,14,552,0,552,0,0,0,552,0,552
2016-04-04,8,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,945,0,945,0,0,0,945,0,945
2016-04-04,8,Leeds,Albion Street South,,Monday,2016,2,April,14,479,0,479,0,0,0,479,0,479
2016-04-04,8,Leeds,Albion Street North,,Monday,2016,2,April,14,629,0,629,0,0,0,629,0,629
2016-04-04,9,Leeds,Briggate,,Monday,2016,2,April,14,964,0,964,0,0,0,964,0,964
2016-04-04,9,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,597,0,597,0,0,0,597,0,597
2016-04-04,9,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,961,0,961,0,0,0,961,0,961
2016-04-04,9,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,743,0,743,0,0,0,743,0,743
2016-04-04,9,Leeds,Headrow,,Monday,2016,2,April,14,675,0,675,0,0,0,675,0,675
2016-04-04,9,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,867,0,867,0,0,0,867,0,867
2016-04-04,9,Leeds,Albion Street South,,Monday,2016,2,April,14,516,0,516,0,0,0,516,0,516
2016-04-04,9,Leeds,Albion Street North,,Monday,2016,2,April,14,673,0,673,0,0,0,673,0,673
2016-04-04,10,Leeds,Briggate,,Monday,2016,2,April,14,1568,0,1568,0,0,0,1568,0,1568
2016-04-04,10,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,881,0,881,0,0,0,881,0,881
2016-04-04,10,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,1407,0,1407,0,0,0,1407,0,1407
2016-04-04,10,Leeds,Commercial Street at Barratts,,Monday,2016,2,April,14,1136,0,1136,0,0,0,1136,0,1136
2016-04-04,10,Leeds,Headrow,,Monday,2016,2,April,14,1060,0,1060,0,0,0,1060,0,1060
2016-04-04,10,Leeds,"Dortmund Square	",,Monday,2016,2,April,14,998,0,998,0,0,0,998,0,998
2016-04-04,10,Leeds,Albion Street South,,Monday,2016,2,April,14,1044,0,1044,0,0,0,1044,0,1044
2016-04-04,10,Leeds,Albion Street North,,Monday,2016,2,April,14,1226,0,1226,0,0,0,1226,0,1226
2016-04-04,11,Leeds,Briggate,,Monday,2016,2,April,14,2438,0,2438,0,0,0,2438,0,2438
2016-04-04,11,Leeds,"Briggate at McDonalds	",,Monday,2016,2,April,14,1143,0,1143,0,0,0,1143,0,1143
2016-04-04,11,Leeds,Commercial Street at Sharps,,Monday,2016,2,April,14,2104,0,2104,0,0,0,2104,0,2104
