Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-04-06,0,Leeds,Briggate,,Monday,2015,2,April,14,863,0,863,0,0,0,863,0,863
2015-04-06,0,Leeds,"Briggate at McDonalds	",,Monday,2015,2,April,14,380,0,380,0,0,0,380,0,380
2015-04-06,0,Leeds,Commercial Street at Lush,,Monday,2015,2,April,14,33,0,33,0,0,0,33,0,33
2015-04-06,0,Leeds,Commercial Street at Barratts,,Monday,2015,2,April,14,33,0,33,0,0,0,33,0,33
2015-04-06,0,Leeds,Headrow,,Monday,2015,2,April,14,212,0,212,0,0,0,212,0,212
2015-04-06,0,Leeds,"Dortmund Square	",,Monday,2015,2,April,14,166,0,166,0,0,0,166,0,166
2015-04-06,0,Leeds,Albion Street South,,Monday,2015,2,April,14,44,0,44,0,0,0,44,0,44
2015-04-06,0,Leeds,Albion Street North,,Monday,2015,2,April,14,128,0,128,0,0,0,128,0,128
2015-04-06,1,Leeds,Briggate,,Monday,2015,2,April,14,705,0,705,0,0,0,705,0,705
2015-04-06,1,Leeds,"Briggate at McDonalds	",,Monday,2015,2,April,14,240,0,240,0,0,0,240,0,240
2015-04-06,1,Leeds,Commercial Street at Lush,,Monday,2015,2,April,14,18,0,18,0,0,0,18,0,18
2015-04-06,1,Leeds,Commercial Street at Barratts,,Monday,2015,2,April,14,13,0,13,0,0,0,13,0,13
2015-04-06,1,Leeds,Headrow,,Monday,2015,2,April,14,157,0,157,0,0,0,157,0,157
2015-04-06,1,Leeds,"Dortmund Square	",,Monday,2015,2,April,14,81,0,81,0,0,0,81,0,81
2015-04-06,1,Leeds,Albion Street South,,Monday,2015,2,April,14,15,0,15,0,0,0,15,0,15
2015-04-06,1,Leeds,Albion Street North,,Monday,2015,2,April,14,79,0,79,0,0,0,79,0,79
2015-04-06,2,Leeds,Briggate,,Monday,2015,2,April,14,549,0,549,0,0,0,549,0,549
2015-04-06,2,Leeds,"Briggate at McDonalds	",,Monday,2015,2,April,14,161,0,161,0,0,0,161,0,161
2015-04-06,2,Leeds,Commercial Street at Lush,,Monday,2015,2,April,14,15,0,15,0,0,0,15,0,15
2015-04-06,2,Leeds,Commercial Street at Barratts,,Monday,2015,2,April,14,0,0,0,0,0,0,0,0,0
2015-04-06,2,Leeds,Headrow,,Monday,2015,2,April,14,152,0,152,0,0,0,152,0,152
2015-04-06,2,Leeds,"Dortmund Square	",,Monday,2015,2,April,14,76,0,76,0,0,0,76,0,76
2015-04-06,2,Leeds,Albion Street South,,Monday,2015,2,April,14,6,0,6,0,0,0,6,0,6
2015-04-06,2,Leeds,Albion Street North,,Monday,2015,2,April,14,120,0,120,0,0,0,120,0,120
2015-04-06,3,Leeds,Briggate,,Monday,2015,2,April,14,513,0,513,0,0,0,513,0,513
2015-04-06,3,Leeds,"Briggate at McDonalds	",,Monday,2015,2,April,14,166,0,166,0,0,0,166,0,166
2015-04-06,3,Leeds,Commercial Street at Lush,,Monday,2015,2,April,14,29,0,29,0,0,0,29,0,29
2015-04-06,3,Leeds,Commercial Street at Barratts,,Monday,2015,2,April,14,0,0,0,0,0,0,0,0,0
2015-04-06,3,Leeds,Headrow,,Monday,2015,2,April,14,75,0,75,0,0,0,75,0,75
2015-04-06,3,Leeds,"Dortmund Square	",,Monday,2015,2,April,14,40,0,40,0,0,0,40,0,40
2015-04-06,3,Leeds,Albion Street South,,Monday,2015,2,April,14,9,0,9,0,0,0,9,0,9
