Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-01-04,0,Leeds,Briggate,,Monday,2016,1,January,1,27,0,27,0,0,0,27,0,27
2016-01-04,0,Leeds,"Briggate at McDonalds	",,Monday,2016,1,January,1,43,0,43,0,0,0,43,0,43
2016-01-04,0,Leeds,Commercial Street at Sharps,,Monday,2016,1,January,1,2,0,2,0,0,0,2,0,2
2016-01-04,0,Leeds,Commercial Street at Barratts,,Monday,2016,1,January,1,21,0,21,0,0,0,21,0,21
2016-01-04,0,Leeds,Headrow,,Monday,2016,1,January,1,22,0,22,0,0,0,22,0,22
2016-01-04,0,Leeds,"Dortmund Square	",,Monday,2016,1,January,1,15,0,15,0,0,0,15,0,15
2016-01-04,0,Leeds,Albion Street South,,Monday,2016,1,January,1,26,0,26,0,0,0,26,0,26
2016-01-04,0,Leeds,Albion Street North,,Monday,2016,1,January,1,13,0,13,0,0,0,13,0,13
2016-01-04,1,Leeds,Briggate,,Monday,2016,1,January,1,27,0,27,0,0,0,27,0,27
2016-01-04,1,Leeds,"Briggate at McDonalds	",,Monday,2016,1,January,1,36,0,36,0,0,0,36,0,36
2016-01-04,1,Leeds,Commercial Street at Sharps,,Monday,2016,1,January,1,13,0,13,0,0,0,13,0,13
2016-01-04,1,Leeds,Commercial Street at Barratts,,Monday,2016,1,January,1,0,0,0,0,0,0,0,0,0
2016-01-04,1,Leeds,Headrow,,Monday,2016,1,January,1,6,0,6,0,0,0,6,0,6
2016-01-04,1,Leeds,"Dortmund Square	",,Monday,2016,1,January,1,12,0,12,0,0,0,12,0,12
2016-01-04,1,Leeds,Albion Street South,,Monday,2016,1,January,1,15,0,15,0,0,0,15,0,15
2016-01-04,1,Leeds,Albion Street North,,Monday,2016,1,January,1,5,0,5,0,0,0,5,0,5
2016-01-04,2,Leeds,Briggate,,Monday,2016,1,January,1,30,0,30,0,0,0,30,0,30
