Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-11-02,0,Leeds,Briggate,,Monday,2015,4,November,44,62,0,62,0,0,0,62,0,62
2015-11-02,0,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,56,0,56,0,0,0,56,0,56
2015-11-02,0,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,18,0,18,0,0,0,18,0,18
2015-11-02,0,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,22,0,22,0,0,0,22,0,22
2015-11-02,0,Leeds,Headrow,,Monday,2015,4,November,44,18,0,18,0,0,0,18,0,18
2015-11-02,0,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,48,0,48,0,0,0,48,0,48
2015-11-02,0,Leeds,Albion Street South,,Monday,2015,4,November,44,29,0,29,0,0,0,29,0,29
2015-11-02,0,Leeds,Albion Street North,,Monday,2015,4,November,44,3,0,3,0,0,0,3,0,3
2015-11-02,1,Leeds,Briggate,,Monday,2015,4,November,44,25,0,25,0,0,0,25,0,25
2015-11-02,1,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,48,0,48,0,0,0,48,0,48
2015-11-02,1,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,4,0,4,0,0,0,4,0,4
2015-11-02,1,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,1,0,1,0,0,0,1,0,1
2015-11-02,1,Leeds,Headrow,,Monday,2015,4,November,44,21,0,21,0,0,0,21,0,21
2015-11-02,1,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,11,0,11,0,0,0,11,0,11
2015-11-02,1,Leeds,Albion Street South,,Monday,2015,4,November,44,19,0,19,0,0,0,19,0,19
2015-11-02,1,Leeds,Albion Street North,,Monday,2015,4,November,44,0,0,0,0,0,0,0,0,0
2015-11-02,2,Leeds,Briggate,,Monday,2015,4,November,44,14,0,14,0,0,0,14,0,14
2015-11-02,2,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,26,0,26,0,0,0,26,0,26
2015-11-02,2,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,7,0,7,0,0,0,7,0,7
2015-11-02,2,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,0,0,0,0,0,0,0,0,0
2015-11-02,2,Leeds,Headrow,,Monday,2015,4,November,44,7,0,7,0,0,0,7,0,7
2015-11-02,2,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,9,0,9,0,0,0,9,0,9
2015-11-02,2,Leeds,Albion Street South,,Monday,2015,4,November,44,13,0,13,0,0,0,13,0,13
2015-11-02,2,Leeds,Albion Street North,,Monday,2015,4,November,44,0,0,0,0,0,0,0,0,0
2015-11-02,3,Leeds,Briggate,,Monday,2015,4,November,44,26,0,26,0,0,0,26,0,26
2015-11-02,3,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,29,0,29,0,0,0,29,0,29
2015-11-02,3,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,0,0,0,0,0,0,0,0,0
2015-11-02,3,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,0,0,0,0,0,0,0,0,0
2015-11-02,3,Leeds,Headrow,,Monday,2015,4,November,44,2,0,2,0,0,0,2,0,2
2015-11-02,3,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,12,0,12,0,0,0,12,0,12
2015-11-02,3,Leeds,Albion Street South,,Monday,2015,4,November,44,13,0,13,0,0,0,13,0,13
2015-11-02,3,Leeds,Albion Street North,,Monday,2015,4,November,44,0,0,0,0,0,0,0,0,0
2015-11-02,4,Leeds,Briggate,,Monday,2015,4,November,44,11,0,11,0,0,0,11,0,11
2015-11-02,4,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,7,0,7,0,0,0,7,0,7
2015-11-02,4,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,1,0,1,0,0,0,1,0,1
2015-11-02,4,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,1,0,1,0,0,0,1,0,1
2015-11-02,4,Leeds,Headrow,,Monday,2015,4,November,44,10,0,10,0,0,0,10,0,10
2015-11-02,4,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,11,0,11,0,0,0,11,0,11
2015-11-02,4,Leeds,Albion Street South,,Monday,2015,4,November,44,8,0,8,0,0,0,8,0,8
2015-11-02,4,Leeds,Albion Street North,,Monday,2015,4,November,44,0,0,0,0,0,0,0,0,0
2015-11-02,5,Leeds,Briggate,,Monday,2015,4,November,44,36,0,36,0,0,0,36,0,36
2015-11-02,5,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,58,0,58,0,0,0,58,0,58
2015-11-02,5,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,5,0,5,0,0,0,5,0,5
2015-11-02,5,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,22,0,22,0,0,0,22,0,22
2015-11-02,5,Leeds,Headrow,,Monday,2015,4,November,44,22,0,22,0,0,0,22,0,22
2015-11-02,5,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,33,0,33,0,0,0,33,0,33
2015-11-02,5,Leeds,Albion Street South,,Monday,2015,4,November,44,81,0,81,0,0,0,81,0,81
2015-11-02,5,Leeds,Albion Street North,,Monday,2015,4,November,44,24,0,24,0,0,0,24,0,24
2015-11-02,6,Leeds,Briggate,,Monday,2015,4,November,44,61,0,61,0,0,0,61,0,61
2015-11-02,6,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,97,0,97,0,0,0,97,0,97
2015-11-02,6,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,62,0,62,0,0,0,62,0,62
2015-11-02,6,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,94,0,94,0,0,0,94,0,94
2015-11-02,6,Leeds,Headrow,,Monday,2015,4,November,44,72,0,72,0,0,0,72,0,72
2015-11-02,6,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,110,0,110,0,0,0,110,0,110
2015-11-02,6,Leeds,Albion Street South,,Monday,2015,4,November,44,79,0,79,0,0,0,79,0,79
2015-11-02,6,Leeds,Albion Street North,,Monday,2015,4,November,44,28,0,28,0,0,0,28,0,28
2015-11-02,7,Leeds,Briggate,,Monday,2015,4,November,44,500,0,500,0,0,0,500,0,500
2015-11-02,7,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,226,0,226,0,0,0,226,0,226
2015-11-02,7,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,167,0,167,0,0,0,167,0,167
2015-11-02,7,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,214,0,214,0,0,0,214,0,214
2015-11-02,7,Leeds,Headrow,,Monday,2015,4,November,44,236,0,236,0,0,0,236,0,236
2015-11-02,7,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,452,0,452,0,0,0,452,0,452
2015-11-02,7,Leeds,Albion Street South,,Monday,2015,4,November,44,384,0,384,0,0,0,384,0,384
2015-11-02,7,Leeds,Albion Street North,,Monday,2015,4,November,44,260,0,260,0,0,0,260,0,260
2015-11-02,8,Leeds,Briggate,,Monday,2015,4,November,44,948,0,948,0,0,0,948,0,948
2015-11-02,8,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,552,0,552,0,0,0,552,0,552
2015-11-02,8,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,474,0,474,0,0,0,474,0,474
2015-11-02,8,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,467,0,467,0,0,0,467,0,467
2015-11-02,8,Leeds,Headrow,,Monday,2015,4,November,44,612,0,612,0,0,0,612,0,612
2015-11-02,8,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,1169,0,1169,0,0,0,1169,0,1169
2015-11-02,8,Leeds,Albion Street South,,Monday,2015,4,November,44,979,0,979,0,0,0,979,0,979
2015-11-02,8,Leeds,Albion Street North,,Monday,2015,4,November,44,741,0,741,0,0,0,741,0,741
2015-11-02,9,Leeds,Briggate,,Monday,2015,4,November,44,998,0,998,0,0,0,998,0,998
2015-11-02,9,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,634,0,634,0,0,0,634,0,634
2015-11-02,9,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,686,0,686,0,0,0,686,0,686
2015-11-02,9,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,527,0,527,0,0,0,527,0,527
2015-11-02,9,Leeds,Headrow,,Monday,2015,4,November,44,724,0,724,0,0,0,724,0,724
2015-11-02,9,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,1021,0,1021,0,0,0,1021,0,1021
2015-11-02,9,Leeds,Albion Street South,,Monday,2015,4,November,44,614,0,614,0,0,0,614,0,614
2015-11-02,9,Leeds,Albion Street North,,Monday,2015,4,November,44,656,0,656,0,0,0,656,0,656
2015-11-02,10,Leeds,Briggate,,Monday,2015,4,November,44,1535,0,1535,0,0,0,1535,0,1535
2015-11-02,10,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,812,0,812,0,0,0,812,0,812
2015-11-02,10,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,1112,0,1112,0,0,0,1112,0,1112
2015-11-02,10,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,802,0,802,0,0,0,802,0,802
2015-11-02,10,Leeds,Headrow,,Monday,2015,4,November,44,1191,0,1191,0,0,0,1191,0,1191
2015-11-02,10,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,1228,0,1228,0,0,0,1228,0,1228
2015-11-02,10,Leeds,Albion Street South,,Monday,2015,4,November,44,968,0,968,0,0,0,968,0,968
2015-11-02,10,Leeds,Albion Street North,,Monday,2015,4,November,44,815,0,815,0,0,0,815,0,815
2015-11-02,11,Leeds,Briggate,,Monday,2015,4,November,44,2166,0,2166,0,0,0,2166,0,2166
2015-11-02,11,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,1028,0,1028,0,0,0,1028,0,1028
2015-11-02,11,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,1574,0,1574,0,0,0,1574,0,1574
2015-11-02,11,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,1169,0,1169,0,0,0,1169,0,1169
2015-11-02,11,Leeds,Headrow,,Monday,2015,4,November,44,1543,0,1543,0,0,0,1543,0,1543
2015-11-02,11,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,1602,0,1602,0,0,0,1602,0,1602
2015-11-02,11,Leeds,Albion Street South,,Monday,2015,4,November,44,1960,0,1960,0,0,0,1960,0,1960
2015-11-02,11,Leeds,Albion Street North,,Monday,2015,4,November,44,1225,0,1225,0,0,0,1225,0,1225
2015-11-02,12,Leeds,Briggate,,Monday,2015,4,November,44,3916,0,3916,0,0,0,3916,0,3916
2015-11-02,12,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,1573,0,1573,0,0,0,1573,0,1573
2015-11-02,12,Leeds,Commercial Street at Sharps,,Monday,2015,4,November,44,2977,0,2977,0,0,0,2977,0,2977
2015-11-02,12,Leeds,Commercial Street at Barratts,,Monday,2015,4,November,44,2017,0,2017,0,0,0,2017,0,2017
2015-11-02,12,Leeds,Headrow,,Monday,2015,4,November,44,2495,0,2495,0,0,0,2495,0,2495
2015-11-02,12,Leeds,"Dortmund Square	",,Monday,2015,4,November,44,2688,0,2688,0,0,0,2688,0,2688
2015-11-02,12,Leeds,Albion Street South,,Monday,2015,4,November,44,4000,0,4000,0,0,0,4000,0,4000
2015-11-02,12,Leeds,Albion Street North,,Monday,2015,4,November,44,2193,0,2193,0,0,0,2193,0,2193
2015-11-02,13,Leeds,Briggate,,Monday,2015,4,November,44,4046,0,4046,0,0,0,4046,0,4046
2015-11-02,13,Leeds,"Briggate at McDonalds	",,Monday,2015,4,November,44,1700,0,1700,0,0,0,1700,0,1700
