"uniqueDates[i]","total_Foot"
"1","2015-02-02",148246
"2","2015-02-03",152279
"3","2015-02-04",155704
"4","2015-02-05",146715
"5","2015-02-06",165966
"6","2015-02-07",232756
"7","2015-02-08",109666
"8","2015-02-09",139794
"9","2015-02-10",140143
"10","2015-02-11",156019
"11","2015-02-12",164121
"12","2015-02-13",173204
"13","2015-02-14",227492
"14","2015-02-15",116083
"15","2015-02-16",173709
"16","2015-02-17",182574
"17","2015-02-18",194542
"18","2015-02-19",163723
"19","2015-02-20",200489
"20","2015-02-21",215859
"21","2015-02-22",95120
"22","2015-02-23",142621
"23","2015-02-24",145360
"24","2015-02-25",162227
"25","2015-02-26",149100
"26","2015-02-27",203490
"27","2015-02-28",266291
"28","2015-03-01",102082
"29","2015-03-02",131382
"30","2015-03-03",139288
"31","2015-03-04",171750
"32","2015-03-05",176491
"33","2015-03-06",197412
"34","2015-03-07",267970
"35","2015-03-08",119704
"36","2015-03-09",145393
"37","2015-03-10",178371
"38","2015-03-11",167509
"39","2015-03-12",185677
"40","2015-03-13",195359
"41","2015-03-14",248836
"42","2015-03-15",117031
"43","2015-03-16",142441
"44","2015-03-17",161453
"45","2015-03-18",163122
"46","2015-03-19",166787
"47","2015-03-20",187602
"48","2015-03-21",237523
"49","2015-03-22",122919
"50","2015-03-23",140938
"51","2015-03-24",140185
"52","2015-03-25",161395
"53","2015-03-26",145159
"54","2015-03-27",189101
"55","2015-03-28",216828
"56","2015-03-29",97783
"57","2015-03-30",152894
"58","2015-03-31",142529
"59","2015-04-01",169075
"60","2015-04-02",200308
"61","2015-04-03",160691
"62","2015-04-04",219627
"63","2015-04-05",76229
"64","2016-08-01",181910
"65","2016-08-02",193975
"66","2016-08-03",190008
"67","2016-08-04",192126
"68","2016-08-05",213585
"69","2016-08-06",232444
"70","2016-08-07",137543
"71","2016-08-08",176661
"72","2016-08-09",176401
"73","2016-08-10",194924
"74","2016-08-11",205092
"75","2016-08-12",209324
"76","2016-08-13",217851
"77","2016-08-14",123579
"78","2016-08-15",193797
"79","2016-08-16",203880
"80","2016-08-17",199070
"81","2016-08-18",202742
"82","2016-08-19",189242
"83","2016-08-20",219690
"84","2016-08-21",125606
"85","2016-08-22",186454
"86","2016-08-23",210698
"87","2016-08-24",202275
"88","2016-08-25",179770
"89","2016-08-26",223256
"90","2016-08-27",227401
"91","2016-08-28",146563
"92","2016-08-29",152177
"93","2016-08-30",204998
"94","2016-08-31",214117
"95","2015-11-30",160007
"96","2015-12-01",170050
"97","2015-12-02",191146
"98","2015-12-03",179582
"99","2015-12-04",228404
"100","2015-12-05",307142
"101","2015-12-06",179791
"102","2015-12-07",194651
"103","2015-12-08",185337
"104","2015-12-09",193676
"105","2015-12-10",186142
"106","2015-12-11",210601
"107","2015-12-12",219863
"108","2015-12-13",177456
"109","2015-12-14",193442
"110","2015-12-15",182590
"111","2015-12-16",198984
"112","2015-12-17",225588
"113","2015-12-18",250714
"114","2015-12-19",297084
"115","2015-12-20",201103
"116","2015-12-21",255488
"117","2015-12-22",194120
"118","2015-12-23",254610
"119","2015-12-24",201728
"120","2015-12-25",8737
"121","2015-12-26",198532
"122","2015-12-27",147279
"123","2015-12-28",160930
"124","2015-12-29",220529
"125","2015-12-30",173549
"126","2015-12-31",183778
"127","2016-01-01",48875
"128","2016-01-02",167007
"129","2016-01-03",89740
"130","2016-12-01",212044
"131","2016-12-02",251457
"132","2016-12-03",354314
"133","2016-12-04",189879
"134","2016-12-05",192432
"135","2016-12-06",197650
"136","2016-12-07",221558
"137","2016-12-08",220895
"138","2016-12-09",239629
"139","2016-12-10",324786
"140","2016-12-11",181107
"141","2016-12-12",212852
"142","2016-12-13",189422
"143","2016-12-14",202366
"144","2016-12-15",234590
"145","2016-12-16",276476
"146","2016-12-17",310838
"147","2016-12-18",203032
"148","2016-12-19",284520
"149","2016-12-20",229908
"150","2016-12-21",257573
"151","2016-12-22",254333
"152","2016-12-23",250896
"153","2016-12-24",180983
"154","2016-12-25",6178
"155","2016-12-26",205209
"156","2016-12-27",194524
"157","2016-12-28",212932
"158","2016-12-29",211703
"159","2016-12-30",214044
"160","2016-12-31",182705
"161","2016-02-01",147056
"162","2016-02-02",138349
"163","2016-02-03",123164
"164","2016-02-04",162114
"165","2016-02-05",176951
"166","2016-02-06",212542
"167","2016-02-07",121205
"168","2016-02-08",128756
"169","2016-02-09",145705
"170","2016-02-10",158218
"171","2016-02-11",169137
"172","2016-02-12",186511
"173","2016-02-13",226372
"174","2016-02-14",118251
"175","2016-02-15",168331
"176","2016-02-16",166530
"177","2016-02-17",146517
"178","2016-02-18",184417
"179","2016-02-19",191952
"180","2016-02-20",208161
"181","2016-02-21",96849
"182","2016-02-22",151478
"183","2016-02-23",155584
"184","2016-02-24",157730
"185","2016-02-25",168429
"186","2016-02-26",192162
"187","2016-02-27",247576
"188","2016-02-28",128615
"189","2017-01-01",47022
"190","2017-01-02",138932
"191","2017-01-03",159760
"192","2017-01-04",147381
"193","2017-01-05",163402
"194","2017-01-06",151482
"195","2017-01-07",214285
"196","2017-01-08",111030
"197","2017-01-09",139167
"198","2017-01-10",152539
"199","2017-01-11",151174
"200","2017-01-12",146564
"201","2017-01-13",151636
"202","2017-01-14",206939
"203","2017-01-15",97116
"204","2017-01-16",133087
"205","2017-01-17",152408
"206","2017-01-18",158679
"207","2017-01-19",170783
"208","2017-01-20",179761
"209","2017-01-21",221578
"210","2017-01-22",99799
"211","2017-01-23",151174
"212","2017-01-24",153062
"213","2017-01-25",156129
"214","2017-01-26",149783
"215","2017-01-27",168776
"216","2017-01-28",220288
"217","2017-01-29",117988
"218","2017-01-30",162860
"219","2017-01-31",144866
"220","2016-07-01",375202
"221","2016-07-02",451290
"222","2016-07-03",249300
"223","2016-07-04",170517
"224","2016-07-05",175234
"225","2016-07-06",161720
"226","2016-07-07",164261
"227","2016-07-08",164659
"228","2016-07-09",216720
"229","2016-07-10",130084
"230","2016-07-11",162512
"231","2016-07-12",167613
"232","2016-07-13",175270
"233","2016-07-14",180825
"234","2016-07-15",178475
"235","2016-07-16",242229
"236","2016-07-17",120486
"237","2016-07-18",171555
"238","2016-07-19",170781
"239","2016-07-20",184133
"240","2016-07-21",186627
"241","2016-07-22",207244
"242","2016-07-23",229155
"243","2016-07-24",119258
"244","2016-07-25",190163
"245","2016-07-26",193252
"246","2016-07-27",206296
"247","2016-07-28",181623
"248","2016-07-29",219998
"249","2016-07-30",243208
"250","2016-07-31",138384
"251","2016-05-30",147838
"252","2016-05-31",178989
"253","2016-06-01",177537
"254","2016-06-02",196001
"255","2016-06-03",209540
"256","2016-06-04",227201
"257","2016-06-05",117857
"258","2016-06-06",169516
"259","2016-06-07",165326
"260","2016-06-08",157838
"261","2016-06-09",177346
"262","2016-06-10",171654
"263","2016-06-11",205045
"264","2016-06-12",132668
"265","2016-06-13",143427
"266","2016-06-14",157799
"267","2016-06-15",155211
"268","2016-06-16",169793
"269","2016-06-17",183667
"270","2016-06-18",233122
"271","2016-06-19",112523
"272","2016-06-20",148632
"273","2016-06-21",167375
"274","2016-06-22",160819
"275","2016-06-23",179541
"276","2016-06-24",184968
"277","2016-06-25",220291
"278","2016-06-26",117812
"279","2016-06-27",164410
"280","2016-06-28",154581
"281","2016-06-29",148878
"282","2016-06-30",178485
"283","2016-02-29",153132
"284","2016-03-01",137163
"285","2016-03-02",141838
"286","2016-03-03",175346
"287","2016-03-04",155022
"288","2016-03-05",251042
"289","2016-03-06",109440
"290","2016-03-07",163675
"291","2016-03-08",150670
"292","2016-03-09",127330
"293","2016-03-10",154850
"294","2016-03-11",186738
"295","2016-03-12",244049
"296","2016-03-13",127599
"297","2016-03-14",168738
"298","2016-03-15",152021
"299","2016-03-16",158368
"300","2016-03-17",187312
"301","2016-03-18",183123
"302","2016-03-19",242680
"303","2016-03-20",111661
"304","2016-03-21",163472
"305","2016-03-22",159017
"306","2016-03-23",152878
"307","2016-03-24",189097
"308","2016-03-25",184668
"309","2016-03-26",197571
"310","2016-03-27",53699
"311","2016-03-28",118342
"312","2016-03-29",160155
"313","2016-03-30",167387
"314","2016-03-31",196489
"315","2016-04-01",178865
"316","2016-04-02",213690
"317","2016-04-03",118342
"318","2016-05-02",138054
"319","2016-05-03",160635
"320","2016-05-04",166690
"321","2016-05-05",170306
"322","2016-05-06",184681
"323","2016-05-07",229843
"324","2016-05-08",138239
"325","2016-05-09",156866
"326","2016-05-10",140637
"327","2016-05-11",156900
"328","2016-05-12",190153
"329","2016-05-13",184598
"330","2016-05-14",232110
"331","2016-05-15",120629
"332","2016-05-16",160443
"333","2016-05-17",160210
"334","2016-05-18",137446
"335","2016-05-19",170133
"336","2016-05-20",185528
"337","2016-05-21",210930
"338","2016-05-22",117712
"339","2016-05-23",151975
"340","2016-05-24",162550
"341","2016-05-25",155287
"342","2016-05-26",174149
"343","2016-05-27",198105
"344","2016-05-28",258730
"345","2016-05-29",142988
"346","2014-12-01",201680
"347","2014-12-02",190158
"348","2014-12-03",200003
"349","2014-12-04",199567
"350","2014-12-05",237425
"351","2014-12-06",357633
"352","2014-12-07",178051
"353","2014-12-08",191754
"354","2014-12-09",185534
"355","2014-12-10",155127
"356","2014-12-11",178250
"357","2014-12-12",230802
"358","2014-12-13",320333
"359","2014-12-14",185331
"360","2014-12-15",197488
"361","2014-12-16",209250
"362","2014-12-17",207107
"363","2014-12-18",204475
"364","2014-12-19",241263
"365","2014-12-20",299064
"366","2014-12-21",179636
"367","2014-12-22",268586
"368","2014-12-23",248777
"369","2014-12-24",201434
"370","2014-12-25",5843
"371","2014-12-26",215989
"372","2014-12-27",235288
"373","2014-12-28",124068
"374","2014-12-29",197691
"375","2014-12-30",187955
"376","2014-12-31",168536
"377","2015-01-01",46056
"378","2015-01-02",180315
"379","2015-01-03",155585
"380","2015-01-04",89538
"381","2015-01-05",141639
"382","2015-01-06",145618
"383","2015-01-07",135597
"384","2015-01-08",144728
"385","2015-01-09",139411
"386","2015-01-10",186406
"387","2015-01-11",88850
"388","2015-01-12",130455
"389","2015-01-13",140079
"390","2015-01-14",136512
"391","2015-01-15",142516
"392","2015-01-16",148395
"393","2015-01-17",156420
"394","2015-01-18",87654
"395","2015-01-19",140485
"396","2015-01-20",143499
"397","2015-01-21",108806
"398","2015-01-22",155169
"399","2015-01-23",156493
"400","2015-01-24",209237
"401","2015-01-25",101147
"402","2015-01-26",151126
"403","2015-01-27",144263
"404","2015-01-28",122643
"405","2015-01-29",121530
"406","2015-01-30",166976
"407","2015-01-31",219558
"408","2015-02-01",113041
"409","2014-11-03",163662
"410","2014-11-04",168156
"411","2014-11-05",166018
"412","2014-11-06",164480
"413","2014-11-07",173640
"414","2014-11-08",233843
"415","2014-11-09",144510
"416","2014-11-10",153856
"417","2014-11-11",158272
"418","2014-11-12",163645
"419","2014-11-13",199625
"420","2014-11-14",175784
"421","2014-11-15",307865
"422","2014-11-16",161663
"423","2014-11-17",159475
"424","2014-11-18",164140
"425","2014-11-19",179795
"426","2014-11-20",185022
"427","2014-11-21",201737
"428","2014-11-22",318237
"429","2014-11-23",175308
"430","2014-11-24",177535
"431","2014-11-25",183351
"432","2014-11-26",170368
"433","2014-11-27",180833
"434","2014-11-28",275287
"435","2014-11-29",374377
"436","2014-11-30",184057
"437","2014-10-06",137633
"438","2014-10-07",158828
"439","2014-10-08",164936
"440","2014-10-09",175613
"441","2014-10-10",210136
"442","2014-10-11",270590
"443","2014-10-12",133729
"444","2014-10-13",141350
"445","2014-10-14",150500
"446","2014-10-15",160822
"447","2014-10-16",173742
"448","2014-10-17",190917
"449","2014-10-18",268090
"450","2014-10-19",129412
"451","2014-10-20",146842
"452","2014-10-21",151312
"453","2014-10-22",164191
"454","2014-10-23",183059
"455","2014-10-24",211794
"456","2014-10-25",281290
"457","2014-10-26",146940
"458","2014-10-27",214602
"459","2014-10-28",205590
"460","2014-10-29",225210
"461","2014-10-30",223936
"462","2014-10-31",270781
"463","2014-11-01",270251
"464","2014-11-02",138834
"465","2016-04-04",173150
"466","2016-04-05",155731
"467","2016-04-06",168861
"468","2016-04-07",177227
"469","2016-04-08",193601
"470","2016-04-09",215796
"471","2016-04-10",104889
"472","2016-04-11",173109
"473","2016-04-12",134808
"474","2016-04-13",134198
"475","2016-04-14",160675
"476","2016-04-15",181005
"477","2016-04-16",214616
"478","2016-04-17",119826
"479","2016-04-18",159101
"480","2016-04-19",173250
"481","2016-04-20",170164
"482","2016-04-21",168901
"483","2016-04-22",189870
"484","2016-04-23",229103
"485","2016-04-24",105001
"486","2016-04-25",145855
"487","2016-04-26",142879
"488","2016-04-27",147868
"489","2016-04-28",150231
"490","2016-04-29",178019
"491","2016-04-30",248694
"492","2016-05-01",122012
"493","2015-04-06",141136
"494","2015-04-07",181232
"495","2015-04-08",183378
"496","2015-04-09",193727
"497","2015-04-10",196973
"498","2015-04-11",208376
"499","2015-04-12",105173
"500","2015-04-13",172282
"501","2015-04-14",157534
"502","2015-04-15",171664
"503","2015-04-16",173027
"504","2015-04-17",190346
"505","2015-04-18",223814
"506","2015-04-19",112274
"507","2015-04-20",165645
"508","2015-04-21",174011
"509","2015-04-22",180252
"510","2015-04-23",183840
"511","2015-04-24",207650
"512","2015-04-25",244500
"513","2015-04-26",132087
"514","2015-04-27",160683
"515","2015-04-28",155123
"516","2015-04-29",156963
"517","2015-04-30",161547
"518","2015-05-01",189918
"519","2015-05-02",239159
"520","2015-05-03",121895
"521","2015-08-03",339000
"522","2015-08-04",350402
"523","2015-08-05",363070
"524","2015-08-06",357926
"525","2015-08-07",392180
"526","2015-08-08",440172
"527","2015-08-09",241452
"528","2015-08-10",303586
"529","2015-08-11",366482
"530","2015-08-12",337214
"531","2015-08-13",346260
"532","2015-08-14",304284
"533","2015-08-15",413556
"534","2015-08-16",247956
"535","2015-08-17",346490
"536","2015-08-18",328226
"537","2015-08-19",379134
"538","2015-08-20",381898
"539","2015-08-21",369274
"540","2015-08-22",414786
"541","2015-08-23",247360
"542","2015-08-24",339768
"543","2015-08-25",373846
"544","2015-08-26",385490
"545","2015-08-27",397532
"546","2015-08-28",404054
"547","2015-08-29",454882
"548","2015-08-30",294890
"549","2016-01-04",149232
"550","2016-01-05",138352
"551","2016-01-06",158312
"552","2016-01-07",157737
"553","2016-01-08",174361
"554","2016-01-09",166360
"555","2016-01-10",117161
"556","2016-01-11",152846
"557","2016-01-12",152698
"558","2016-01-13",171830
"559","2016-01-14",152534
"560","2016-01-15",174318
"561","2016-01-16",222904
"562","2016-01-17",99475
"563","2016-01-18",163068
"564","2016-01-19",168671
"565","2016-01-20",162363
"566","2016-01-21",162575
"567","2016-01-22",170516
"568","2016-01-23",222932
"569","2016-01-24",106385
"570","2016-01-25",169575
"571","2016-01-26",150418
"572","2016-01-27",159824
"573","2016-01-28",162610
"574","2016-01-29",144895
"575","2016-01-30",223088
"576","2016-01-31",106510
"577","2015-07-06",148032
"578","2015-07-07",142797
"579","2015-07-08",149441
"580","2015-07-09",172815
"581","2015-07-10",177654
"582","2015-07-11",220993
"583","2015-07-12",142948
"584","2015-07-13",147172
"585","2015-07-14",165629
"586","2015-07-15",184222
"587","2015-07-16",182763
"588","2015-07-17",177424
"589","2015-07-18",229533
"590","2015-07-19",120201
"591","2015-07-20",173198
"592","2015-07-21",189150
"593","2015-07-22",179911
"594","2015-07-23",191852
"595","2015-07-24",197953
"596","2015-07-25",220275
"597","2015-07-26",104895
"598","2015-07-27",166741
"599","2015-07-28",173217
"600","2015-07-29",183614
"601","2015-07-30",184115
"602","2015-07-31",203643
"603","2015-08-01",205237
"604","2015-08-02",146423
"605","2015-06-01",156288
"606","2015-06-02",163193
"607","2015-06-03",188264
"608","2015-06-04",194144
"609","2015-06-05",204807
"610","2015-06-06",249720
"611","2015-06-07",133046
"612","2015-06-08",163598
"613","2015-06-09",156219
"614","2015-06-10",179437
"615","2015-06-11",177111
"616","2015-06-12",199258
"617","2015-06-13",228651
"618","2015-06-14",120824
"619","2015-06-15",164433
"620","2015-06-16",173097
"621","2015-06-17",164931
"622","2015-06-18",183732
"623","2015-06-19",197283
"624","2015-06-20",242140
"625","2015-06-21",111685
"626","2015-06-22",148024
"627","2015-06-23",163479
"628","2015-06-24",167948
"629","2015-06-25",176993
"630","2015-06-26",188433
"631","2015-06-27",243974
"632","2015-06-28",122748
"633","2015-06-29",158261
"634","2015-06-30",174024
"635","2015-07-01",158277
"636","2015-07-02",165050
"637","2015-05-04",156615
"638","2015-05-05",149651
"639","2015-05-06",133396
"640","2015-05-07",163220
"641","2015-05-08",163427
"642","2015-05-09",220573
"643","2015-05-10",130498
"644","2015-05-11",163681
"645","2015-05-12",160132
"646","2015-05-13",159284
"647","2015-05-14",163150
"648","2015-05-15",201114
"649","2015-05-16",242840
"650","2015-05-17",119833
"651","2015-05-18",142458
"652","2015-05-19",142931
"653","2015-05-20",167973
"654","2015-05-21",189523
"655","2015-05-22",193501
"656","2015-05-23",245403
"657","2015-05-24",134603
"658","2015-05-25",149255
"659","2015-05-26",190380
"660","2015-05-27",188751
"661","2015-05-28",206882
"662","2015-05-29",207813
"663","2015-05-30",258224
"664","2015-05-31",117433
"665","2015-11-02",150075
"666","2015-11-03",153334
"667","2015-11-04",158090
"668","2015-11-05",142478
"669","2015-11-06",184241
"670","2015-11-07",235371
"671","2015-11-08",119911
"672","2015-11-09",139276
"673","2015-11-10",169624
"674","2015-11-11",160627
"675","2015-11-12",175126
"676","2015-11-13",158534
"677","2015-11-14",234048
"678","2015-11-15",130584
"679","2015-11-16",156372
"680","2015-11-17",144121
"681","2015-11-18",148119
"682","2015-11-19",155499
"683","2015-11-20",184013
"684","2015-11-21",282424
"685","2015-11-22",152758
"686","2015-11-23",157176
"687","2015-11-24",155368
"688","2015-11-25",176622
"689","2015-11-26",178958
"690","2015-11-27",286810
"691","2015-11-28",296564
"692","2015-11-29",144418
"693","2015-10-05",138782
"694","2015-10-06",158320
"695","2015-10-07",139371
"696","2015-10-08",170355
"697","2015-10-09",244384
"698","2015-10-10",251123
"699","2015-10-11",124838
"700","2015-10-12",153057
"701","2015-10-13",162168
"702","2015-10-14",171597
"703","2015-10-15",164173
"704","2015-10-16",195643
"705","2015-10-17",268185
"706","2015-10-18",131041
"707","2015-10-19",160943
"708","2015-10-20",167152
"709","2015-10-21",161051
"710","2015-10-22",173625
"711","2015-10-23",199096
"712","2015-10-24",251719
"713","2015-10-25",136661
"714","2015-10-26",187383
"715","2015-10-27",194185
"716","2015-10-28",167972
"717","2015-10-29",200294
"718","2015-10-30",231013
"719","2015-10-31",262381
"720","2015-11-01",127012
"721","2016-10-01",301877
"722","2016-10-02",147462
"723","2016-10-03",183582
"724","2016-10-04",188172
"725","2016-10-05",172789
