Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-02-02,0,Leeds,Briggate,,Monday,2015,1,February,5,128,0,128,0,0,0,128,0,128
2015-02-02,0,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,29,0,29,0,0,0,29,0,29
2015-02-02,0,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,38,0,38,0,0,0,38,0,38
2015-02-02,0,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,45,0,45,0,0,0,45,0,45
2015-02-02,0,Leeds,Headrow,,Monday,2015,1,February,5,22,0,22,0,0,0,22,0,22
2015-02-02,0,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,40,0,40,0,0,0,40,0,40
2015-02-02,0,Leeds,Albion Street South,,Monday,2015,1,February,5,22,0,22,0,0,0,22,0,22
2015-02-02,0,Leeds,Albion Street North,,Monday,2015,1,February,5,12,0,12,0,0,0,12,0,12
2015-02-02,1,Leeds,Briggate,,Monday,2015,1,February,5,68,0,68,0,0,0,68,0,68
2015-02-02,1,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,22,0,22,0,0,0,22,0,22
2015-02-02,1,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,16,0,16,0,0,0,16,0,16
2015-02-02,1,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,20,0,20,0,0,0,20,0,20
2015-02-02,1,Leeds,Headrow,,Monday,2015,1,February,5,7,0,7,0,0,0,7,0,7
2015-02-02,1,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,14,0,14,0,0,0,14,0,14
2015-02-02,1,Leeds,Albion Street South,,Monday,2015,1,February,5,9,0,9,0,0,0,9,0,9
2015-02-02,1,Leeds,Albion Street North,,Monday,2015,1,February,5,20,0,20,0,0,0,20,0,20
2015-02-02,2,Leeds,Briggate,,Monday,2015,1,February,5,66,0,66,0,0,0,66,0,66
2015-02-02,2,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,11,0,11,0,0,0,11,0,11
2015-02-02,2,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,10,0,10,0,0,0,10,0,10
2015-02-02,2,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,6,0,6,0,0,0,6,0,6
2015-02-02,2,Leeds,Headrow,,Monday,2015,1,February,5,7,0,7,0,0,0,7,0,7
2015-02-02,2,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,16,0,16,0,0,0,16,0,16
2015-02-02,2,Leeds,Albion Street South,,Monday,2015,1,February,5,19,0,19,0,0,0,19,0,19
2015-02-02,2,Leeds,Albion Street North,,Monday,2015,1,February,5,5,0,5,0,0,0,5,0,5
2015-02-02,3,Leeds,Briggate,,Monday,2015,1,February,5,98,0,98,0,0,0,98,0,98
2015-02-02,3,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,38,0,38,0,0,0,38,0,38
2015-02-02,3,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,18,0,18,0,0,0,18,0,18
2015-02-02,3,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,0,0,0,0,0,0,0,0,0
2015-02-02,3,Leeds,Headrow,,Monday,2015,1,February,5,18,0,18,0,0,0,18,0,18
2015-02-02,3,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,18,0,18,0,0,0,18,0,18
2015-02-02,3,Leeds,Albion Street South,,Monday,2015,1,February,5,8,0,8,0,0,0,8,0,8
2015-02-02,3,Leeds,Albion Street North,,Monday,2015,1,February,5,10,0,10,0,0,0,10,0,10
2015-02-02,4,Leeds,Briggate,,Monday,2015,1,February,5,79,0,79,0,0,0,79,0,79
2015-02-02,4,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,16,0,16,0,0,0,16,0,16
2015-02-02,4,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,11,0,11,0,0,0,11,0,11
2015-02-02,4,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,22,0,22,0,0,0,22,0,22
2015-02-02,4,Leeds,Headrow,,Monday,2015,1,February,5,8,0,8,0,0,0,8,0,8
2015-02-02,4,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,12,0,12,0,0,0,12,0,12
2015-02-02,4,Leeds,Albion Street South,,Monday,2015,1,February,5,17,0,17,0,0,0,17,0,17
2015-02-02,4,Leeds,Albion Street North,,Monday,2015,1,February,5,4,0,4,0,0,0,4,0,4
2015-02-02,5,Leeds,Briggate,,Monday,2015,1,February,5,69,0,69,0,0,0,69,0,69
2015-02-02,5,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,63,0,63,0,0,0,63,0,63
2015-02-02,5,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,99,0,99,0,0,0,99,0,99
2015-02-02,5,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,49,0,49,0,0,0,49,0,49
2015-02-02,5,Leeds,Headrow,,Monday,2015,1,February,5,34,0,34,0,0,0,34,0,34
2015-02-02,5,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,31,0,31,0,0,0,31,0,31
2015-02-02,5,Leeds,Albion Street South,,Monday,2015,1,February,5,56,0,56,0,0,0,56,0,56
2015-02-02,5,Leeds,Albion Street North,,Monday,2015,1,February,5,24,0,24,0,0,0,24,0,24
2015-02-02,6,Leeds,Briggate,,Monday,2015,1,February,5,156,0,156,0,0,0,156,0,156
2015-02-02,6,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,76,0,76,0,0,0,76,0,76
2015-02-02,6,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,140,0,140,0,0,0,140,0,140
2015-02-02,6,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,146,0,146,0,0,0,146,0,146
2015-02-02,6,Leeds,Headrow,,Monday,2015,1,February,5,99,0,99,0,0,0,99,0,99
2015-02-02,6,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,80,0,80,0,0,0,80,0,80
2015-02-02,6,Leeds,Albion Street South,,Monday,2015,1,February,5,84,0,84,0,0,0,84,0,84
2015-02-02,6,Leeds,Albion Street North,,Monday,2015,1,February,5,92,0,92,0,0,0,92,0,92
2015-02-02,7,Leeds,Briggate,,Monday,2015,1,February,5,343,0,343,0,0,0,343,0,343
2015-02-02,7,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,238,0,238,0,0,0,238,0,238
2015-02-02,7,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,258,0,258,0,0,0,258,0,258
2015-02-02,7,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,313,0,313,0,0,0,313,0,313
2015-02-02,7,Leeds,Headrow,,Monday,2015,1,February,5,216,0,216,0,0,0,216,0,216
2015-02-02,7,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,491,0,491,0,0,0,491,0,491
2015-02-02,7,Leeds,Albion Street South,,Monday,2015,1,February,5,313,0,313,0,0,0,313,0,313
2015-02-02,7,Leeds,Albion Street North,,Monday,2015,1,February,5,308,0,308,0,0,0,308,0,308
2015-02-02,8,Leeds,Briggate,,Monday,2015,1,February,5,841,0,841,0,0,0,841,0,841
2015-02-02,8,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,461,0,461,0,0,0,461,0,461
2015-02-02,8,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,680,0,680,0,0,0,680,0,680
2015-02-02,8,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,657,0,657,0,0,0,657,0,657
2015-02-02,8,Leeds,Headrow,,Monday,2015,1,February,5,565,0,565,0,0,0,565,0,565
2015-02-02,8,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,1185,0,1185,0,0,0,1185,0,1185
2015-02-02,8,Leeds,Albion Street South,,Monday,2015,1,February,5,886,0,886,0,0,0,886,0,886
2015-02-02,8,Leeds,Albion Street North,,Monday,2015,1,February,5,916,0,916,0,0,0,916,0,916
2015-02-02,9,Leeds,Briggate,,Monday,2015,1,February,5,890,0,890,0,0,0,890,0,890
2015-02-02,9,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,553,0,553,0,0,0,553,0,553
2015-02-02,9,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,827,0,827,0,0,0,827,0,827
2015-02-02,9,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,739,0,739,0,0,0,739,0,739
2015-02-02,9,Leeds,Headrow,,Monday,2015,1,February,5,753,0,753,0,0,0,753,0,753
2015-02-02,9,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,1098,0,1098,0,0,0,1098,0,1098
2015-02-02,9,Leeds,Albion Street South,,Monday,2015,1,February,5,658,0,658,0,0,0,658,0,658
2015-02-02,9,Leeds,Albion Street North,,Monday,2015,1,February,5,643,0,643,0,0,0,643,0,643
2015-02-02,10,Leeds,Briggate,,Monday,2015,1,February,5,1159,0,1159,0,0,0,1159,0,1159
2015-02-02,10,Leeds,"Briggate at McDonalds	",,Monday,2015,1,February,5,702,0,702,0,0,0,702,0,702
2015-02-02,10,Leeds,Commercial Street at Lush,,Monday,2015,1,February,5,1224,0,1224,0,0,0,1224,0,1224
2015-02-02,10,Leeds,Commercial Street at Barratts,,Monday,2015,1,February,5,1115,0,1115,0,0,0,1115,0,1115
2015-02-02,10,Leeds,Headrow,,Monday,2015,1,February,5,1081,0,1081,0,0,0,1081,0,1081
2015-02-02,10,Leeds,"Dortmund Square	",,Monday,2015,1,February,5,1105,0,1105,0,0,0,1105,0,1105
2015-02-02,10,Leeds,Albion Street South,,Monday,2015,1,February,5,824,0,824,0,0,0,824,0,824
2015-02-02,10,Leeds,Albion Street North,,Monday,2015,1,February,5,969,0,969,0,0,0,969,0,969
