Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2014-11-03,0,Leeds,Briggate,,Monday,2014,4,November,45,103,0,103,103,0,103,103,0,103
2014-11-03,0,Leeds,"Briggate at McDonalds	",,Monday,2014,4,November,45,87,0,87,87,0,87,87,0,87
2014-11-03,0,Leeds,Commercial Street at Lush,,Monday,2014,4,November,45,24,0,24,24,0,24,24,0,24
2014-11-03,0,Leeds,Commercial Street at Barratts,,Monday,2014,4,November,45,41,0,41,41,0,41,41,0,41
2014-11-03,0,Leeds,Headrow,,Monday,2014,4,November,45,73,0,73,73,0,73,73,0,73
2014-11-03,0,Leeds,"Dortmund Square	",,Monday,2014,4,November,45,78,0,78,78,0,78,78,0,78
2014-11-03,0,Leeds,Albion Street South,,Monday,2014,4,November,45,37,0,37,37,0,37,37,0,37
2014-11-03,0,Leeds,Albion Street North,,Monday,2014,4,November,45,22,0,22,22,0,22,22,0,22
2014-11-03,1,Leeds,Briggate,,Monday,2014,4,November,45,67,0,67,67,0,67,67,0,67
2014-11-03,1,Leeds,"Briggate at McDonalds	",,Monday,2014,4,November,45,36,0,36,36,0,36,36,0,36
2014-11-03,1,Leeds,Commercial Street at Lush,,Monday,2014,4,November,45,12,0,12,12,0,12,12,0,12
2014-11-03,1,Leeds,Commercial Street at Barratts,,Monday,2014,4,November,45,20,0,20,20,0,20,20,0,20
2014-11-03,1,Leeds,Headrow,,Monday,2014,4,November,45,33,0,33,33,0,33,33,0,33
2014-11-03,1,Leeds,"Dortmund Square	",,Monday,2014,4,November,45,35,0,35,35,0,35,35,0,35
2014-11-03,1,Leeds,Albion Street South,,Monday,2014,4,November,45,20,0,20,20,0,20,20,0,20
2014-11-03,1,Leeds,Albion Street North,,Monday,2014,4,November,45,25,0,25,25,0,25,25,0,25
2014-11-03,2,Leeds,Briggate,,Monday,2014,4,November,45,56,0,56,56,0,56,56,0,56
2014-11-03,2,Leeds,"Briggate at McDonalds	",,Monday,2014,4,November,45,25,0,25,25,0,25,25,0,25
2014-11-03,2,Leeds,Commercial Street at Lush,,Monday,2014,4,November,45,10,0,10,10,0,10,10,0,10
2014-11-03,2,Leeds,Commercial Street at Barratts,,Monday,2014,4,November,45,9,0,9,9,0,9,9,0,9
2014-11-03,2,Leeds,Headrow,,Monday,2014,4,November,45,18,0,18,18,0,18,18,0,18
2014-11-03,2,Leeds,"Dortmund Square	",,Monday,2014,4,November,45,23,0,23,23,0,23,23,0,23
