Date,Hour,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount
02/06/2014,0,Briggate,,Monday,2014,2,June,23,224,0,224
02/06/2014,0,Briggate at McDonalds ,,Monday,2014,2,June,23,109,0,109
02/06/2014,0,Commercial Street at Lush,,Monday,2014,2,June,23,35,0,35
02/06/2014,0,Commercial Street at Barratts,,Monday,2014,2,June,23,64,0,64
02/06/2014,0,Headrow,,Monday,2014,2,June,23,26,0,26
02/06/2014,0,Dortmund Square ,,Monday,2014,2,June,23,11,0,11
02/06/2014,0,Albion Street South,,Monday,2014,2,June,23,43,0,43
02/06/2014,0,Albion Street North,,Monday,2014,2,June,23,33,0,33
02/06/2014,1,Briggate,,Monday,2014,2,June,23,132,0,132
02/06/2014,1,Briggate at McDonalds ,,Monday,2014,2,June,23,41,0,41
02/06/2014,1,Commercial Street at Lush,,Monday,2014,2,June,23,14,0,14
02/06/2014,1,Commercial Street at Barratts,,Monday,2014,2,June,23,36,0,36
02/06/2014,1,Headrow,,Monday,2014,2,June,23,10,0,10
02/06/2014,1,Dortmund Square ,,Monday,2014,2,June,23,10,0,10
02/06/2014,1,Albion Street South,,Monday,2014,2,June,23,28,0,28
02/06/2014,1,Albion Street North,,Monday,2014,2,June,23,16,0,16
02/06/2014,2,Briggate,,Monday,2014,2,June,23,63,0,63
02/06/2014,2,Briggate at McDonalds ,,Monday,2014,2,June,23,55,0,55
02/06/2014,2,Commercial Street at Lush,,Monday,2014,2,June,23,3,0,3
02/06/2014,2,Commercial Street at Barratts,,Monday,2014,2,June,23,23,0,23
02/06/2014,2,Headrow,,Monday,2014,2,June,23,2,0,2
02/06/2014,2,Dortmund Square ,,Monday,2014,2,June,23,0,0,0
02/06/2014,2,Albion Street South,,Monday,2014,2,June,23,13,0,13
02/06/2014,2,Albion Street North,,Monday,2014,2,June,23,13,0,13
02/06/2014,3,Briggate,,Monday,2014,2,June,23,59,0,59
02/06/2014,3,Briggate at McDonalds ,,Monday,2014,2,June,23,24,0,24
02/06/2014,3,Commercial Street at Lush,,Monday,2014,2,June,23,7,0,7
02/06/2014,3,Commercial Street at Barratts,,Monday,2014,2,June,23,14,0,14
02/06/2014,3,Headrow,,Monday,2014,2,June,23,7,0,7
02/06/2014,3,Dortmund Square ,,Monday,2014,2,June,23,0,0,0
02/06/2014,3,Albion Street South,,Monday,2014,2,June,23,0,0,0
02/06/2014,3,Albion Street North,,Monday,2014,2,June,23,3,0,3
02/06/2014,4,Briggate,,Monday,2014,2,June,23,115,0,115
02/06/2014,4,Briggate at McDonalds ,,Monday,2014,2,June,23,43,0,43
02/06/2014,4,Commercial Street at Lush,,Monday,2014,2,June,23,12,0,12
02/06/2014,4,Commercial Street at Barratts,,Monday,2014,2,June,23,40,0,40
02/06/2014,4,Headrow,,Monday,2014,2,June,23,10,0,10
02/06/2014,4,Dortmund Square ,,Monday,2014,2,June,23,0,0,0
02/06/2014,4,Albion Street South,,Monday,2014,2,June,23,30,0,30
02/06/2014,4,Albion Street North,,Monday,2014,2,June,23,1,0,1
02/06/2014,5,Briggate,,Monday,2014,2,June,23,106,0,106
02/06/2014,5,Briggate at McDonalds ,,Monday,2014,2,June,23,47,0,47
02/06/2014,5,Commercial Street at Lush,,Monday,2014,2,June,23,58,0,58
02/06/2014,5,Commercial Street at Barratts,,Monday,2014,2,June,23,75,0,75
02/06/2014,5,Headrow,,Monday,2014,2,June,23,13,0,13
02/06/2014,5,Dortmund Square ,,Monday,2014,2,June,23,23,0,23
02/06/2014,5,Albion Street South,,Monday,2014,2,June,23,38,0,38
02/06/2014,5,Albion Street North,,Monday,2014,2,June,23,30,0,30
02/06/2014,6,Briggate,,Monday,2014,2,June,23,239,0,239
02/06/2014,6,Briggate at McDonalds ,,Monday,2014,2,June,23,104,0,104
02/06/2014,6,Commercial Street at Lush,,Monday,2014,2,June,23,115,0,115
02/06/2014,6,Commercial Street at Barratts,,Monday,2014,2,June,23,184,0,184
02/06/2014,6,Headrow,,Monday,2014,2,June,23,60,0,60
02/06/2014,6,Dortmund Square ,,Monday,2014,2,June,23,85,0,85
02/06/2014,6,Albion Street South,,Monday,2014,2,June,23,96,0,96
02/06/2014,6,Albion Street North,,Monday,2014,2,June,23,92,0,92
02/06/2014,7,Briggate,,Monday,2014,2,June,23,467,0,467
02/06/2014,7,Briggate at McDonalds ,,Monday,2014,2,June,23,311,0,311
02/06/2014,7,Commercial Street at Lush,,Monday,2014,2,June,23,274,0,274
02/06/2014,7,Commercial Street at Barratts,,Monday,2014,2,June,23,378,0,378
02/06/2014,7,Headrow,,Monday,2014,2,June,23,140,0,140
02/06/2014,7,Dortmund Square ,,Monday,2014,2,June,23,534,0,534
02/06/2014,7,Albion Street South,,Monday,2014,2,June,23,431,0,431
02/06/2014,7,Albion Street North,,Monday,2014,2,June,23,316,0,316
02/06/2014,8,Briggate,,Monday,2014,2,June,23,849,0,849
02/06/2014,8,Briggate at McDonalds ,,Monday,2014,2,June,23,509,0,509
02/06/2014,8,Commercial Street at Lush,,Monday,2014,2,June,23,707,0,707
02/06/2014,8,Commercial Street at Barratts,,Monday,2014,2,June,23,773,0,773
02/06/2014,8,Headrow,,Monday,2014,2,June,23,470,0,470
02/06/2014,8,Dortmund Square ,,Monday,2014,2,June,23,1517,0,1517
02/06/2014,8,Albion Street South,,Monday,2014,2,June,23,884,0,884
02/06/2014,8,Albion Street North,,Monday,2014,2,June,23,699,0,699
02/06/2014,9,Briggate,,Monday,2014,2,June,23,1051,0,1051
02/06/2014,9,Briggate at McDonalds ,,Monday,2014,2,June,23,598,0,598
02/06/2014,9,Commercial Street at Lush,,Monday,2014,2,June,23,877,0,877
02/06/2014,9,Commercial Street at Barratts,,Monday,2014,2,June,23,871,0,871
02/06/2014,9,Headrow,,Monday,2014,2,June,23,607,0,607
02/06/2014,9,Dortmund Square ,,Monday,2014,2,June,23,1827,0,1827
02/06/2014,9,Albion Street South,,Monday,2014,2,June,23,858,0,858
02/06/2014,9,Albion Street North,,Monday,2014,2,June,23,577,0,577
02/06/2014,10,Briggate,,Monday,2014,2,June,23,1559,0,1559
02/06/2014,10,Briggate at McDonalds ,,Monday,2014,2,June,23,889,0,889
02/06/2014,10,Commercial Street at Lush,,Monday,2014,2,June,23,1173,0,1173
02/06/2014,10,Commercial Street at Barratts,,Monday,2014,2,June,23,1300,0,1300
02/06/2014,10,Headrow,,Monday,2014,2,June,23,803,0,803
02/06/2014,10,Dortmund Square ,,Monday,2014,2,June,23,2300,0,2300
02/06/2014,10,Albion Street South,,Monday,2014,2,June,23,1093,0,1093
02/06/2014,10,Albion Street North,,Monday,2014,2,June,23,816,0,816
