Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,December,48,Friday,01-Dec-17,,30084,0,30084,30084,0,30084
Leeds,Albion Street North,2017,December,48,Saturday,02-Dec-17,,36913,0,36913,36913,0,36913
Leeds,Albion Street North,2017,December,48,Sunday,03-Dec-17,,24386,0,24386,24386,0,24386
Leeds,Albion Street North,2017,December,49,Monday,04-Dec-17,,28736,0,28736,28736,0,28736
Leeds,Albion Street North,2017,December,49,Tuesday,05-Dec-17,,27219,0,27219,27219,0,27219
Leeds,Albion Street North,2017,December,49,Wednesday,06-Dec-17,,29026,0,29026,29026,0,29026
Leeds,Albion Street North,2017,December,49,Thursday,07-Dec-17,,25048,0,25048,25048,0,25048
Leeds,Albion Street North,2017,December,49,Friday,08-Dec-17,,32165,0,32165,32165,0,32165
Leeds,Albion Street North,2017,December,49,Saturday,09-Dec-17,,35584,0,35584,35584,0,35584
Leeds,Albion Street North,2017,December,49,Sunday,10-Dec-17,,20692,0,20692,20692,0,20692
Leeds,Albion Street North,2017,December,50,Monday,11-Dec-17,,30957,0,30957,30957,0,30957
Leeds,Albion Street North,2017,December,50,Tuesday,12-Dec-17,,24843,0,24843,24843,0,24843
Leeds,Albion Street North,2017,December,50,Wednesday,13-Dec-17,,24039,0,24039,24039,0,24039
Leeds,Albion Street North,2017,December,50,Thursday,14-Dec-17,,24485,0,24485,24485,0,24485
Leeds,Albion Street North,2017,December,50,Friday,15-Dec-17,,30850,0,30850,30850,0,30850
Leeds,Albion Street North,2017,December,50,Saturday,16-Dec-17,,35177,0,35177,35177,0,35177
Leeds,Albion Street North,2017,December,50,Sunday,17-Dec-17,,20434,0,20434,20434,0,20434
Leeds,Albion Street North,2017,December,51,Monday,18-Dec-17,,31320,0,31320,31320,0,31320
Leeds,Albion Street North,2017,December,51,Tuesday,19-Dec-17,,29452,0,29452,29452,0,29452
Leeds,Albion Street North,2017,December,51,Wednesday,20-Dec-17,,31221,0,31221,31221,0,31221
Leeds,Albion Street North,2017,December,51,Thursday,21-Dec-17,,33236,0,33236,33236,0,33236
Leeds,Albion Street North,2017,December,51,Friday,22-Dec-17,,36262,0,36262,36262,0,36262
Leeds,Albion Street North,2017,December,51,Saturday,23-Dec-17,,31930,0,31930,31930,0,31930
Leeds,Albion Street North,2017,December,51,Sunday,24-Dec-17,,18702,0,18702,18702,0,18702
Leeds,Albion Street North,2017,December,52,Monday,25-Dec-17,,735,0,735,735,0,735
Leeds,Albion Street North,2017,December,52,Tuesday,26-Dec-17,,21149,0,21149,21149,0,21149
Leeds,Albion Street North,2017,December,52,Wednesday,27-Dec-17,,27133,0,27133,27133,0,27133
Leeds,Albion Street North,2017,December,52,Thursday,28-Dec-17,,29955,0,29955,29955,0,29955
Leeds,Albion Street North,2017,December,52,Friday,29-Dec-17,,18979,0,18979,18979,0,18979
Leeds,Albion Street North,2017,December,52,Saturday,30-Dec-17,,25923,0,25923,25923,0,25923
Leeds,Albion Street North,2017,December,52,Sunday,31-Dec-17,,17876,0,17876,17876,0,17876
Leeds,Albion Street South,2017,December,48,Friday,01-Dec-17,,22700,0,22700,22700,0,22700
Leeds,Albion Street South,2017,December,48,Saturday,02-Dec-17,,23418,0,23418,23418,0,23418
Leeds,Albion Street South,2017,December,48,Sunday,03-Dec-17,,16781,0,16781,16781,0,16781
Leeds,Albion Street South,2017,December,49,Monday,04-Dec-17,,21013,0,21013,21013,0,21013
Leeds,Albion Street South,2017,December,49,Tuesday,05-Dec-17,,20496,0,20496,20496,0,20496
Leeds,Albion Street South,2017,December,49,Wednesday,06-Dec-17,,21513,0,21513,21513,0,21513
Leeds,Albion Street South,2017,December,49,Thursday,07-Dec-17,,21144,0,21144,21144,0,21144
Leeds,Albion Street South,2017,December,49,Friday,08-Dec-17,,23178,0,23178,23178,0,23178
Leeds,Albion Street South,2017,December,49,Saturday,09-Dec-17,,23204,0,23204,23204,0,23204
Leeds,Albion Street South,2017,December,49,Sunday,10-Dec-17,,14406,0,14406,14406,0,14406
Leeds,Albion Street South,2017,December,50,Monday,11-Dec-17,,22937,0,22937,22937,0,22937
Leeds,Albion Street South,2017,December,50,Tuesday,12-Dec-17,,21736,0,21736,21736,0,21736
Leeds,Albion Street South,2017,December,50,Wednesday,13-Dec-17,,19080,0,19080,19080,0,19080
Leeds,Albion Street South,2017,December,50,Thursday,14-Dec-17,,19199,0,19199,19199,0,19199
Leeds,Albion Street South,2017,December,50,Friday,15-Dec-17,,22821,0,22821,22821,0,22821
Leeds,Albion Street South,2017,December,50,Saturday,16-Dec-17,,21845,0,21845,21845,0,21845
Leeds,Albion Street South,2017,December,50,Sunday,17-Dec-17,,16383,0,16383,16383,0,16383
Leeds,Albion Street South,2017,December,51,Monday,18-Dec-17,,24325,0,24325,24325,0,24325
Leeds,Albion Street South,2017,December,51,Tuesday,19-Dec-17,,24012,0,24012,24012,0,24012
Leeds,Albion Street South,2017,December,51,Wednesday,20-Dec-17,,24912,0,24912,24912,0,24912
Leeds,Albion Street South,2017,December,51,Thursday,21-Dec-17,,24796,0,24796,24796,0,24796
Leeds,Albion Street South,2017,December,51,Friday,22-Dec-17,,26877,0,26877,26877,0,26877
Leeds,Albion Street South,2017,December,51,Saturday,23-Dec-17,,24218,0,24218,24218,0,24218
Leeds,Albion Street South,2017,December,51,Sunday,24-Dec-17,,14727,0,14727,14727,0,14727
Leeds,Albion Street South,2017,December,52,Monday,25-Dec-17,,458,0,458,458,0,458
Leeds,Albion Street South,2017,December,52,Tuesday,26-Dec-17,,15499,0,15499,15499,0,15499
