"Date","InCount","outlier"
"1","2009-07-17","10302",2
"2","2009-07-18","16261",2
"3","2009-07-19","5011",2
"4","2009-07-20","11897",2
"5","2009-07-21","11998",2
"6","2009-07-22","13916",2
"7","2009-07-23","15702",2
"8","2009-07-24","15653",2
"9","2009-07-25","15054",2
"10","2009-07-26","5744",2
"11","2009-07-27","11464",2
"12","2009-07-28","11323",2
"13","2009-07-29","12754",2
"14","2009-07-30","15346",2
"15","2009-07-31","16452",2
"16","2009-08-01","14595",2
"17","2009-08-02","7535",2
"18","2009-08-03","11379",2
"19","2009-08-04","12262",2
"20","2009-08-05","13875",2
"21","2009-08-06","16370",2
"22","2009-08-07","15706",2
"23","2009-08-08","16603",2
"24","2009-08-09","5765",2
"25","2009-08-10","11140",2
"26","2009-08-11","12727",2
"27","2009-08-12","13482",2
"28","2009-08-13","16063",2
"29","2009-08-14","14629",2
"30","2009-08-15","14399",2
"31","2009-08-16","4882",2
"32","2009-08-17","11249",2
"33","2009-08-18","12620",2
"34","2009-08-19","13411",2
"35","2009-08-20","14549",2
"36","2009-08-21","14582",2
"37","2009-08-22","14515",2
"38","2009-08-23","4149",2
"39","2009-08-24","9586",2
"40","2009-08-25","12318",2
"41","2009-08-26","12793",2
"42","2009-08-27","16220",2
"43","2009-08-28","14218",2
"44","2009-08-29","14478",2
"45","2009-08-30","5432",2
"46","2009-08-31","7010",2
"47","2009-09-01","10992",2
"48","2009-09-02","11323",2
"49","2009-09-03","11747",2
"50","2009-09-04","12931",2
"51","2009-09-05","13761",2
"52","2009-09-06","4212",2
"53","2009-09-07","11092",2
"54","2009-09-08","10228",2
"55","2009-09-09","12578",2
"56","2009-09-10","14883",2
"57","2009-09-11","16646",2
"58","2009-09-12","15404",2
"59","2009-09-13","4522",2
"60","2009-09-14","9628",2
"61","2009-09-15","10676",2
"62","2009-09-16","12292",2
"63","2009-09-17","15617",2
"64","2009-09-18","15620",2
"65","2009-09-19","17083",2
"66","2009-09-20","5787",2
"67","2009-09-21","10860",2
"68","2009-09-22","13040",2
"69","2009-09-23","13692",2
"70","2009-09-24","17497",2
"71","2009-09-25","17168",2
"72","2009-09-26","17332",2
"73","2009-09-27","5823",2
"74","2009-09-28","11549",2
"75","2009-09-29","12969",2
"76","2009-09-30","14547",2
"77","2009-10-01","17486",2
"78","2009-10-02","17897",2
"79","2009-10-03","17365",2
"80","2009-10-04","6084",2
"81","2009-10-05","11269",2
"82","2009-10-06","15123",2
"83","2009-10-07","16745",2
"84","2009-10-08","15488",2
"85","2009-10-09","16193",2
"86","2009-10-10","17231",2
