Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-02-01,0,Leeds,Briggate,,Monday,2016,1,February,5,43,0,43,0,0,0,43,0,43
2016-02-01,0,Leeds,"Briggate at McDonalds	",,Monday,2016,1,February,5,33,0,33,0,0,0,33,0,33
2016-02-01,0,Leeds,Commercial Street at Sharps,,Monday,2016,1,February,5,22,0,22,0,0,0,22,0,22
2016-02-01,0,Leeds,Commercial Street at Barratts,,Monday,2016,1,February,5,23,0,23,0,0,0,23,0,23
2016-02-01,0,Leeds,Headrow,,Monday,2016,1,February,5,11,0,11,0,0,0,11,0,11
2016-02-01,0,Leeds,"Dortmund Square	",,Monday,2016,1,February,5,27,0,27,0,0,0,27,0,27
2016-02-01,0,Leeds,Albion Street South,,Monday,2016,1,February,5,19,0,19,0,0,0,19,0,19
2016-02-01,0,Leeds,Albion Street North,,Monday,2016,1,February,5,17,0,17,0,0,0,17,0,17
2016-02-01,1,Leeds,Briggate,,Monday,2016,1,February,5,69,0,69,0,0,0,69,0,69
2016-02-01,1,Leeds,"Briggate at McDonalds	",,Monday,2016,1,February,5,22,0,22,0,0,0,22,0,22
2016-02-01,1,Leeds,Commercial Street at Sharps,,Monday,2016,1,February,5,17,0,17,0,0,0,17,0,17
2016-02-01,1,Leeds,Commercial Street at Barratts,,Monday,2016,1,February,5,0,0,0,0,0,0,0,0,0
2016-02-01,1,Leeds,Headrow,,Monday,2016,1,February,5,3,0,3,0,0,0,3,0,3
2016-02-01,1,Leeds,"Dortmund Square	",,Monday,2016,1,February,5,14,0,14,0,0,0,14,0,14
2016-02-01,1,Leeds,Albion Street South,,Monday,2016,1,February,5,11,0,11,0,0,0,11,0,11
2016-02-01,1,Leeds,Albion Street North,,Monday,2016,1,February,5,7,0,7,0,0,0,7,0,7
2016-02-01,2,Leeds,Briggate,,Monday,2016,1,February,5,32,0,32,0,0,0,32,0,32
2016-02-01,2,Leeds,"Briggate at McDonalds	",,Monday,2016,1,February,5,12,0,12,0,0,0,12,0,12
2016-02-01,2,Leeds,Commercial Street at Sharps,,Monday,2016,1,February,5,3,0,3,0,0,0,3,0,3
2016-02-01,2,Leeds,Commercial Street at Barratts,,Monday,2016,1,February,5,0,0,0,0,0,0,0,0,0
2016-02-01,2,Leeds,Headrow,,Monday,2016,1,February,5,3,0,3,0,0,0,3,0,3
2016-02-01,2,Leeds,"Dortmund Square	",,Monday,2016,1,February,5,8,0,8,0,0,0,8,0,8
2016-02-01,2,Leeds,Albion Street South,,Monday,2016,1,February,5,5,0,5,0,0,0,5,0,5
2016-02-01,2,Leeds,Albion Street North,,Monday,2016,1,February,5,2,0,2,0,0,0,2,0,2
2016-02-01,3,Leeds,Briggate,,Monday,2016,1,February,5,37,0,37,0,0,0,37,0,37
2016-02-01,3,Leeds,"Briggate at McDonalds	",,Monday,2016,1,February,5,10,0,10,0,0,0,10,0,10
2016-02-01,3,Leeds,Commercial Street at Sharps,,Monday,2016,1,February,5,10,0,10,0,0,0,10,0,10
2016-02-01,3,Leeds,Commercial Street at Barratts,,Monday,2016,1,February,5,0,0,0,0,0,0,0,0,0
2016-02-01,3,Leeds,Headrow,,Monday,2016,1,February,5,1,0,1,0,0,0,1,0,1
2016-02-01,3,Leeds,"Dortmund Square	",,Monday,2016,1,February,5,4,0,4,0,0,0,4,0,4
2016-02-01,3,Leeds,Albion Street South,,Monday,2016,1,February,5,14,0,14,0,0,0,14,0,14
2016-02-01,3,Leeds,Albion Street North,,Monday,2016,1,February,5,6,0,6,0,0,0,6,0,6
2016-02-01,4,Leeds,Briggate,,Monday,2016,1,February,5,42,0,42,0,0,0,42,0,42
2016-02-01,4,Leeds,"Briggate at McDonalds	",,Monday,2016,1,February,5,23,0,23,0,0,0,23,0,23
2016-02-01,4,Leeds,Commercial Street at Sharps,,Monday,2016,1,February,5,17,0,17,0,0,0,17,0,17
2016-02-01,4,Leeds,Commercial Street at Barratts,,Monday,2016,1,February,5,0,0,0,0,0,0,0,0,0
2016-02-01,4,Leeds,Headrow,,Monday,2016,1,February,5,15,0,15,0,0,0,15,0,15
2016-02-01,4,Leeds,"Dortmund Square	",,Monday,2016,1,February,5,18,0,18,0,0,0,18,0,18
2016-02-01,4,Leeds,Albion Street South,,Monday,2016,1,February,5,5,0,5,0,0,0,5,0,5
2016-02-01,4,Leeds,Albion Street North,,Monday,2016,1,February,5,5,0,5,0,0,0,5,0,5
2016-02-01,5,Leeds,Briggate,,Monday,2016,1,February,5,35,0,35,0,0,0,35,0,35
2016-02-01,5,Leeds,"Briggate at McDonalds	",,Monday,2016,1,February,5,63,0,63,0,0,0,63,0,63
2016-02-01,5,Leeds,Commercial Street at Sharps,,Monday,2016,1,February,5,44,0,44,0,0,0,44,0,44
