Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-05-02,0,Leeds,Briggate,,Monday,2016,2,May,18,25,0,25,0,0,0,25,0,25
2016-05-02,0,Leeds,"Briggate at McDonalds	",,Monday,2016,2,May,18,43,0,43,0,0,0,43,0,43
2016-05-02,0,Leeds,Commercial Street at Sharps,,Monday,2016,2,May,18,133,0,133,0,0,0,133,0,133
2016-05-02,0,Leeds,Commercial Street at Barratts,,Monday,2016,2,May,18,14,0,14,0,0,0,14,0,14
2016-05-02,0,Leeds,Headrow,,Monday,2016,2,May,18,28,0,28,0,0,0,28,0,28
2016-05-02,0,Leeds,"Dortmund Square	",,Monday,2016,2,May,18,48,0,48,0,0,0,48,0,48
2016-05-02,0,Leeds,Albion Street South,,Monday,2016,2,May,18,18,0,18,0,0,0,18,0,18
2016-05-02,0,Leeds,Albion Street North,,Monday,2016,2,May,18,14,0,14,0,0,0,14,0,14
2016-05-02,1,Leeds,Briggate,,Monday,2016,2,May,18,23,0,23,0,0,0,23,0,23
2016-05-02,1,Leeds,"Briggate at McDonalds	",,Monday,2016,2,May,18,35,0,35,0,0,0,35,0,35
2016-05-02,1,Leeds,Commercial Street at Sharps,,Monday,2016,2,May,18,40,0,40,0,0,0,40,0,40
2016-05-02,1,Leeds,Commercial Street at Barratts,,Monday,2016,2,May,18,0,0,0,0,0,0,0,0,0
2016-05-02,1,Leeds,Headrow,,Monday,2016,2,May,18,25,0,25,0,0,0,25,0,25
2016-05-02,1,Leeds,"Dortmund Square	",,Monday,2016,2,May,18,33,0,33,0,0,0,33,0,33
2016-05-02,1,Leeds,Albion Street South,,Monday,2016,2,May,18,9,0,9,0,0,0,9,0,9
2016-05-02,1,Leeds,Albion Street North,,Monday,2016,2,May,18,2,0,2,0,0,0,2,0,2
2016-05-02,2,Leeds,Briggate,,Monday,2016,2,May,18,19,0,19,0,0,0,19,0,19
2016-05-02,2,Leeds,"Briggate at McDonalds	",,Monday,2016,2,May,18,14,0,14,0,0,0,14,0,14
2016-05-02,2,Leeds,Commercial Street at Sharps,,Monday,2016,2,May,18,42,0,42,0,0,0,42,0,42
2016-05-02,2,Leeds,Commercial Street at Barratts,,Monday,2016,2,May,18,0,0,0,0,0,0,0,0,0
2016-05-02,2,Leeds,Headrow,,Monday,2016,2,May,18,14,0,14,0,0,0,14,0,14
2016-05-02,2,Leeds,"Dortmund Square	",,Monday,2016,2,May,18,13,0,13,0,0,0,13,0,13
2016-05-02,2,Leeds,Albion Street South,,Monday,2016,2,May,18,1,0,1,0,0,0,1,0,1
2016-05-02,2,Leeds,Albion Street North,,Monday,2016,2,May,18,0,0,0,0,0,0,0,0,0
2016-05-02,3,Leeds,Briggate,,Monday,2016,2,May,18,15,0,15,0,0,0,15,0,15
