Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-08-03,0,Leeds,Briggate,,Monday,2015,3,August,31,375,0,375,0,0,0,375,0,375
2015-08-03,0,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,186,0,186,0,0,0,186,0,186
2015-08-03,0,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,65,0,65,0,0,0,65,0,65
2015-08-03,0,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,34,0,34,0,0,0,34,0,34
2015-08-03,0,Leeds,Headrow,,Monday,2015,3,August,31,57,0,57,0,0,0,57,0,57
2015-08-03,0,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,82,0,82,0,0,0,82,0,82
2015-08-03,0,Leeds,Albion Street South,,Monday,2015,3,August,31,32,0,32,0,0,0,32,0,32
2015-08-03,0,Leeds,Albion Street North,,Monday,2015,3,August,31,29,0,29,0,0,0,29,0,29
2015-08-03,1,Leeds,Briggate,,Monday,2015,3,August,31,187,0,187,0,0,0,187,0,187
2015-08-03,1,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,107,0,107,0,0,0,107,0,107
2015-08-03,1,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,22,0,22,0,0,0,22,0,22
2015-08-03,1,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,9,0,9,0,0,0,9,0,9
2015-08-03,1,Leeds,Headrow,,Monday,2015,3,August,31,28,0,28,0,0,0,28,0,28
2015-08-03,1,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,77,0,77,0,0,0,77,0,77
2015-08-03,1,Leeds,Albion Street South,,Monday,2015,3,August,31,29,0,29,0,0,0,29,0,29
2015-08-03,1,Leeds,Albion Street North,,Monday,2015,3,August,31,18,0,18,0,0,0,18,0,18
2015-08-03,2,Leeds,Briggate,,Monday,2015,3,August,31,197,0,197,0,0,0,197,0,197
2015-08-03,2,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,97,0,97,0,0,0,97,0,97
2015-08-03,2,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,14,0,14,0,0,0,14,0,14
2015-08-03,2,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,0,0,0,0,0,0,0,0,0
2015-08-03,2,Leeds,Headrow,,Monday,2015,3,August,31,22,0,22,0,0,0,22,0,22
2015-08-03,2,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,45,0,45,0,0,0,45,0,45
2015-08-03,2,Leeds,Albion Street South,,Monday,2015,3,August,31,14,0,14,0,0,0,14,0,14
2015-08-03,2,Leeds,Albion Street North,,Monday,2015,3,August,31,13,0,13,0,0,0,13,0,13
2015-08-03,3,Leeds,Briggate,,Monday,2015,3,August,31,118,0,118,0,0,0,118,0,118
2015-08-03,3,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,73,0,73,0,0,0,73,0,73
2015-08-03,3,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,26,0,26,0,0,0,26,0,26
2015-08-03,3,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,0,0,0,0,0,0,0,0,0
2015-08-03,3,Leeds,Headrow,,Monday,2015,3,August,31,26,0,26,0,0,0,26,0,26
2015-08-03,3,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,31,0,31,0,0,0,31,0,31
2015-08-03,3,Leeds,Albion Street South,,Monday,2015,3,August,31,15,0,15,0,0,0,15,0,15
2015-08-03,3,Leeds,Albion Street North,,Monday,2015,3,August,31,14,0,14,0,0,0,14,0,14
2015-08-03,4,Leeds,Briggate,,Monday,2015,3,August,31,106,0,106,0,0,0,106,0,106
2015-08-03,4,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,74,0,74,0,0,0,74,0,74
2015-08-03,4,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,24,0,24,0,0,0,24,0,24
2015-08-03,4,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,8,0,8,0,0,0,8,0,8
2015-08-03,4,Leeds,Headrow,,Monday,2015,3,August,31,15,0,15,0,0,0,15,0,15
2015-08-03,4,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,44,0,44,0,0,0,44,0,44
2015-08-03,4,Leeds,Albion Street South,,Monday,2015,3,August,31,29,0,29,0,0,0,29,0,29
2015-08-03,4,Leeds,Albion Street North,,Monday,2015,3,August,31,3,0,3,0,0,0,3,0,3
2015-08-03,5,Leeds,Briggate,,Monday,2015,3,August,31,110,0,110,0,0,0,110,0,110
2015-08-03,5,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,96,0,96,0,0,0,96,0,96
2015-08-03,5,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,60,0,60,0,0,0,60,0,60
2015-08-03,5,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,37,0,37,0,0,0,37,0,37
2015-08-03,5,Leeds,Headrow,,Monday,2015,3,August,31,31,0,31,0,0,0,31,0,31
2015-08-03,5,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,25,0,25,0,0,0,25,0,25
2015-08-03,5,Leeds,Albion Street South,,Monday,2015,3,August,31,32,0,32,0,0,0,32,0,32
2015-08-03,5,Leeds,Albion Street North,,Monday,2015,3,August,31,17,0,17,0,0,0,17,0,17
2015-08-03,6,Leeds,Briggate,,Monday,2015,3,August,31,221,0,221,0,0,0,221,0,221
2015-08-03,6,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,89,0,89,0,0,0,89,0,89
2015-08-03,6,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,84,0,84,0,0,0,84,0,84
2015-08-03,6,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,129,0,129,0,0,0,129,0,129
2015-08-03,6,Leeds,Headrow,,Monday,2015,3,August,31,75,0,75,0,0,0,75,0,75
2015-08-03,6,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,108,0,108,0,0,0,108,0,108
2015-08-03,6,Leeds,Albion Street South,,Monday,2015,3,August,31,105,0,105,0,0,0,105,0,105
2015-08-03,6,Leeds,Albion Street North,,Monday,2015,3,August,31,75,0,75,0,0,0,75,0,75
2015-08-03,7,Leeds,Briggate,,Monday,2015,3,August,31,420,0,420,0,0,0,420,0,420
2015-08-03,7,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,243,0,243,0,0,0,243,0,243
2015-08-03,7,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,355,0,355,0,0,0,355,0,355
2015-08-03,7,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,291,0,291,0,0,0,291,0,291
2015-08-03,7,Leeds,Headrow,,Monday,2015,3,August,31,230,0,230,0,0,0,230,0,230
2015-08-03,7,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,428,0,428,0,0,0,428,0,428
2015-08-03,7,Leeds,Albion Street South,,Monday,2015,3,August,31,311,0,311,0,0,0,311,0,311
2015-08-03,7,Leeds,Albion Street North,,Monday,2015,3,August,31,303,0,303,0,0,0,303,0,303
2015-08-03,8,Leeds,Briggate,,Monday,2015,3,August,31,878,0,878,0,0,0,878,0,878
2015-08-03,8,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,409,0,409,0,0,0,409,0,409
2015-08-03,8,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,906,0,906,0,0,0,906,0,906
2015-08-03,8,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,625,0,625,0,0,0,625,0,625
2015-08-03,8,Leeds,Headrow,,Monday,2015,3,August,31,520,0,520,0,0,0,520,0,520
2015-08-03,8,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,1031,0,1031,0,0,0,1031,0,1031
2015-08-03,8,Leeds,Albion Street South,,Monday,2015,3,August,31,771,0,771,0,0,0,771,0,771
2015-08-03,8,Leeds,Albion Street North,,Monday,2015,3,August,31,698,0,698,0,0,0,698,0,698
2015-08-03,9,Leeds,Briggate,,Monday,2015,3,August,31,1026,0,1026,0,0,0,1026,0,1026
2015-08-03,9,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,528,0,528,0,0,0,528,0,528
2015-08-03,9,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,835,0,835,0,0,0,835,0,835
2015-08-03,9,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,705,0,705,0,0,0,705,0,705
2015-08-03,9,Leeds,Headrow,,Monday,2015,3,August,31,608,0,608,0,0,0,608,0,608
2015-08-03,9,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,874,0,874,0,0,0,874,0,874
2015-08-03,9,Leeds,Albion Street South,,Monday,2015,3,August,31,765,0,765,0,0,0,765,0,765
2015-08-03,9,Leeds,Albion Street North,,Monday,2015,3,August,31,557,0,557,0,0,0,557,0,557
2015-08-03,10,Leeds,Briggate,,Monday,2015,3,August,31,1867,0,1867,0,0,0,1867,0,1867
2015-08-03,10,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,744,0,744,0,0,0,744,0,744
2015-08-03,10,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,977,0,977,0,0,0,977,0,977
2015-08-03,10,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,1068,0,1068,0,0,0,1068,0,1068
2015-08-03,10,Leeds,Headrow,,Monday,2015,3,August,31,1130,0,1130,0,0,0,1130,0,1130
2015-08-03,10,Leeds,"Dortmund Square	",,Monday,2015,3,August,31,1070,0,1070,0,0,0,1070,0,1070
2015-08-03,10,Leeds,Albion Street South,,Monday,2015,3,August,31,1057,0,1057,0,0,0,1057,0,1057
2015-08-03,10,Leeds,Albion Street North,,Monday,2015,3,August,31,789,0,789,0,0,0,789,0,789
2015-08-03,11,Leeds,Briggate,,Monday,2015,3,August,31,2637,0,2637,0,0,0,2637,0,2637
2015-08-03,11,Leeds,"Briggate at McDonalds	",,Monday,2015,3,August,31,1075,0,1075,0,0,0,1075,0,1075
2015-08-03,11,Leeds,Commercial Street at Sharps,,Monday,2015,3,August,31,1342,0,1342,0,0,0,1342,0,1342
2015-08-03,11,Leeds,Commercial Street at Barratts,,Monday,2015,3,August,31,1553,0,1553,0,0,0,1553,0,1553
