Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-06-01,0,Leeds,Briggate,,Monday,2015,2,June,22,103,0,103,0,0,0,103,0,103
2015-06-01,0,Leeds,"Briggate at McDonalds	",,Monday,2015,2,June,22,43,0,43,0,0,0,43,0,43
2015-06-01,0,Leeds,Commercial Street at Sharps,,Monday,2015,2,June,22,76,0,76,0,0,0,76,0,76
2015-06-01,0,Leeds,Commercial Street at Barratts,,Monday,2015,2,June,22,47,0,47,0,0,0,47,0,47
2015-06-01,0,Leeds,Headrow,,Monday,2015,2,June,22,94,0,94,0,0,0,94,0,94
2015-06-01,0,Leeds,"Dortmund Square	",,Monday,2015,2,June,22,57,0,57,0,0,0,57,0,57
2015-06-01,0,Leeds,Albion Street South,,Monday,2015,2,June,22,106,0,106,0,0,0,106,0,106
2015-06-01,0,Leeds,Albion Street North,,Monday,2015,2,June,22,24,0,24,0,0,0,24,0,24
2015-06-01,1,Leeds,Briggate,,Monday,2015,2,June,22,86,0,86,0,0,0,86,0,86
2015-06-01,1,Leeds,"Briggate at McDonalds	",,Monday,2015,2,June,22,37,0,37,0,0,0,37,0,37
2015-06-01,1,Leeds,Commercial Street at Sharps,,Monday,2015,2,June,22,34,0,34,0,0,0,34,0,34
2015-06-01,1,Leeds,Commercial Street at Barratts,,Monday,2015,2,June,22,15,0,15,0,0,0,15,0,15
2015-06-01,1,Leeds,Headrow,,Monday,2015,2,June,22,51,0,51,0,0,0,51,0,51
2015-06-01,1,Leeds,"Dortmund Square	",,Monday,2015,2,June,22,27,0,27,0,0,0,27,0,27
2015-06-01,1,Leeds,Albion Street South,,Monday,2015,2,June,22,81,0,81,0,0,0,81,0,81
2015-06-01,1,Leeds,Albion Street North,,Monday,2015,2,June,22,13,0,13,0,0,0,13,0,13
2015-06-01,2,Leeds,Briggate,,Monday,2015,2,June,22,37,0,37,0,0,0,37,0,37
2015-06-01,2,Leeds,"Briggate at McDonalds	",,Monday,2015,2,June,22,18,0,18,0,0,0,18,0,18
2015-06-01,2,Leeds,Commercial Street at Sharps,,Monday,2015,2,June,22,1,0,1,0,0,0,1,0,1
2015-06-01,2,Leeds,Commercial Street at Barratts,,Monday,2015,2,June,22,0,0,0,0,0,0,0,0,0
2015-06-01,2,Leeds,Headrow,,Monday,2015,2,June,22,50,0,50,0,0,0,50,0,50
2015-06-01,2,Leeds,"Dortmund Square	",,Monday,2015,2,June,22,25,0,25,0,0,0,25,0,25
2015-06-01,2,Leeds,Albion Street South,,Monday,2015,2,June,22,82,0,82,0,0,0,82,0,82
2015-06-01,2,Leeds,Albion Street North,,Monday,2015,2,June,22,3,0,3,0,0,0,3,0,3
2015-06-01,3,Leeds,Briggate,,Monday,2015,2,June,22,75,0,75,0,0,0,75,0,75
2015-06-01,3,Leeds,"Briggate at McDonalds	",,Monday,2015,2,June,22,14,0,14,0,0,0,14,0,14
2015-06-01,3,Leeds,Commercial Street at Sharps,,Monday,2015,2,June,22,13,0,13,0,0,0,13,0,13
