Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-05-04,0,Leeds,Briggate,,Monday,2015,2,May,18,691,0,691,0,0,0,691,0,691
2015-05-04,0,Leeds,"Briggate at McDonalds	",,Monday,2015,2,May,18,324,0,324,0,0,0,324,0,324
2015-05-04,0,Leeds,Commercial Street at Lush,,Monday,2015,2,May,18,105,0,105,0,0,0,105,0,105
2015-05-04,0,Leeds,Commercial Street at Barratts,,Monday,2015,2,May,18,29,0,29,0,0,0,29,0,29
2015-05-04,0,Leeds,Headrow,,Monday,2015,2,May,18,217,0,217,0,0,0,217,0,217
2015-05-04,0,Leeds,"Dortmund Square	",,Monday,2015,2,May,18,194,0,194,0,0,0,194,0,194
2015-05-04,0,Leeds,Albion Street South,,Monday,2015,2,May,18,130,0,130,0,0,0,130,0,130
2015-05-04,0,Leeds,Albion Street North,,Monday,2015,2,May,18,132,0,132,0,0,0,132,0,132
2015-05-04,1,Leeds,Briggate,,Monday,2015,2,May,18,683,0,683,0,0,0,683,0,683
2015-05-04,1,Leeds,"Briggate at McDonalds	",,Monday,2015,2,May,18,244,0,244,0,0,0,244,0,244
2015-05-04,1,Leeds,Commercial Street at Lush,,Monday,2015,2,May,18,85,0,85,0,0,0,85,0,85
2015-05-04,1,Leeds,Commercial Street at Barratts,,Monday,2015,2,May,18,10,0,10,0,0,0,10,0,10
2015-05-04,1,Leeds,Headrow,,Monday,2015,2,May,18,167,0,167,0,0,0,167,0,167
2015-05-04,1,Leeds,"Dortmund Square	",,Monday,2015,2,May,18,117,0,117,0,0,0,117,0,117
2015-05-04,1,Leeds,Albion Street South,,Monday,2015,2,May,18,167,0,167,0,0,0,167,0,167
2015-05-04,1,Leeds,Albion Street North,,Monday,2015,2,May,18,123,0,123,0,0,0,123,0,123
2015-05-04,2,Leeds,Briggate,,Monday,2015,2,May,18,554,0,554,0,0,0,554,0,554
2015-05-04,2,Leeds,"Briggate at McDonalds	",,Monday,2015,2,May,18,199,0,199,0,0,0,199,0,199
2015-05-04,2,Leeds,Commercial Street at Lush,,Monday,2015,2,May,18,85,0,85,0,0,0,85,0,85
2015-05-04,2,Leeds,Commercial Street at Barratts,,Monday,2015,2,May,18,0,0,0,0,0,0,0,0,0
2015-05-04,2,Leeds,Headrow,,Monday,2015,2,May,18,144,0,144,0,0,0,144,0,144
