Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2016-10-01,0,Leeds,Briggate,,Saturday,2016,3,September,39,1242,0,1242,0,0,0,1242,0,1242
2016-10-01,0,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,488,0,488,0,0,0,488,0,488
2016-10-01,0,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,227,0,227,0,0,0,227,0,227
2016-10-01,0,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,146,0,146,0,0,0,146,0,146
2016-10-01,0,Leeds,Headrow,,Saturday,2016,3,September,39,327,0,327,0,0,0,327,0,327
2016-10-01,0,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,306,0,306,0,0,0,306,0,306
2016-10-01,0,Leeds,Albion Street South,,Saturday,2016,3,September,39,287,0,287,0,0,0,287,0,287
2016-10-01,0,Leeds,Albion Street North,,Saturday,2016,3,September,39,316,0,316,0,0,0,316,0,316
2016-10-01,1,Leeds,Briggate,,Saturday,2016,3,September,39,923,0,923,0,0,0,923,0,923
2016-10-01,1,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,372,0,372,0,0,0,372,0,372
2016-10-01,1,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,130,0,130,0,0,0,130,0,130
2016-10-01,1,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,47,0,47,0,0,0,47,0,47
2016-10-01,1,Leeds,Headrow,,Saturday,2016,3,September,39,218,0,218,0,0,0,218,0,218
2016-10-01,1,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,172,0,172,0,0,0,172,0,172
2016-10-01,1,Leeds,Albion Street South,,Saturday,2016,3,September,39,288,0,288,0,0,0,288,0,288
2016-10-01,1,Leeds,Albion Street North,,Saturday,2016,3,September,39,314,0,314,0,0,0,314,0,314
2016-10-01,2,Leeds,Briggate,,Saturday,2016,3,September,39,872,0,872,0,0,0,872,0,872
2016-10-01,2,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,292,0,292,0,0,0,292,0,292
2016-10-01,2,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,101,0,101,0,0,0,101,0,101
2016-10-01,2,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,13,0,13,0,0,0,13,0,13
2016-10-01,2,Leeds,Headrow,,Saturday,2016,3,September,39,279,0,279,0,0,0,279,0,279
2016-10-01,2,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,257,0,257,0,0,0,257,0,257
2016-10-01,2,Leeds,Albion Street South,,Saturday,2016,3,September,39,261,0,261,0,0,0,261,0,261
2016-10-01,2,Leeds,Albion Street North,,Saturday,2016,3,September,39,443,0,443,0,0,0,443,0,443
2016-10-01,3,Leeds,Briggate,,Saturday,2016,3,September,39,838,0,838,0,0,0,838,0,838
2016-10-01,3,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,223,0,223,0,0,0,223,0,223
2016-10-01,3,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,36,0,36,0,0,0,36,0,36
2016-10-01,3,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,13,0,13,0,0,0,13,0,13
2016-10-01,3,Leeds,Headrow,,Saturday,2016,3,September,39,181,0,181,0,0,0,181,0,181
2016-10-01,3,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,231,0,231,0,0,0,231,0,231
2016-10-01,3,Leeds,Albion Street South,,Saturday,2016,3,September,39,144,0,144,0,0,0,144,0,144
2016-10-01,3,Leeds,Albion Street North,,Saturday,2016,3,September,39,370,0,370,0,0,0,370,0,370
2016-10-01,4,Leeds,Briggate,,Saturday,2016,3,September,39,440,0,440,0,0,0,440,0,440
2016-10-01,4,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,136,0,136,0,0,0,136,0,136
2016-10-01,4,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,43,0,43,0,0,0,43,0,43
2016-10-01,4,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,0,0,0,0,0,0,0,0,0
2016-10-01,4,Leeds,Headrow,,Saturday,2016,3,September,39,66,0,66,0,0,0,66,0,66
2016-10-01,4,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,129,0,129,0,0,0,129,0,129
2016-10-01,4,Leeds,Albion Street South,,Saturday,2016,3,September,39,32,0,32,0,0,0,32,0,32
2016-10-01,4,Leeds,Albion Street North,,Saturday,2016,3,September,39,341,0,341,0,0,0,341,0,341
2016-10-01,5,Leeds,Briggate,,Saturday,2016,3,September,39,199,0,199,0,0,0,199,0,199
2016-10-01,5,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,84,0,84,0,0,0,84,0,84
2016-10-01,5,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,33,0,33,0,0,0,33,0,33
2016-10-01,5,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,0,0,0,0,0,0,0,0,0
2016-10-01,5,Leeds,Headrow,,Saturday,2016,3,September,39,56,0,56,0,0,0,56,0,56
2016-10-01,5,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,47,0,47,0,0,0,47,0,47
2016-10-01,5,Leeds,Albion Street South,,Saturday,2016,3,September,39,42,0,42,0,0,0,42,0,42
2016-10-01,5,Leeds,Albion Street North,,Saturday,2016,3,September,39,154,0,154,0,0,0,154,0,154
2016-10-01,6,Leeds,Briggate,,Saturday,2016,3,September,39,255,0,255,0,0,0,255,0,255
2016-10-01,6,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,140,0,140,0,0,0,140,0,140
2016-10-01,6,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,60,0,60,0,0,0,60,0,60
2016-10-01,6,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,13,0,13,0,0,0,13,0,13
2016-10-01,6,Leeds,Headrow,,Saturday,2016,3,September,39,95,0,95,0,0,0,95,0,95
2016-10-01,6,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,55,0,55,0,0,0,55,0,55
2016-10-01,6,Leeds,Albion Street South,,Saturday,2016,3,September,39,14,0,14,0,0,0,14,0,14
2016-10-01,6,Leeds,Albion Street North,,Saturday,2016,3,September,39,143,0,143,0,0,0,143,0,143
2016-10-01,7,Leeds,Briggate,,Saturday,2016,3,September,39,266,0,266,0,0,0,266,0,266
2016-10-01,7,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,204,0,204,0,0,0,204,0,204
2016-10-01,7,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,99,0,99,0,0,0,99,0,99
2016-10-01,7,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,58,0,58,0,0,0,58,0,58
2016-10-01,7,Leeds,Headrow,,Saturday,2016,3,September,39,105,0,105,0,0,0,105,0,105
2016-10-01,7,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,98,0,98,0,0,0,98,0,98
2016-10-01,7,Leeds,Albion Street South,,Saturday,2016,3,September,39,67,0,67,0,0,0,67,0,67
2016-10-01,7,Leeds,Albion Street North,,Saturday,2016,3,September,39,86,0,86,0,0,0,86,0,86
2016-10-01,8,Leeds,Briggate,,Saturday,2016,3,September,39,575,0,575,0,0,0,575,0,575
2016-10-01,8,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,391,0,391,0,0,0,391,0,391
2016-10-01,8,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,334,0,334,0,0,0,334,0,334
2016-10-01,8,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,272,0,272,0,0,0,272,0,272
2016-10-01,8,Leeds,Headrow,,Saturday,2016,3,September,39,347,0,347,0,0,0,347,0,347
2016-10-01,8,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,436,0,436,0,0,0,436,0,436
2016-10-01,8,Leeds,Albion Street South,,Saturday,2016,3,September,39,261,0,261,0,0,0,261,0,261
2016-10-01,8,Leeds,Albion Street North,,Saturday,2016,3,September,39,221,0,221,0,0,0,221,0,221
2016-10-01,9,Leeds,Briggate,,Saturday,2016,3,September,39,1469,0,1469,0,0,0,1469,0,1469
2016-10-01,9,Leeds,"Briggate at McDonalds	",,Saturday,2016,3,September,39,834,0,834,0,0,0,834,0,834
2016-10-01,9,Leeds,Commercial Street at Sharps,,Saturday,2016,3,September,39,1079,0,1079,0,0,0,1079,0,1079
2016-10-01,9,Leeds,Commercial Street at Barratts,,Saturday,2016,3,September,39,836,0,836,0,0,0,836,0,836
2016-10-01,9,Leeds,Headrow,,Saturday,2016,3,September,39,813,0,813,0,0,0,813,0,813
2016-10-01,9,Leeds,"Dortmund Square	",,Saturday,2016,3,September,39,953,0,953,0,0,0,953,0,953
