Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-09-07,0,Leeds,Briggate,,Monday,2015,3,September,36,69,0,69,0,0,0,69,0,69
2015-09-07,0,Leeds,"Briggate at McDonalds	",,Monday,2015,3,September,36,41,0,41,0,0,0,41,0,41
2015-09-07,0,Leeds,Commercial Street at Sharps,,Monday,2015,3,September,36,71,0,71,0,0,0,71,0,71
2015-09-07,0,Leeds,Commercial Street at Barratts,,Monday,2015,3,September,36,33,0,33,0,0,0,33,0,33
2015-09-07,0,Leeds,Headrow,,Monday,2015,3,September,36,34,0,34,0,0,0,34,0,34
2015-09-07,0,Leeds,"Dortmund Square	",,Monday,2015,3,September,36,40,0,40,0,0,0,40,0,40
2015-09-07,0,Leeds,Albion Street South,,Monday,2015,3,September,36,26,0,26,0,0,0,26,0,26
2015-09-07,0,Leeds,Albion Street North,,Monday,2015,3,September,36,52,0,52,0,0,0,52,0,52
2015-09-07,1,Leeds,Briggate,,Monday,2015,3,September,36,45,0,45,0,0,0,45,0,45
2015-09-07,1,Leeds,"Briggate at McDonalds	",,Monday,2015,3,September,36,29,0,29,0,0,0,29,0,29
2015-09-07,1,Leeds,Commercial Street at Sharps,,Monday,2015,3,September,36,22,0,22,0,0,0,22,0,22
2015-09-07,1,Leeds,Commercial Street at Barratts,,Monday,2015,3,September,36,7,0,7,0,0,0,7,0,7
2015-09-07,1,Leeds,Headrow,,Monday,2015,3,September,36,16,0,16,0,0,0,16,0,16
2015-09-07,1,Leeds,"Dortmund Square	",,Monday,2015,3,September,36,17,0,17,0,0,0,17,0,17
2015-09-07,1,Leeds,Albion Street South,,Monday,2015,3,September,36,19,0,19,0,0,0,19,0,19
2015-09-07,1,Leeds,Albion Street North,,Monday,2015,3,September,36,4,0,4,0,0,0,4,0,4
2015-09-07,2,Leeds,Briggate,,Monday,2015,3,September,36,34,0,34,0,0,0,34,0,34
2015-09-07,2,Leeds,"Briggate at McDonalds	",,Monday,2015,3,September,36,35,0,35,0,0,0,35,0,35
2015-09-07,2,Leeds,Commercial Street at Sharps,,Monday,2015,3,September,36,13,0,13,0,0,0,13,0,13
2015-09-07,2,Leeds,Commercial Street at Barratts,,Monday,2015,3,September,36,0,0,0,0,0,0,0,0,0
2015-09-07,2,Leeds,Headrow,,Monday,2015,3,September,36,16,0,16,0,0,0,16,0,16
2015-09-07,2,Leeds,"Dortmund Square	",,Monday,2015,3,September,36,8,0,8,0,0,0,8,0,8
2015-09-07,2,Leeds,Albion Street South,,Monday,2015,3,September,36,15,0,15,0,0,0,15,0,15
2015-09-07,2,Leeds,Albion Street North,,Monday,2015,3,September,36,4,0,4,0,0,0,4,0,4
2015-09-07,3,Leeds,Briggate,,Monday,2015,3,September,36,17,0,17,0,0,0,17,0,17
2015-09-07,3,Leeds,"Briggate at McDonalds	",,Monday,2015,3,September,36,12,0,12,0,0,0,12,0,12
2015-09-07,3,Leeds,Commercial Street at Sharps,,Monday,2015,3,September,36,27,0,27,0,0,0,27,0,27
2015-09-07,3,Leeds,Commercial Street at Barratts,,Monday,2015,3,September,36,0,0,0,0,0,0,0,0,0
