Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2015-01-05,0,Leeds,Briggate,,Monday,2015,1,January,1,82,0,82,0,0,0,82,0,82
2015-01-05,0,Leeds,"Briggate at McDonalds	",,Monday,2015,1,January,1,34,0,34,0,0,0,34,0,34
2015-01-05,0,Leeds,Commercial Street at Lush,,Monday,2015,1,January,1,0,0,0,0,0,0,0,0,0
2015-01-05,0,Leeds,Commercial Street at Barratts,,Monday,2015,1,January,1,34,0,34,0,0,0,34,0,34
2015-01-05,0,Leeds,Headrow,,Monday,2015,1,January,1,38,0,38,0,0,0,38,0,38
2015-01-05,0,Leeds,"Dortmund Square	",,Monday,2015,1,January,1,25,0,25,0,0,0,25,0,25
2015-01-05,0,Leeds,Albion Street South,,Monday,2015,1,January,1,18,0,18,0,0,0,18,0,18
2015-01-05,0,Leeds,Albion Street North,,Monday,2015,1,January,1,23,0,23,0,0,0,23,0,23
2015-01-05,1,Leeds,Briggate,,Monday,2015,1,January,1,54,0,54,0,0,0,54,0,54
2015-01-05,1,Leeds,"Briggate at McDonalds	",,Monday,2015,1,January,1,15,0,15,0,0,0,15,0,15
2015-01-05,1,Leeds,Commercial Street at Lush,,Monday,2015,1,January,1,2,0,2,0,0,0,2,0,2
2015-01-05,1,Leeds,Commercial Street at Barratts,,Monday,2015,1,January,1,15,0,15,0,0,0,15,0,15
2015-01-05,1,Leeds,Headrow,,Monday,2015,1,January,1,7,0,7,0,0,0,7,0,7
2015-01-05,1,Leeds,"Dortmund Square	",,Monday,2015,1,January,1,17,0,17,0,0,0,17,0,17
2015-01-05,1,Leeds,Albion Street South,,Monday,2015,1,January,1,14,0,14,0,0,0,14,0,14
2015-01-05,1,Leeds,Albion Street North,,Monday,2015,1,January,1,5,0,5,0,0,0,5,0,5
2015-01-05,2,Leeds,Briggate,,Monday,2015,1,January,1,37,0,37,0,0,0,37,0,37
2015-01-05,2,Leeds,"Briggate at McDonalds	",,Monday,2015,1,January,1,9,0,9,0,0,0,9,0,9
2015-01-05,2,Leeds,Commercial Street at Lush,,Monday,2015,1,January,1,0,0,0,0,0,0,0,0,0
2015-01-05,2,Leeds,Commercial Street at Barratts,,Monday,2015,1,January,1,6,0,6,0,0,0,6,0,6
2015-01-05,2,Leeds,Headrow,,Monday,2015,1,January,1,6,0,6,0,0,0,6,0,6
2015-01-05,2,Leeds,"Dortmund Square	",,Monday,2015,1,January,1,12,0,12,0,0,0,12,0,12
2015-01-05,2,Leeds,Albion Street South,,Monday,2015,1,January,1,6,0,6,0,0,0,6,0,6
2015-01-05,2,Leeds,Albion Street North,,Monday,2015,1,January,1,2,0,2,0,0,0,2,0,2
2015-01-05,3,Leeds,Briggate,,Monday,2015,1,January,1,71,0,71,0,0,0,71,0,71
2015-01-05,3,Leeds,"Briggate at McDonalds	",,Monday,2015,1,January,1,11,0,11,0,0,0,11,0,11
