Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
06/10/2014,0,Leeds,Briggate,,Monday,2014,4,October,41,222,0,222,222,0,222,222,0,222
06/10/2014,0,Leeds,Briggate at McDonalds ,,Monday,2014,4,October,41,83,0,83,83,0,83,83,0,83
06/10/2014,0,Leeds,Commercial Street at Lush,,Monday,2014,4,October,41,13,0,13,13,0,13,13,0,13
06/10/2014,0,Leeds,Commercial Street at Barratts,,Monday,2014,4,October,41,34,0,34,34,0,34,34,0,34
06/10/2014,0,Leeds,Headrow,,Monday,2014,4,October,41,58,0,58,58,0,58,58,0,58
06/10/2014,0,Leeds,Dortmund Square ,,Monday,2014,4,October,41,53,0,53,53,0,53,53,0,53
06/10/2014,0,Leeds,Albion Street South,,Monday,2014,4,October,41,56,0,56,56,0,56,56,0,56
06/10/2014,0,Leeds,Albion Street North,,Monday,2014,4,October,41,37,0,37,37,0,37,37,0,37
06/10/2014,1,Leeds,Briggate,,Monday,2014,4,October,41,98,0,98,98,0,98,98,0,98
06/10/2014,1,Leeds,Briggate at McDonalds ,,Monday,2014,4,October,41,31,0,31,31,0,31,31,0,31
06/10/2014,1,Leeds,Commercial Street at Lush,,Monday,2014,4,October,41,3,0,3,3,0,3,3,0,3
06/10/2014,1,Leeds,Commercial Street at Barratts,,Monday,2014,4,October,41,17,0,17,17,0,17,17,0,17
06/10/2014,1,Leeds,Headrow,,Monday,2014,4,October,41,20,0,20,20,0,20,20,0,20
06/10/2014,1,Leeds,Dortmund Square ,,Monday,2014,4,October,41,20,0,20,20,0,20,20,0,20
06/10/2014,1,Leeds,Albion Street South,,Monday,2014,4,October,41,16,0,16,16,0,16,16,0,16
06/10/2014,1,Leeds,Albion Street North,,Monday,2014,4,October,41,15,0,15,15,0,15,15,0,15
06/10/2014,2,Leeds,Briggate,,Monday,2014,4,October,41,66,0,66,66,0,66,66,0,66
06/10/2014,2,Leeds,Briggate at McDonalds ,,Monday,2014,4,October,41,19,0,19,19,0,19,19,0,19
06/10/2014,2,Leeds,Commercial Street at Lush,,Monday,2014,4,October,41,0,0,0,0,0,0,0,0,0
06/10/2014,2,Leeds,Commercial Street at Barratts,,Monday,2014,4,October,41,8,0,8,8,0,8,8,0,8
06/10/2014,2,Leeds,Headrow,,Monday,2014,4,October,41,12,0,12,12,0,12,12,0,12
06/10/2014,2,Leeds,Dortmund Square ,,Monday,2014,4,October,41,13,0,13,13,0,13,13,0,13
06/10/2014,2,Leeds,Albion Street South,,Monday,2014,4,October,41,0,0,0,0,0,0,0,0,0
06/10/2014,2,Leeds,Albion Street North,,Monday,2014,4,October,41,8,0,8,8,0,8,8,0,8
06/10/2014,3,Leeds,Briggate,,Monday,2014,4,October,41,48,0,48,48,0,48,48,0,48
06/10/2014,3,Leeds,Briggate at McDonalds ,,Monday,2014,4,October,41,17,0,17,17,0,17,17,0,17
06/10/2014,3,Leeds,Commercial Street at Lush,,Monday,2014,4,October,41,2,0,2,2,0,2,2,0,2
06/10/2014,3,Leeds,Commercial Street at Barratts,,Monday,2014,4,October,41,2,0,2,2,0,2,2,0,2
06/10/2014,3,Leeds,Headrow,,Monday,2014,4,October,41,4,0,4,4,0,4,4,0,4
06/10/2014,3,Leeds,Dortmund Square ,,Monday,2014,4,October,41,4,0,4,4,0,4,4,0,4
06/10/2014,3,Leeds,Albion Street South,,Monday,2014,4,October,41,8,0,8,8,0,8,8,0,8
06/10/2014,3,Leeds,Albion Street North,,Monday,2014,4,October,41,8,0,8,8,0,8,8,0,8
06/10/2014,4,Leeds,Briggate,,Monday,2014,4,October,41,62,0,62,62,0,62,62,0,62
06/10/2014,4,Leeds,Briggate at McDonalds ,,Monday,2014,4,October,41,17,0,17,17,0,17,17,0,17
06/10/2014,4,Leeds,Commercial Street at Lush,,Monday,2014,4,October,41,11,0,11,11,0,11,11,0,11
06/10/2014,4,Leeds,Commercial Street at Barratts,,Monday,2014,4,October,41,20,0,20,20,0,20,20,0,20
06/10/2014,4,Leeds,Headrow,,Monday,2014,4,October,41,11,0,11,11,0,11,11,0,11
06/10/2014,4,Leeds,Dortmund Square ,,Monday,2014,4,October,41,25,0,25,25,0,25,25,0,25
06/10/2014,4,Leeds,Albion Street South,,Monday,2014,4,October,41,35,0,35,35,0,35,35,0,35
06/10/2014,4,Leeds,Albion Street North,,Monday,2014,4,October,41,12,0,12,12,0,12,12,0,12
06/10/2014,5,Leeds,Briggate,,Monday,2014,4,October,41,87,0,87,87,0,87,87,0,87
06/10/2014,5,Leeds,Briggate at McDonalds ,,Monday,2014,4,October,41,40,0,40,40,0,40,40,0,40
06/10/2014,5,Leeds,Commercial Street at Lush,,Monday,2014,4,October,41,32,0,32,32,0,32,32,0,32
06/10/2014,5,Leeds,Commercial Street at Barratts,,Monday,2014,4,October,41,37,0,37,37,0,37,37,0,37
06/10/2014,5,Leeds,Headrow,,Monday,2014,4,October,41,38,0,38,38,0,38,38,0,38
06/10/2014,5,Leeds,Dortmund Square ,,Monday,2014,4,October,41,27,0,27,27,0,27,27,0,27
06/10/2014,5,Leeds,Albion Street South,,Monday,2014,4,October,41,59,0,59,59,0,59,59,0,59
06/10/2014,5,Leeds,Albion Street North,,Monday,2014,4,October,41,85,0,85,85,0,85,85,0,85
06/10/2014,6,Leeds,Briggate,,Monday,2014,4,October,41,242,0,242,242,0,242,242,0,242
06/10/2014,6,Leeds,Briggate at McDonalds ,,Monday,2014,4,October,41,84,0,84,84,0,84,84,0,84
06/10/2014,6,Leeds,Commercial Street at Lush,,Monday,2014,4,October,41,73,0,73,73,0,73,73,0,73
06/10/2014,6,Leeds,Commercial Street at Barratts,,Monday,2014,4,October,41,101,0,101,101,0,101,101,0,101
06/10/2014,6,Leeds,Headrow,,Monday,2014,4,October,41,96,0,96,96,0,96,96,0,96
06/10/2014,6,Leeds,Dortmund Square ,,Monday,2014,4,October,41,96,0,96,96,0,96,96,0,96
06/10/2014,6,Leeds,Albion Street South,,Monday,2014,4,October,41,106,0,106,106,0,106,106,0,106
06/10/2014,6,Leeds,Albion Street North,,Monday,2014,4,October,41,84,0,84,84,0,84,84,0,84
06/10/2014,7,Leeds,Briggate,,Monday,2014,4,October,41,701,0,701,701,0,701,701,0,701
06/10/2014,7,Leeds,Briggate at McDonalds ,,Monday,2014,4,October,41,266,0,266,266,0,266,266,0,266
06/10/2014,7,Leeds,Commercial Street at Lush,,Monday,2014,4,October,41,257,0,257,257,0,257,257,0,257
