Date,Hour,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount
01/09/2014,0,Briggate,,Monday,2014,3,September,36,152,0,152
01/09/2014,0,Briggate at McDonalds ,,Monday,2014,3,September,36,92,0,92
01/09/2014,0,Commercial Street at Lush,,Monday,2014,3,September,36,19,0,19
01/09/2014,0,Commercial Street at Barratts,,Monday,2014,3,September,36,47,0,47
01/09/2014,0,Headrow,,Monday,2014,3,September,36,17,0,17
01/09/2014,0,Dortmund Square ,,Monday,2014,3,September,36,1,0,1
01/09/2014,0,Albion Street South,,Monday,2014,3,September,36,144,0,144
01/09/2014,0,Albion Street North,,Monday,2014,3,September,36,110,0,110
01/09/2014,1,Briggate,,Monday,2014,3,September,36,39,0,39
01/09/2014,1,Briggate at McDonalds ,,Monday,2014,3,September,36,48,0,48
01/09/2014,1,Commercial Street at Lush,,Monday,2014,3,September,36,7,0,7
01/09/2014,1,Commercial Street at Barratts,,Monday,2014,3,September,36,24,0,24
01/09/2014,1,Headrow,,Monday,2014,3,September,36,3,0,3
01/09/2014,1,Dortmund Square ,,Monday,2014,3,September,36,1,0,1
01/09/2014,1,Albion Street South,,Monday,2014,3,September,36,109,0,109
01/09/2014,1,Albion Street North,,Monday,2014,3,September,36,76,0,76
01/09/2014,2,Briggate,,Monday,2014,3,September,36,39,0,39
01/09/2014,2,Briggate at McDonalds ,,Monday,2014,3,September,36,38,0,38
01/09/2014,2,Commercial Street at Lush,,Monday,2014,3,September,36,1,0,1
01/09/2014,2,Commercial Street at Barratts,,Monday,2014,3,September,36,13,0,13
01/09/2014,2,Headrow,,Monday,2014,3,September,36,0,0,0
01/09/2014,2,Dortmund Square ,,Monday,2014,3,September,36,0,0,0
01/09/2014,2,Albion Street South,,Monday,2014,3,September,36,132,0,132
01/09/2014,2,Albion Street North,,Monday,2014,3,September,36,90,0,90
01/09/2014,3,Briggate,,Monday,2014,3,September,36,58,0,58
01/09/2014,3,Briggate at McDonalds ,,Monday,2014,3,September,36,52,0,52
01/09/2014,3,Commercial Street at Lush,,Monday,2014,3,September,36,4,0,4
01/09/2014,3,Commercial Street at Barratts,,Monday,2014,3,September,36,6,0,6
01/09/2014,3,Headrow,,Monday,2014,3,September,36,1,0,1
01/09/2014,3,Dortmund Square ,,Monday,2014,3,September,36,0,0,0
01/09/2014,3,Albion Street South,,Monday,2014,3,September,36,28,0,28
01/09/2014,3,Albion Street North,,Monday,2014,3,September,36,26,0,26
01/09/2014,4,Briggate,,Monday,2014,3,September,36,55,0,55
01/09/2014,4,Briggate at McDonalds ,,Monday,2014,3,September,36,29,0,29
01/09/2014,4,Commercial Street at Lush,,Monday,2014,3,September,36,17,0,17
01/09/2014,4,Commercial Street at Barratts,,Monday,2014,3,September,36,28,0,28
01/09/2014,4,Headrow,,Monday,2014,3,September,36,2,0,2
01/09/2014,4,Dortmund Square ,,Monday,2014,3,September,36,0,0,0
01/09/2014,4,Albion Street South,,Monday,2014,3,September,36,49,0,49
01/09/2014,4,Albion Street North,,Monday,2014,3,September,36,20,0,20
01/09/2014,5,Briggate,,Monday,2014,3,September,36,89,0,89
01/09/2014,5,Briggate at McDonalds ,,Monday,2014,3,September,36,53,0,53
01/09/2014,5,Commercial Street at Lush,,Monday,2014,3,September,36,47,0,47
01/09/2014,5,Commercial Street at Barratts,,Monday,2014,3,September,36,54,0,54
01/09/2014,5,Headrow,,Monday,2014,3,September,36,5,0,5
01/09/2014,5,Dortmund Square ,,Monday,2014,3,September,36,9,0,9
01/09/2014,5,Albion Street South,,Monday,2014,3,September,36,68,0,68
01/09/2014,5,Albion Street North,,Monday,2014,3,September,36,61,0,61
01/09/2014,6,Briggate,,Monday,2014,3,September,36,194,0,194
01/09/2014,6,Briggate at McDonalds ,,Monday,2014,3,September,36,75,0,75
01/09/2014,6,Commercial Street at Lush,,Monday,2014,3,September,36,105,0,105
01/09/2014,6,Commercial Street at Barratts,,Monday,2014,3,September,36,141,0,141
01/09/2014,6,Headrow,,Monday,2014,3,September,36,43,0,43
01/09/2014,6,Dortmund Square ,,Monday,2014,3,September,36,51,0,51
