Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,October,40,Monday,02-Oct-17,,28725,0,28725,28725,0,28725
Leeds,Albion Street North,2017,October,40,Tuesday,03-Oct-17,,28303,0,28303,28303,0,28303
Leeds,Albion Street North,2017,October,40,Wednesday,04-Oct-17,,24663,0,24663,24663,0,24663
Leeds,Albion Street North,2017,October,40,Thursday,05-Oct-17,,33531,0,33531,33531,0,33531
Leeds,Albion Street North,2017,October,40,Friday,06-Oct-17,,38260,0,38260,38260,0,38260
Leeds,Albion Street North,2017,October,40,Saturday,07-Oct-17,,41867,0,41867,41867,0,41867
Leeds,Albion Street North,2017,October,40,Sunday,08-Oct-17,,21400,0,21400,21400,0,21400
Leeds,Albion Street North,2017,October,41,Monday,09-Oct-17,,29357,0,29357,29357,0,29357
Leeds,Albion Street North,2017,October,41,Tuesday,10-Oct-17,,29747,0,29747,29747,0,29747
Leeds,Albion Street North,2017,October,41,Wednesday,11-Oct-17,,28798,0,28798,28798,0,28798
Leeds,Albion Street North,2017,October,41,Thursday,12-Oct-17,,30618,0,30618,30618,0,30618
Leeds,Albion Street North,2017,October,41,Friday,13-Oct-17,,33146,0,33146,33146,0,33146
Leeds,Albion Street North,2017,October,41,Saturday,14-Oct-17,,42291,0,42291,42291,0,42291
Leeds,Albion Street North,2017,October,41,Sunday,15-Oct-17,,22255,0,22255,22255,0,22255
Leeds,Albion Street North,2017,October,42,Monday,16-Oct-17,,29379,0,29379,29379,0,29379
Leeds,Albion Street North,2017,October,42,Tuesday,17-Oct-17,,28835,0,28835,28835,0,28835
Leeds,Albion Street North,2017,October,42,Wednesday,18-Oct-17,,29361,0,29361,29361,0,29361
Leeds,Albion Street North,2017,October,42,Thursday,19-Oct-17,,24690,0,24690,24690,0,24690
Leeds,Albion Street North,2017,October,42,Friday,20-Oct-17,,32811,0,32811,32811,0,32811
Leeds,Albion Street North,2017,October,42,Saturday,21-Oct-17,,31859,0,31859,31859,0,31859
Leeds,Albion Street North,2017,October,42,Sunday,22-Oct-17,,22920,0,22920,22920,0,22920
Leeds,Albion Street North,2017,October,43,Monday,23-Oct-17,,34706,0,34706,34706,0,34706
Leeds,Albion Street North,2017,October,43,Tuesday,24-Oct-17,,33496,0,33496,33496,0,33496
Leeds,Albion Street North,2017,October,43,Wednesday,25-Oct-17,,37418,0,37418,37418,0,37418
Leeds,Albion Street North,2017,October,43,Thursday,26-Oct-17,,36189,0,36189,36189,0,36189
Leeds,Albion Street North,2017,October,43,Friday,27-Oct-17,,44234,0,44234,44234,0,44234
Leeds,Albion Street North,2017,October,43,Saturday,28-Oct-17,,41725,0,41725,41725,0,41725
Leeds,Albion Street North,2017,October,43,Sunday,29-Oct-17,,24598,0,24598,24598,0,24598
Leeds,Albion Street South,2017,October,40,Monday,02-Oct-17,,19390,0,19390,19390,0,19390
Leeds,Albion Street South,2017,October,40,Tuesday,03-Oct-17,,20117,0,20117,20117,0,20117
Leeds,Albion Street South,2017,October,40,Wednesday,04-Oct-17,,19882,0,19882,19882,0,19882
Leeds,Albion Street South,2017,October,40,Thursday,05-Oct-17,,22232,0,22232,22232,0,22232
Leeds,Albion Street South,2017,October,40,Friday,06-Oct-17,,25657,0,25657,25657,0,25657
Leeds,Albion Street South,2017,October,40,Saturday,07-Oct-17,,25671,0,25671,25671,0,25671
Leeds,Albion Street South,2017,October,40,Sunday,08-Oct-17,,13954,0,13954,13954,0,13954
Leeds,Albion Street South,2017,October,41,Monday,09-Oct-17,,21398,0,21398,21398,0,21398
Leeds,Albion Street South,2017,October,41,Tuesday,10-Oct-17,,21910,0,21910,21910,0,21910
Leeds,Albion Street South,2017,October,41,Wednesday,11-Oct-17,,21229,0,21229,21229,0,21229
Leeds,Albion Street South,2017,October,41,Thursday,12-Oct-17,,22941,0,22941,22941,0,22941
Leeds,Albion Street South,2017,October,41,Friday,13-Oct-17,,24025,0,24025,24025,0,24025
Leeds,Albion Street South,2017,October,41,Saturday,14-Oct-17,,25017,0,25017,25017,0,25017
Leeds,Albion Street South,2017,October,41,Sunday,15-Oct-17,,14201,0,14201,14201,0,14201
Leeds,Albion Street South,2017,October,42,Monday,16-Oct-17,,21256,0,21256,21256,0,21256
Leeds,Albion Street South,2017,October,42,Tuesday,17-Oct-17,,20702,0,20702,20702,0,20702
Leeds,Albion Street South,2017,October,42,Wednesday,18-Oct-17,,21810,0,21810,21810,0,21810
Leeds,Albion Street South,2017,October,42,Thursday,19-Oct-17,,18443,0,18443,18443,0,18443
Leeds,Albion Street South,2017,October,42,Friday,20-Oct-17,,24418,0,24418,24418,0,24418
Leeds,Albion Street South,2017,October,42,Saturday,21-Oct-17,,21617,0,21617,21617,0,21617
Leeds,Albion Street South,2017,October,42,Sunday,22-Oct-17,,13673,0,13673,13673,0,13673
Leeds,Albion Street South,2017,October,43,Monday,23-Oct-17,,22480,0,22480,22480,0,22480
Leeds,Albion Street South,2017,October,43,Tuesday,24-Oct-17,,21469,0,21469,21469,0,21469
Leeds,Albion Street South,2017,October,43,Wednesday,25-Oct-17,,22778,0,22778,22778,0,22778
Leeds,Albion Street South,2017,October,43,Thursday,26-Oct-17,,22821,0,22821,22821,0,22821
Leeds,Albion Street South,2017,October,43,Friday,27-Oct-17,,22288,0,22288,22288,0,22288
Leeds,Albion Street South,2017,October,43,Saturday,28-Oct-17,,20129,0,20129,20129,0,20129
Leeds,Albion Street South,2017,October,43,Sunday,29-Oct-17,,12779,0,12779,12779,0,12779
Leeds,Briggate,2017,October,40,Monday,02-Oct-17,,32618,0,32618,32618,0,32618
Leeds,Briggate,2017,October,40,Tuesday,03-Oct-17,,35054,0,35054,35054,0,35054
Leeds,Briggate,2017,October,40,Wednesday,04-Oct-17,,33634,0,33634,33634,0,33634
Leeds,Briggate,2017,October,40,Thursday,05-Oct-17,,48225,0,48225,48225,0,48225
Leeds,Briggate,2017,October,40,Friday,06-Oct-17,,62855,0,62855,62855,0,62855
Leeds,Briggate,2017,October,40,Saturday,07-Oct-17,,64240,0,64240,64240,0,64240
Leeds,Briggate,2017,October,40,Sunday,08-Oct-17,,36653,0,36653,36653,0,36653
Leeds,Briggate,2017,October,41,Monday,09-Oct-17,,32673,0,32673,32673,0,32673
Leeds,Briggate,2017,October,41,Tuesday,10-Oct-17,,33352,0,33352,33352,0,33352
Leeds,Briggate,2017,October,41,Wednesday,11-Oct-17,,31763,0,31763,31763,0,31763
Leeds,Briggate,2017,October,41,Thursday,12-Oct-17,,36676,0,36676,36676,0,36676
Leeds,Briggate,2017,October,41,Friday,13-Oct-17,,44354,0,44354,44354,0,44354
Leeds,Briggate,2017,October,41,Saturday,14-Oct-17,,62346,0,62346,62346,0,62346
Leeds,Briggate,2017,October,41,Sunday,15-Oct-17,,36519,0,36519,36519,0,36519
Leeds,Briggate,2017,October,42,Monday,16-Oct-17,,30670,0,30670,30670,0,30670
Leeds,Briggate,2017,October,42,Tuesday,17-Oct-17,,31704,0,31704,31704,0,31704
Leeds,Briggate,2017,October,42,Wednesday,18-Oct-17,,35525,0,35525,35525,0,35525
Leeds,Briggate,2017,October,42,Thursday,19-Oct-17,,33316,0,33316,33316,0,33316
Leeds,Briggate,2017,October,42,Friday,20-Oct-17,,42491,0,42491,42491,0,42491
Leeds,Briggate,2017,October,42,Saturday,21-Oct-17,,50458,0,50458,50458,0,50458
Leeds,Briggate,2017,October,42,Sunday,22-Oct-17,,35130,0,35130,35130,0,35130
Leeds,Briggate,2017,October,43,Monday,23-Oct-17,,36778,0,36778,36778,0,36778
Leeds,Briggate,2017,October,43,Tuesday,24-Oct-17,,38710,0,38710,38710,0,38710
Leeds,Briggate,2017,October,43,Wednesday,25-Oct-17,,42400,0,42400,42400,0,42400
Leeds,Briggate,2017,October,43,Thursday,26-Oct-17,,42898,0,42898,42898,0,42898
Leeds,Briggate,2017,October,43,Friday,27-Oct-17,,51543,0,51543,51543,0,51543
Leeds,Briggate,2017,October,43,Saturday,28-Oct-17,,59351,0,59351,59351,0,59351
Leeds,Briggate,2017,October,43,Sunday,29-Oct-17,,37514,0,37514,37514,0,37514
Leeds,"Briggate at McDonalds	",2017,October,40,Monday,02-Oct-17,,12877,13020,12877,12877,13020,12877
Leeds,"Briggate at McDonalds	",2017,October,40,Tuesday,03-Oct-17,,13616,13676,13616,13616,13676,13616
Leeds,"Briggate at McDonalds	",2017,October,40,Wednesday,04-Oct-17,,12250,12462,12250,12250,12462,12250
Leeds,"Briggate at McDonalds	",2017,October,40,Thursday,05-Oct-17,,19147,19810,19147,19147,19810,19147
Leeds,"Briggate at McDonalds	",2017,October,40,Friday,06-Oct-17,,23702,25018,23702,23702,25018,23702
Leeds,"Briggate at McDonalds	",2017,October,40,Saturday,07-Oct-17,,20150,22216,20150,20150,22216,20150
Leeds,"Briggate at McDonalds	",2017,October,40,Sunday,08-Oct-17,,11096,12563,11096,11096,12563,11096
Leeds,"Briggate at McDonalds	",2017,October,41,Monday,09-Oct-17,,13362,13246,13362,13362,13246,13362
Leeds,"Briggate at McDonalds	",2017,October,41,Tuesday,10-Oct-17,,13520,13505,13520,13520,13505,13520
Leeds,"Briggate at McDonalds	",2017,October,41,Wednesday,11-Oct-17,,12840,13222,12840,12840,13222,12840
Leeds,"Briggate at McDonalds	",2017,October,41,Thursday,12-Oct-17,,14085,14427,14085,14085,14427,14085
Leeds,"Briggate at McDonalds	",2017,October,41,Friday,13-Oct-17,,16078,17154,16078,16078,17154,16078
Leeds,"Briggate at McDonalds	",2017,October,41,Saturday,14-Oct-17,,21131,23287,21131,21131,23287,21131
Leeds,"Briggate at McDonalds	",2017,October,41,Sunday,15-Oct-17,,11948,14555,11948,11948,14555,11948
Leeds,"Briggate at McDonalds	",2017,October,42,Monday,16-Oct-17,,12586,12910,12586,12586,12910,12586
Leeds,"Briggate at McDonalds	",2017,October,42,Tuesday,17-Oct-17,,12977,13176,12977,12977,13176,12977
Leeds,"Briggate at McDonalds	",2017,October,42,Wednesday,18-Oct-17,,13077,13941,13077,13077,13941,13077
Leeds,"Briggate at McDonalds	",2017,October,42,Thursday,19-Oct-17,,12643,12075,12643,12643,12075,12643
Leeds,"Briggate at McDonalds	",2017,October,42,Friday,20-Oct-17,,15555,16325,15555,15555,16325,15555
Leeds,"Briggate at McDonalds	",2017,October,42,Saturday,21-Oct-17,,16032,17881,16032,16032,17881,16032
Leeds,"Briggate at McDonalds	",2017,October,42,Sunday,22-Oct-17,,10303,11631,10303,10303,11631,10303
Leeds,"Briggate at McDonalds	",2017,October,43,Monday,23-Oct-17,,13300,13788,13300,13300,13788,13300
Leeds,"Briggate at McDonalds	",2017,October,43,Tuesday,24-Oct-17,,13413,14103,13413,13413,14103,13413
Leeds,"Briggate at McDonalds	",2017,October,43,Wednesday,25-Oct-17,,14875,15501,14875,14875,15501,14875
Leeds,"Briggate at McDonalds	",2017,October,43,Thursday,26-Oct-17,,14821,15145,14821,14821,15145,14821
Leeds,"Briggate at McDonalds	",2017,October,43,Friday,27-Oct-17,,18057,19441,18057,18057,19441,18057
Leeds,"Briggate at McDonalds	",2017,October,43,Saturday,28-Oct-17,,19042,20878,19042,19042,20878,19042
Leeds,"Briggate at McDonalds	",2017,October,43,Sunday,29-Oct-17,,11432,13164,11432,11432,13164,11432
Leeds,Commercial Street at Barratts,2017,October,40,Monday,02-Oct-17,,11772,0,11772,11772,0,11772
Leeds,Commercial Street at Barratts,2017,October,40,Tuesday,03-Oct-17,,13615,0,13615,13615,0,13615
Leeds,Commercial Street at Barratts,2017,October,40,Wednesday,04-Oct-17,,14012,0,14012,14012,0,14012
Leeds,Commercial Street at Barratts,2017,October,40,Thursday,05-Oct-17,,18828,0,18828,18828,0,18828
Leeds,Commercial Street at Barratts,2017,October,40,Friday,06-Oct-17,,22481,0,22481,22481,0,22481
Leeds,Commercial Street at Barratts,2017,October,40,Saturday,07-Oct-17,,2634,0,2634,2634,0,2634
Leeds,Commercial Street at Barratts,2017,October,40,Sunday,08-Oct-17,,10380,0,10380,10380,0,10380
Leeds,Commercial Street at Barratts,2017,October,41,Monday,09-Oct-17,,12462,0,12462,12462,0,12462
Leeds,Commercial Street at Barratts,2017,October,41,Tuesday,10-Oct-17,,19005,0,19005,19005,0,19005
Leeds,Commercial Street at Barratts,2017,October,41,Wednesday,11-Oct-17,,17190,0,17190,17190,0,17190
Leeds,Commercial Street at Barratts,2017,October,41,Thursday,12-Oct-17,,19180,0,19180,19180,0,19180
Leeds,Commercial Street at Barratts,2017,October,41,Friday,13-Oct-17,,20428,0,20428,20428,0,20428
Leeds,Commercial Street at Barratts,2017,October,41,Saturday,14-Oct-17,,29701,0,29701,29701,0,29701
Leeds,Commercial Street at Barratts,2017,October,41,Sunday,15-Oct-17,,12418,0,12418,12418,0,12418
Leeds,Commercial Street at Barratts,2017,October,42,Monday,16-Oct-17,,12719,0,12719,12719,0,12719
Leeds,Commercial Street at Barratts,2017,October,42,Tuesday,17-Oct-17,,16152,0,16152,16152,0,16152
Leeds,Commercial Street at Barratts,2017,October,42,Wednesday,18-Oct-17,,15089,0,15089,15089,0,15089
Leeds,Commercial Street at Barratts,2017,October,42,Thursday,19-Oct-17,,15435,0,15435,15435,0,15435
Leeds,Commercial Street at Barratts,2017,October,42,Friday,20-Oct-17,,20186,0,20186,20186,0,20186
Leeds,Commercial Street at Barratts,2017,October,42,Saturday,21-Oct-17,,28121,0,28121,28121,0,28121
Leeds,Commercial Street at Barratts,2017,October,42,Sunday,22-Oct-17,,9244,0,9244,9244,0,9244
Leeds,Commercial Street at Barratts,2017,October,43,Monday,23-Oct-17,,14878,0,14878,14878,0,14878
Leeds,Commercial Street at Barratts,2017,October,43,Tuesday,24-Oct-17,,16992,0,16992,16992,0,16992
Leeds,Commercial Street at Barratts,2017,October,43,Wednesday,25-Oct-17,,18172,0,18172,18172,0,18172
Leeds,Commercial Street at Barratts,2017,October,43,Thursday,26-Oct-17,,18613,0,18613,18613,0,18613
Leeds,Commercial Street at Barratts,2017,October,43,Friday,27-Oct-17,,25612,0,25612,25612,0,25612
Leeds,Commercial Street at Barratts,2017,October,43,Saturday,28-Oct-17,,22151,0,22151,22151,0,22151
Leeds,Commercial Street at Barratts,2017,October,43,Sunday,29-Oct-17,,9759,0,9759,9759,0,9759
Leeds,Commercial Street at Sharps,2017,October,40,Monday,02-Oct-17,,23193,0,23193,23193,0,23193
Leeds,Commercial Street at Sharps,2017,October,40,Tuesday,03-Oct-17,,24858,0,24858,24858,0,24858
Leeds,Commercial Street at Sharps,2017,October,40,Wednesday,04-Oct-17,,23102,0,23102,23102,0,23102
Leeds,Commercial Street at Sharps,2017,October,40,Thursday,05-Oct-17,,27614,0,27614,27614,0,27614
Leeds,Commercial Street at Sharps,2017,October,40,Friday,06-Oct-17,,35754,0,35754,35754,0,35754
Leeds,Commercial Street at Sharps,2017,October,40,Saturday,07-Oct-17,,38045,0,38045,38045,0,38045
Leeds,Commercial Street at Sharps,2017,October,40,Sunday,08-Oct-17,,18280,0,18280,18280,0,18280
Leeds,Commercial Street at Sharps,2017,October,41,Monday,09-Oct-17,,26002,0,26002,26002,0,26002
Leeds,Commercial Street at Sharps,2017,October,41,Tuesday,10-Oct-17,,26734,0,26734,26734,0,26734
Leeds,Commercial Street at Sharps,2017,October,41,Wednesday,11-Oct-17,,24815,0,24815,24815,0,24815
Leeds,Commercial Street at Sharps,2017,October,41,Thursday,12-Oct-17,,28013,0,28013,28013,0,28013
Leeds,Commercial Street at Sharps,2017,October,41,Friday,13-Oct-17,,31158,0,31158,31158,0,31158
Leeds,Commercial Street at Sharps,2017,October,41,Saturday,14-Oct-17,,38255,0,38255,38255,0,38255
