Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,00:00,17,0,17,17,0,17
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,01:00,15,0,15,15,0,15
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,02:00,101,0,101,101,0,101
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,03:00,84,0,84,84,0,84
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,04:00,91,0,91,91,0,91
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,05:00,72,0,72,72,0,72
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,06:00,20,0,20,20,0,20
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,07:00,115,0,115,115,0,115
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,08:00,482,0,482,482,0,482
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,09:00,369,0,369,369,0,369
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,10:00,543,0,543,543,0,543
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,11:00,968,0,968,968,0,968
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,12:00,1674,0,1674,1674,0,1674
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,13:00,1928,0,1928,1928,0,1928
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,14:00,1528,0,1528,1528,0,1528
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,15:00,1201,0,1201,1201,0,1201
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,16:00,841,0,841,841,0,841
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,17:00,831,0,831,831,0,831
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,18:00,518,0,518,518,0,518
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,19:00,355,0,355,355,0,355
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,20:00,170,0,170,170,0,170
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,21:00,152,0,152,152,0,152
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,22:00,119,0,119,119,0,119
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,23:00,78,0,78,78,0,78
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,00:00,221,0,221,221,0,221
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,01:00,234,0,234,234,0,234
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,02:00,330,0,330,330,0,330
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,03:00,322,0,322,322,0,322
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,04:00,317,0,317,317,0,317
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,05:00,205,0,205,205,0,205
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,06:00,56,0,56,56,0,56
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,07:00,68,0,68,68,0,68
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,08:00,479,0,479,479,0,479
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,09:00,584,0,584,584,0,584
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,10:00,899,0,899,899,0,899
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,11:00,1330,0,1330,1330,0,1330
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,12:00,2412,0,2412,2412,0,2412
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,13:00,3081,0,3081,3081,0,3081
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,14:00,2368,0,2368,2368,0,2368
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,15:00,1812,0,1812,1812,0,1812
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,16:00,1259,0,1259,1259,0,1259
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,17:00,1432,0,1432,1432,0,1432
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,18:00,1130,0,1130,1130,0,1130
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,19:00,825,0,825,825,0,825
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,20:00,578,0,578,578,0,578
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,21:00,491,0,491,491,0,491
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,22:00,522,0,522,522,0,522
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,23:00,498,0,498,498,0,498
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,00:00,1,0,1,1,0,1
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,01:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,02:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,03:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,04:00,0,0,0,0,0,0
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,05:00,6,0,6,6,0,6
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,06:00,5,0,5,5,0,5
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,07:00,91,0,91,91,0,91
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,08:00,564,0,564,564,0,564
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,09:00,650,0,650,650,0,650
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,10:00,1048,0,1048,1048,0,1048
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,11:00,1673,0,1673,1673,0,1673
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,12:00,2471,0,2471,2471,0,2471
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,13:00,2739,0,2739,2739,0,2739
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,14:00,2203,0,2203,2203,0,2203
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,15:00,1655,0,1655,1655,0,1655
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,16:00,1173,0,1173,1173,0,1173
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,17:00,997,0,997,997,0,997
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,18:00,752,0,752,752,0,752
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,19:00,620,0,620,620,0,620
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,20:00,349,0,349,349,0,349
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,21:00,250,0,250,250,0,250
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,22:00,357,0,357,357,0,357
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,23:00,166,0,166,166,0,166
Leeds,Albion Street North,2017,February,5,Saturday,04-Feb-17,00:00,199,0,199,199,0,199
Leeds,Albion Street North,2017,February,5,Saturday,04-Feb-17,01:00,195,0,195,195,0,195
Leeds,Albion Street North,2017,February,5,Saturday,04-Feb-17,02:00,278,0,278,278,0,278
