Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2018,January,1,Monday,01-Jan-18,,7803,0,7803,7803,0,7803
Leeds,Albion Street North,2018,January,1,Tuesday,02-Jan-18,,19854,0,19854,19854,0,19854
Leeds,Albion Street North,2018,January,1,Wednesday,03-Jan-18,,17297,0,17297,17297,0,17297
Leeds,Albion Street North,2018,January,1,Thursday,04-Jan-18,,19096,0,19096,19096,0,19096
Leeds,Albion Street North,2018,January,1,Friday,05-Jan-18,,21907,0,21907,21907,0,21907
Leeds,Albion Street North,2018,January,1,Saturday,06-Jan-18,,25413,0,25413,25413,0,25413
Leeds,Albion Street North,2018,January,1,Sunday,07-Jan-18,,14852,0,14852,14852,0,14852
Leeds,Albion Street North,2018,January,2,Monday,08-Jan-18,,21208,0,21208,21208,0,21208
Leeds,Albion Street North,2018,January,2,Tuesday,09-Jan-18,,18459,0,18459,18459,0,18459
Leeds,Albion Street North,2018,January,2,Wednesday,10-Jan-18,,18012,0,18012,18012,0,18012
Leeds,Albion Street North,2018,January,2,Thursday,11-Jan-18,,21439,0,21439,21439,0,21439
Leeds,Albion Street North,2018,January,2,Friday,12-Jan-18,,21873,0,21873,21873,0,21873
Leeds,Albion Street North,2018,January,2,Saturday,13-Jan-18,,25418,0,25418,25418,0,25418
Leeds,Albion Street North,2018,January,2,Sunday,14-Jan-18,,14620,0,14620,14620,0,14620
Leeds,Albion Street North,2018,January,3,Monday,15-Jan-18,,19743,0,19743,19743,0,19743
Leeds,Albion Street North,2018,January,3,Tuesday,16-Jan-18,,16705,0,16705,16705,0,16705
Leeds,Albion Street North,2018,January,3,Wednesday,17-Jan-18,,19583,0,19583,19583,0,19583
Leeds,Albion Street North,2018,January,3,Thursday,18-Jan-18,,22868,0,22868,22868,0,22868
Leeds,Albion Street North,2018,January,3,Friday,19-Jan-18,,22666,0,22666,22666,0,22666
Leeds,Albion Street North,2018,January,3,Saturday,20-Jan-18,,26916,0,26916,26916,0,26916
Leeds,Albion Street North,2018,January,3,Sunday,21-Jan-18,,12131,0,12131,12131,0,12131
Leeds,Albion Street North,2018,January,4,Monday,22-Jan-18,,22928,0,22928,22928,0,22928
Leeds,Albion Street North,2018,January,4,Tuesday,23-Jan-18,,23657,0,23657,23657,0,23657
Leeds,Albion Street North,2018,January,4,Wednesday,24-Jan-18,,20358,0,20358,20358,0,20358
Leeds,Albion Street North,2018,January,4,Thursday,25-Jan-18,,22472,0,22472,22472,0,22472
Leeds,Albion Street North,2018,January,4,Friday,26-Jan-18,,29782,0,29782,29782,0,29782
Leeds,Albion Street North,2018,January,4,Saturday,27-Jan-18,,32119,0,32119,32119,0,32119
Leeds,Albion Street North,2018,January,4,Sunday,28-Jan-18,,17329,0,17329,17329,0,17329
Leeds,Albion Street North,2018,February,5,Monday,29-Jan-18,,25208,0,25208,25208,0,25208
Leeds,Albion Street North,2018,February,5,Tuesday,30-Jan-18,,25784,0,25784,25784,0,25784
Leeds,Albion Street North,2018,February,5,Wednesday,31-Jan-18,,23231,0,23231,23231,0,23231
Leeds,Albion Street South,2018,January,1,Monday,01-Jan-18,,4701,0,4701,4701,0,4701
Leeds,Albion Street South,2018,January,1,Tuesday,02-Jan-18,,15629,0,15629,15629,0,15629
Leeds,Albion Street South,2018,January,1,Wednesday,03-Jan-18,,14423,0,14423,14423,0,14423
Leeds,Albion Street South,2018,January,1,Thursday,04-Jan-18,,16135,0,16135,16135,0,16135
Leeds,Albion Street South,2018,January,1,Friday,05-Jan-18,,17298,0,17298,17298,0,17298
Leeds,Albion Street South,2018,January,1,Saturday,06-Jan-18,,16878,0,16878,16878,0,16878
Leeds,Albion Street South,2018,January,1,Sunday,07-Jan-18,,9353,0,9353,9353,0,9353
Leeds,Albion Street South,2018,January,2,Monday,08-Jan-18,,14491,0,14491,14491,0,14491
Leeds,Albion Street South,2018,January,2,Tuesday,09-Jan-18,,14097,0,14097,14097,0,14097
Leeds,Albion Street South,2018,January,2,Wednesday,10-Jan-18,,15122,0,15122,15122,0,15122
