Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,01:00,131,0,131,131,0,131
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,02:00,52,0,52,52,0,52
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,03:00,45,0,45,45,0,45
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,04:00,55,0,55,55,0,55
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,05:00,54,0,54,54,0,54
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,06:00,108,0,108,108,0,108
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,07:00,211,0,211,211,0,211
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,08:00,517,0,517,517,0,517
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,09:00,1184,0,1184,1184,0,1184
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,10:00,1962,0,1962,1962,0,1962
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,11:00,2858,0,2858,2858,0,2858
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,12:00,3681,0,3681,3681,0,3681
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,13:00,4163,0,4163,4163,0,4163
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,14:00,4937,0,4937,4937,0,4937
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,15:00,4853,0,4853,4853,0,4853
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,16:00,5123,0,5123,5123,0,5123
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,17:00,3837,0,3837,3837,0,3837
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,18:00,2575,0,2575,2575,0,2575
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,19:00,1625,0,1625,1625,0,1625
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,20:00,924,0,924,924,0,924
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,21:00,794,0,794,794,0,794
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,22:00,722,0,722,722,0,722
Leeds,Albion Street North,2017,June,26,Saturday,01-Jul-17,23:00,314,0,314,314,0,314
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,00:00,269,0,269,269,0,269
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,01:00,142,0,142,142,0,142
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,02:00,95,0,95,95,0,95
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,03:00,61,0,61,61,0,61
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,04:00,65,0,65,65,0,65
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,05:00,33,0,33,33,0,33
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,06:00,42,0,42,42,0,42
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,07:00,132,0,132,132,0,132
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,08:00,186,0,186,186,0,186
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,09:00,383,0,383,383,0,383
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,10:00,1124,0,1124,1124,0,1124
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,11:00,1926,0,1926,1926,0,1926
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,12:00,2804,0,2804,2804,0,2804
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,13:00,3583,0,3583,3583,0,3583
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,14:00,3900,0,3900,3900,0,3900
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,15:00,3971,0,3971,3971,0,3971
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,16:00,3908,0,3908,3908,0,3908
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,17:00,1813,0,1813,1813,0,1813
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,18:00,913,0,913,913,0,913
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,19:00,509,0,509,509,0,509
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,20:00,364,0,364,364,0,364
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,21:00,229,0,229,229,0,229
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,22:00,107,0,107,107,0,107
Leeds,Albion Street North,2017,June,26,Sunday,02-Jul-17,23:00,68,0,68,68,0,68
Leeds,Albion Street North,2017,July,27,Monday,03-Jul-17,00:00,16,0,16,16,0,16
Leeds,Albion Street North,2017,July,27,Monday,03-Jul-17,01:00,16,0,16,16,0,16
Leeds,Albion Street North,2017,July,27,Monday,03-Jul-17,02:00,2,0,2,2,0,2
Leeds,Albion Street North,2017,July,27,Monday,03-Jul-17,03:00,3,0,3,3,0,3
Leeds,Albion Street North,2017,July,27,Monday,03-Jul-17,04:00,12,0,12,12,0,12
Leeds,Albion Street North,2017,July,27,Monday,03-Jul-17,05:00,42,0,42,42,0,42
Leeds,Albion Street North,2017,July,27,Monday,03-Jul-17,06:00,175,0,175,175,0,175
