Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,November,44,Wednesday,01-Nov-17,,31412,0,31412,31412,0,31412
Leeds,Albion Street North,2017,November,44,Thursday,02-Nov-17,,32934,0,32934,32934,0,32934
Leeds,Albion Street North,2017,November,44,Friday,03-Nov-17,,34849,0,34849,34849,0,34849
Leeds,Albion Street North,2017,November,44,Saturday,04-Nov-17,,35604,0,35604,35604,0,35604
Leeds,Albion Street North,2017,November,44,Sunday,05-Nov-17,,23735,0,23735,23735,0,23735
Leeds,Albion Street North,2017,November,45,Monday,06-Nov-17,,28875,0,28875,28875,0,28875
Leeds,Albion Street North,2017,November,45,Tuesday,07-Nov-17,,26502,0,26502,26502,0,26502
Leeds,Albion Street North,2017,November,45,Wednesday,08-Nov-17,,29897,0,29897,29897,0,29897
Leeds,Albion Street North,2017,November,45,Thursday,09-Nov-17,,31649,0,31649,31649,0,31649
Leeds,Albion Street North,2017,November,45,Friday,10-Nov-17,,30679,0,30679,30679,0,30679
Leeds,Albion Street North,2017,November,45,Saturday,11-Nov-17,,39775,0,39775,39775,0,39775
Leeds,Albion Street North,2017,November,45,Sunday,12-Nov-17,,23094,0,23094,23094,0,23094
Leeds,Albion Street North,2017,November,46,Monday,13-Nov-17,,29191,0,29191,29191,0,29191
Leeds,Albion Street North,2017,November,46,Tuesday,14-Nov-17,,28529,0,28529,28529,0,28529
Leeds,Albion Street North,2017,November,46,Wednesday,15-Nov-17,,30628,0,30628,30628,0,30628
Leeds,Albion Street North,2017,November,46,Thursday,16-Nov-17,,30250,0,30250,30250,0,30250
Leeds,Albion Street North,2017,November,46,Friday,17-Nov-17,,34508,0,34508,34508,0,34508
Leeds,Albion Street North,2017,November,46,Saturday,18-Nov-17,,38929,0,38929,38929,0,38929
Leeds,Albion Street North,2017,November,46,Sunday,19-Nov-17,,25158,0,25158,25158,0,25158
Leeds,Albion Street North,2017,November,47,Monday,20-Nov-17,,27042,0,27042,27042,0,27042
Leeds,Albion Street North,2017,November,47,Tuesday,21-Nov-17,,27485,0,27485,27485,0,27485
Leeds,Albion Street North,2017,November,47,Wednesday,22-Nov-17,,29687,0,29687,29687,0,29687
Leeds,Albion Street North,2017,November,47,Thursday,23-Nov-17,,29980,0,29980,29980,0,29980
Leeds,Albion Street North,2017,November,47,Friday,24-Nov-17,,38479,0,38479,38479,0,38479
Leeds,Albion Street North,2017,November,47,Saturday,25-Nov-17,,41352,0,41352,41352,0,41352
Leeds,Albion Street North,2017,November,47,Sunday,26-Nov-17,,22643,0,22643,22643,0,22643
Leeds,Albion Street North,2017,December,48,Monday,27-Nov-17,,23617,0,23617,23617,0,23617
Leeds,Albion Street North,2017,December,48,Tuesday,28-Nov-17,,24764,0,24764,24764,0,24764
Leeds,Albion Street North,2017,December,48,Wednesday,29-Nov-17,,26794,0,26794,26794,0,26794
Leeds,Albion Street North,2017,December,48,Thursday,30-Nov-17,,25224,0,25224,25224,0,25224
Leeds,Albion Street South,2017,November,44,Wednesday,01-Nov-17,,20376,0,20376,20376,0,20376
Leeds,Albion Street South,2017,November,44,Thursday,02-Nov-17,,20854,0,20854,20854,0,20854
Leeds,Albion Street South,2017,November,44,Friday,03-Nov-17,,22411,0,22411,22411,0,22411
Leeds,Albion Street South,2017,November,44,Saturday,04-Nov-17,,23788,0,23788,23788,0,23788
Leeds,Albion Street South,2017,November,44,Sunday,05-Nov-17,,14286,0,14286,14286,0,14286
Leeds,Albion Street South,2017,November,45,Monday,06-Nov-17,,19264,0,19264,19264,0,19264
Leeds,Albion Street South,2017,November,45,Tuesday,07-Nov-17,,19135,0,19135,19135,0,19135
Leeds,Albion Street South,2017,November,45,Wednesday,08-Nov-17,,19703,0,19703,19703,0,19703
Leeds,Albion Street South,2017,November,45,Thursday,09-Nov-17,,21683,0,21683,21683,0,21683
Leeds,Albion Street South,2017,November,45,Friday,10-Nov-17,,21369,0,21369,21369,0,21369
Leeds,Albion Street South,2017,November,45,Saturday,11-Nov-17,,23926,0,23926,23926,0,23926
Leeds,Albion Street South,2017,November,45,Sunday,12-Nov-17,,13073,0,13073,13073,0,13073
Leeds,Albion Street South,2017,November,46,Monday,13-Nov-17,,17989,0,17989,17989,0,17989
Leeds,Albion Street South,2017,November,46,Tuesday,14-Nov-17,,19035,0,19035,19035,0,19035
Leeds,Albion Street South,2017,November,46,Wednesday,15-Nov-17,,19355,0,19355,19355,0,19355
Leeds,Albion Street South,2017,November,46,Thursday,16-Nov-17,,20442,0,20442,20442,0,20442
Leeds,Albion Street South,2017,November,46,Friday,17-Nov-17,,22515,0,22515,22515,0,22515
Leeds,Albion Street South,2017,November,46,Saturday,18-Nov-17,,23473,0,23473,23473,0,23473
Leeds,Albion Street South,2017,November,46,Sunday,19-Nov-17,,14923,0,14923,14923,0,14923
Leeds,Albion Street South,2017,November,47,Monday,20-Nov-17,,17831,0,17831,17831,0,17831
Leeds,Albion Street South,2017,November,47,Tuesday,21-Nov-17,,19188,0,19188,19188,0,19188
Leeds,Albion Street South,2017,November,47,Wednesday,22-Nov-17,,19484,0,19484,19484,0,19484
Leeds,Albion Street South,2017,November,47,Thursday,23-Nov-17,,20965,0,20965,20965,0,20965
Leeds,Albion Street South,2017,November,47,Friday,24-Nov-17,,24645,0,24645,24645,0,24645
Leeds,Albion Street South,2017,November,47,Saturday,25-Nov-17,,23805,0,23805,23805,0,23805
Leeds,Albion Street South,2017,November,47,Sunday,26-Nov-17,,14835,0,14835,14835,0,14835
Leeds,Albion Street South,2017,December,48,Monday,27-Nov-17,,18455,0,18455,18455,0,18455
Leeds,Albion Street South,2017,December,48,Tuesday,28-Nov-17,,18825,0,18825,18825,0,18825
