Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,September,35,Friday,01-Sep-17,,28242,0,28242,28242,0,28242
Leeds,Albion Street South,2017,September,35,Friday,01-Sep-17,,21537,0,21537,21537,0,21537
Leeds,Briggate,2017,September,35,Friday,01-Sep-17,,42818,0,42818,42818,0,42818
Leeds,"Briggate at McDonalds	",2017,September,35,Friday,01-Sep-17,,14656,14046,14656,14656,14046,14656
Leeds,Commercial Street at Barratts,2017,September,35,Friday,01-Sep-17,,17659,0,17659,17659,0,17659
Leeds,Commercial Street at Sharps,2017,September,35,Friday,01-Sep-17,,27363,0,27363,27363,0,27363
Leeds,"Dortmund Square	",2017,September,35,Friday,01-Sep-17,,22481,0,22481,22481,0,22481
Leeds,Headrow,2017,September,35,Friday,01-Sep-17,,19529,0,19529,19529,0,19529
Leeds,Albion Street North,2017,September,35,Saturday,02-Sep-17,,31465,0,31465,31465,0,31465
Leeds,Albion Street South,2017,September,35,Saturday,02-Sep-17,,22742,0,22742,22742,0,22742
Leeds,Briggate,2017,September,35,Saturday,02-Sep-17,,54024,0,54024,54024,0,54024
Leeds,"Briggate at McDonalds	",2017,September,35,Saturday,02-Sep-17,,17619,19438,17619,17619,19438,17619
Leeds,Commercial Street at Barratts,2017,September,35,Saturday,02-Sep-17,,23524,0,23524,23524,0,23524
Leeds,Commercial Street at Sharps,2017,September,35,Saturday,02-Sep-17,,30984,0,30984,30984,0,30984
Leeds,"Dortmund Square	",2017,September,35,Saturday,02-Sep-17,,24415,0,24415,24415,0,24415
Leeds,Headrow,2017,September,35,Saturday,02-Sep-17,,21653,0,21653,21653,0,21653
Leeds,Albion Street North,2017,September,35,Sunday,03-Sep-17,,16951,0,16951,16951,0,16951
Leeds,Albion Street South,2017,September,35,Sunday,03-Sep-17,,12262,0,12262,12262,0,12262
Leeds,Briggate,2017,September,35,Sunday,03-Sep-17,,32258,0,32258,32258,0,32258
Leeds,"Briggate at McDonalds	",2017,September,35,Sunday,03-Sep-17,,10157,11159,10157,10157,11159,10157
Leeds,Commercial Street at Barratts,2017,September,35,Sunday,03-Sep-17,,13664,0,13664,13664,0,13664
Leeds,Commercial Street at Sharps,2017,September,35,Sunday,03-Sep-17,,16670,0,16670,16670,0,16670
Leeds,"Dortmund Square	",2017,September,35,Sunday,03-Sep-17,,11987,0,11987,11987,0,11987
Leeds,Headrow,2017,September,35,Sunday,03-Sep-17,,10746,0,10746,10746,0,10746
Leeds,Albion Street North,2017,September,36,Monday,04-Sep-17,,26978,0,26978,26978,0,26978
Leeds,Albion Street South,2017,September,36,Monday,04-Sep-17,,20532,0,20532,20532,0,20532
Leeds,Briggate,2017,September,36,Monday,04-Sep-17,,36264,0,36264,36264,0,36264
Leeds,"Briggate at McDonalds	",2017,September,36,Monday,04-Sep-17,,12779,12838,12779,12779,12838,12779
Leeds,Commercial Street at Barratts,2017,September,36,Monday,04-Sep-17,,18684,0,18684,18684,0,18684
Leeds,Commercial Street at Sharps,2017,September,36,Monday,04-Sep-17,,27136,0,27136,27136,0,27136
Leeds,"Dortmund Square	",2017,September,36,Monday,04-Sep-17,,21485,0,21485,21485,0,21485
Leeds,Headrow,2017,September,36,Monday,04-Sep-17,,18233,0,18233,18233,0,18233
Leeds,Albion Street North,2017,September,36,Tuesday,05-Sep-17,,26177,0,26177,26177,0,26177
Leeds,Albion Street South,2017,September,36,Tuesday,05-Sep-17,,20087,0,20087,20087,0,20087
Leeds,Briggate,2017,September,36,Tuesday,05-Sep-17,,34696,0,34696,34696,0,34696
Leeds,"Briggate at McDonalds	",2017,September,36,Tuesday,05-Sep-17,,11959,11719,11959,11959,11719,11959
Leeds,Commercial Street at Barratts,2017,September,36,Tuesday,05-Sep-17,,21092,0,21092,21092,0,21092
Leeds,Commercial Street at Sharps,2017,September,36,Tuesday,05-Sep-17,,24795,0,24795,24795,0,24795
Leeds,"Dortmund Square	",2017,September,36,Tuesday,05-Sep-17,,19806,0,19806,19806,0,19806
Leeds,Headrow,2017,September,36,Tuesday,05-Sep-17,,16683,0,16683,16683,0,16683
Leeds,Albion Street North,2017,September,36,Wednesday,06-Sep-17,,27242,0,27242,27242,0,27242
Leeds,Albion Street South,2017,September,36,Wednesday,06-Sep-17,,20458,0,20458,20458,0,20458
Leeds,Briggate,2017,September,36,Wednesday,06-Sep-17,,37423,0,37423,37423,0,37423
Leeds,"Briggate at McDonalds	",2017,September,36,Wednesday,06-Sep-17,,12502,12452,12502,12502,12452,12502
Leeds,Commercial Street at Barratts,2017,September,36,Wednesday,06-Sep-17,,21643,0,21643,21643,0,21643
Leeds,Commercial Street at Sharps,2017,September,36,Wednesday,06-Sep-17,,25946,0,25946,25946,0,25946
Leeds,"Dortmund Square	",2017,September,36,Wednesday,06-Sep-17,,20247,0,20247,20247,0,20247
Leeds,Headrow,2017,September,36,Wednesday,06-Sep-17,,16383,0,16383,16383,0,16383
Leeds,Albion Street North,2017,September,36,Thursday,07-Sep-17,,28114,0,28114,28114,0,28114
Leeds,Albion Street South,2017,September,36,Thursday,07-Sep-17,,20211,0,20211,20211,0,20211
