Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour_orig,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,00:00,0,15,0,15,15,0,15
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,01:00,1,12,0,12,12,0,12
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,02:00,2,94,0,94,94,0,94
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,03:00,3,78,0,78,78,0,78
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,04:00,4,85,0,85,85,0,85
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,05:00,5,66,0,66,66,0,66
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,06:00,6,17,0,17,17,0,17
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,07:00,7,107,0,107,107,0,107
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,08:00,8,455,0,455,455,0,455
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,09:00,9,348,0,348,348,0,348
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,10:00,10,514,0,514,514,0,514
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,11:00,11,918,0,918,918,0,918
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,12:00,12,1588,0,1588,1588,0,1588
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,13:00,13,1829,0,1829,1829,0,1829
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,14:00,14,1451,0,1451,1451,0,1451
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,15:00,15,1140,0,1140,1140,0,1140
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,16:00,16,798,0,798,798,0,798
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,17:00,17,789,0,789,789,0,789
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,18:00,18,492,0,492,492,0,492
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,19:00,19,337,0,337,337,0,337
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,20:00,20,162,0,162,162,0,162
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,21:00,21,144,0,144,144,0,144
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,22:00,22,113,0,113,113,0,113
Leeds,Albion Street North,2017,March,9,Wednesday,01/03/2017,23:00,23,74,0,74,74,0,74
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,00:00,0,183,0,183,183,0,183
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,01:00,1,194,0,194,194,0,194
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,02:00,2,274,0,274,274,0,274
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,03:00,3,267,0,267,267,0,267
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,04:00,4,263,0,263,263,0,263
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,05:00,5,169,0,169,169,0,169
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,06:00,6,45,0,45,45,0,45
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,07:00,7,56,0,56,56,0,56
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,08:00,8,398,0,398,398,0,398
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,09:00,9,486,0,486,486,0,486
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,10:00,10,749,0,749,749,0,749
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,11:00,11,1108,0,1108,1108,0,1108
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,12:00,12,2013,0,2013,2013,0,2013
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,13:00,13,2571,0,2571,2571,0,2571
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,14:00,14,1976,0,1976,1976,0,1976
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,15:00,15,1513,0,1513,1513,0,1513
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,16:00,16,1050,0,1050,1050,0,1050
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,17:00,17,1195,0,1195,1195,0,1195
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,18:00,18,944,0,944,944,0,944
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,19:00,19,688,0,688,688,0,688
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,20:00,20,483,0,483,483,0,483
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,21:00,21,410,0,410,410,0,410
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,22:00,22,435,0,435,435,0,435
Leeds,Albion Street North,2017,March,9,Thursday,02/03/2017,23:00,23,414,0,414,414,0,414
Leeds,Albion Street North,2017,March,9,Friday,03/03/2017,00:00,0,0,0,0,0,0,0
Leeds,Albion Street North,2017,March,9,Friday,03/03/2017,01:00,1,0,0,0,0,0,0
Leeds,Albion Street North,2017,March,9,Friday,03/03/2017,02:00,2,0,0,0,0,0,0
