Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,0,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,1,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,2,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,3,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,4,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,5,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,6,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,7,97,0,97,97,0,97
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,8,516,0,516,516,0,516
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,9,555,0,555,555,0,555
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,10,1031,0,1031,1031,0,1031
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,11,1766,0,1766,1766,0,1766
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,12,2418,0,2418,2418,0,2418
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,13,2243,0,2243,2243,0,2243
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,14,1502,0,1502,1502,0,1502
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,15,1622,0,1622,1622,0,1622
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,16,1075,0,1075,1075,0,1075
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,17,1012,0,1012,1012,0,1012
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,18,616,0,616,616,0,616
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,19,361,0,361,361,0,361
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,20,170,0,170,170,0,170
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,21,100,0,100,100,0,100
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,22,77,0,77,77,0,77
Leeds,Albion Street North,2017,May,18,Monday,2017-05-01,23,38,0,38,38,0,38
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,0,9,0,9,9,0,9
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,1,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,2,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,3,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,4,4,0,4,4,0,4
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,5,23,0,23,23,0,23
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,6,57,0,57,57,0,57
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,7,205,0,205,205,0,205
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,8,851,0,851,851,0,851
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,9,1102,0,1102,1102,0,1102
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,10,1607,0,1607,1607,0,1607
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,11,1811,0,1811,1811,0,1811
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,12,1711,0,1711,1711,0,1711
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,13,1282,0,1282,1282,0,1282
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,14,877,0,877,877,0,877
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,15,919,0,919,919,0,919
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,16,872,0,872,872,0,872
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,17,866,0,866,866,0,866
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,18,499,0,499,499,0,499
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,19,227,0,227,227,0,227
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,20,103,0,103,103,0,103
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,21,56,0,56,56,0,56
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,22,82,0,82,82,0,82
Leeds,Albion Street North,2017,May,18,Tuesday,2017-05-02,23,91,0,91,91,0,91
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,0,16,0,16,16,0,16
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,1,12,0,12,12,0,12
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,2,109,0,109,109,0,109
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,3,91,0,91,91,0,91
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,4,99,0,99,99,0,99
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,5,77,0,77,77,0,77
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,6,17,0,17,17,0,17
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,7,126,0,126,126,0,126
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,8,546,0,546,546,0,546
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,9,416,0,416,416,0,416
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,10,618,0,618,618,0,618
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,11,1104,0,1104,1104,0,1104
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,12,1920,0,1920,1920,0,1920
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,13,2211,0,2211,2211,0,2211
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,14,1753,0,1753,1753,0,1753
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,15,1378,0,1378,1378,0,1378
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,16,966,0,966,966,0,966
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,17,954,0,954,954,0,954
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,18,595,0,595,595,0,595
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,19,407,0,407,407,0,407
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,20,197,0,197,197,0,197
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,21,172,0,172,172,0,172
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,22,135,0,135,135,0,135
Leeds,Albion Street North,2017,May,18,Wednesday,2017-05-03,23,86,0,86,86,0,86
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,0,170,0,170,170,0,170
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,1,179,0,179,179,0,179
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,2,254,0,254,254,0,254
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,3,247,0,247,247,0,247
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,4,244,0,244,244,0,244
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,5,155,0,155,155,0,155
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,6,40,0,40,40,0,40
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,7,50,0,50,50,0,50
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,8,370,0,370,370,0,370
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,9,453,0,453,453,0,453
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,10,698,0,698,698,0,698
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,11,1035,0,1035,1035,0,1035
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,12,1890,0,1890,1890,0,1890
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,13,2412,0,2412,2412,0,2412
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,14,1854,0,1854,1854,0,1854
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,15,1420,0,1420,1420,0,1420
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,16,987,0,987,987,0,987
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,17,1121,0,1121,1121,0,1121
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,18,886,0,886,886,0,886
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,19,646,0,646,646,0,646
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,20,454,0,454,454,0,454
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,21,385,0,385,385,0,385
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,22,407,0,407,407,0,407
Leeds,Albion Street North,2017,May,18,Thursday,2017-05-04,23,387,0,387,387,0,387
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,0,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,1,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,2,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,3,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,4,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,5,2,0,2,2,0,2
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,6,0,0,0,0,0,0
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,7,89,0,89,89,0,89
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,8,579,0,579,579,0,579
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,9,667,0,667,667,0,667
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,10,1080,0,1080,1080,0,1080
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,11,1725,0,1725,1725,0,1725
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,12,2559,0,2559,2559,0,2559
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,13,2837,0,2837,2837,0,2837
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,14,2279,0,2279,2279,0,2279
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,15,1714,0,1714,1714,0,1714
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,16,1216,0,1216,1216,0,1216
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,17,1032,0,1032,1032,0,1032
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,18,778,0,778,778,0,778
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,19,643,0,643,643,0,643
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,20,359,0,359,359,0,359
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,21,257,0,257,257,0,257
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,22,367,0,367,367,0,367
Leeds,Albion Street North,2017,May,18,Friday,2017-05-05,23,168,0,168,168,0,168
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,0,195,0,195,195,0,195
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,1,192,0,192,192,0,192
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,2,276,0,276,276,0,276
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,3,230,0,230,230,0,230
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,4,210,0,210,210,0,210
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,5,90,0,90,90,0,90
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,6,80,0,80,80,0,80
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,7,45,0,45,45,0,45
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,8,132,0,132,132,0,132
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,9,598,0,598,598,0,598
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,10,1212,0,1212,1212,0,1212
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,11,1876,0,1876,1876,0,1876
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,12,2545,0,2545,2545,0,2545
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,13,2636,0,2636,2636,0,2636
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,14,2790,0,2790,2790,0,2790
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,15,2257,0,2257,2257,0,2257
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,16,1715,0,1715,1715,0,1715
Leeds,Albion Street North,2017,May,18,Saturday,2017-05-06,17,1190,0,1190,1190,0,1190
