Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour3,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,,Hour
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,00:00,197,0,197,197,0,197,,0
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,01:00,195,0,195,195,0,195,,1
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,02:00,279,0,279,279,0,279,,2
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,03:00,232,0,232,232,0,232,,3
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,04:00,213,0,213,213,0,213,,4
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,05:00,92,0,92,92,0,92,,5
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,06:00,82,0,82,82,0,82,,6
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,07:00,46,0,46,46,0,46,,7
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,08:00,135,0,135,135,0,135,,8
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,09:00,602,0,602,602,0,602,,9
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,10:00,1219,0,1219,1219,0,1219,,10
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,11:00,1887,0,1887,1887,0,1887,,11
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,12:00,2556,0,2556,2556,0,2556,,12
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,13:00,2649,0,2649,2649,0,2649,,13
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,14:00,2803,0,2803,2803,0,2803,,14
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,15:00,2267,0,2267,2267,0,2267,,15
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,16:00,1723,0,1723,1723,0,1723,,16
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,17:00,1195,0,1195,1195,0,1195,,17
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,18:00,740,0,740,740,0,740,,18
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,19:00,478,0,478,478,0,478,,19
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,20:00,414,0,414,414,0,414,,20
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,21:00,310,0,310,310,0,310,,21
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,22:00,372,0,372,372,0,372,,22
Leeds,Albion Street North,2017,March,13,Saturday,2017-04-01,23:00,433,0,433,433,0,433,,23
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,00:00,30,0,30,30,0,30,,0
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,01:00,242,0,242,242,0,242,,1
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,02:00,192,0,192,192,0,192,,2
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,03:00,189,0,189,189,0,189,,3
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,04:00,140,0,140,140,0,140,,4
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,05:00,78,0,78,78,0,78,,5
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,06:00,59,0,59,59,0,59,,6
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,07:00,0,0,0,0,0,0,,7
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,08:00,38,0,38,38,0,38,,8
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,09:00,167,0,167,167,0,167,,9
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,10:00,425,0,425,425,0,425,,10
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,11:00,1332,0,1332,1332,0,1332,,11
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,12:00,1190,0,1190,1190,0,1190,,12
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,13:00,1372,0,1372,1372,0,1372,,13
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,14:00,1436,0,1436,1436,0,1436,,14
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,15:00,1157,0,1157,1157,0,1157,,15
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,16:00,788,0,788,788,0,788,,16
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,17:00,397,0,397,397,0,397,,17
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,18:00,349,0,349,349,0,349,,18
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,19:00,277,0,277,277,0,277,,19
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,20:00,257,0,257,257,0,257,,20
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,21:00,146,0,146,146,0,146,,21
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,22:00,177,0,177,177,0,177,,22
Leeds,Albion Street North,2017,March,13,Sunday,2017-04-02,23:00,87,0,87,87,0,87,,23
Leeds,Albion Street North,2017,April,14,Monday,2017-04-03,00:00,0,0,0,0,0,0,,0
Leeds,Albion Street North,2017,April,14,Monday,2017-04-03,01:00,0,0,0,0,0,0,,1
Leeds,Albion Street North,2017,April,14,Monday,2017-04-03,02:00,0,0,0,0,0,0,,2
