Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount
,,,,,,,,,,,,,
Leeds,Albion Street North,2016,December,52,Sunday,01-Jan-17,,3501,0,3501,3501,0,3501
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,1,Monday,02-Jan-17,,20622,0,20622,20622,0,20622
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,1,Tuesday,03-Jan-17,,22169,0,22169,22169,0,22169
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,1,Wednesday,04-Jan-17,,19731,0,19731,19731,0,19731
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,1,Thursday,05-Jan-17,,18957,0,18957,18957,0,18957
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,1,Friday,06-Jan-17,,13800,0,13800,13800,0,13800
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,1,Saturday,07-Jan-17,,31354,0,31354,31354,0,31354
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,1,Sunday,08-Jan-17,,16085,0,16085,16085,0,16085
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,2,Monday,09-Jan-17,,15940,0,15940,15940,0,15940
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,2,Tuesday,10-Jan-17,,18309,0,18309,18309,0,18309
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,2,Wednesday,11-Jan-17,,17440,0,17440,17440,0,17440
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,2,Thursday,12-Jan-17,,17510,0,17510,17510,0,17510
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,2,Friday,13-Jan-17,,18859,0,18859,18859,0,18859
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,2,Saturday,14-Jan-17,,24677,0,24677,24677,0,24677
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,2,Sunday,15-Jan-17,,15566,0,15566,15566,0,15566
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,3,Monday,16-Jan-17,,13910,0,13910,13910,0,13910
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,3,Tuesday,17-Jan-17,,17350,0,17350,17350,0,17350
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,3,Wednesday,18-Jan-17,,18881,0,18881,18881,0,18881
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,3,Thursday,19-Jan-17,,24876,0,24876,24876,0,24876
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,3,Friday,20-Jan-17,,18970,0,18970,18970,0,18970
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,3,Saturday,21-Jan-17,,32475,0,32475,32475,0,32475
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,3,Sunday,22-Jan-17,,7612,0,7612,7612,0,7612
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,4,Monday,23-Jan-17,,18843,0,18843,18843,0,18843
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,4,Tuesday,24-Jan-17,,19276,0,19276,19276,0,19276
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,4,Wednesday,25-Jan-17,,19245,0,19245,19245,0,19245
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,4,Thursday,26-Jan-17,,19016,0,19016,19016,0,19016
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,4,Friday,27-Jan-17,,18209,0,18209,18209,0,18209
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,4,Saturday,28-Jan-17,,29502,0,29502,29502,0,29502
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,January,4,Sunday,29-Jan-17,,14788,0,14788,14788,0,14788
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,5,Monday,30-Jan-17,,18179,0,18179,18179,0,18179
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,5,Tuesday,31-Jan-17,,16846,0,16846,16846,0,16846
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,5,Wednesday,01-Feb-17,,19448,0,19448,19448,0,19448
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,5,Thursday,02-Feb-17,,25031,0,25031,25031,0,25031
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,5,Friday,03-Feb-17,,21679,0,21679,21679,0,21679
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,5,Saturday,04-Feb-17,,38884,0,38884,38884,0,38884
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,5,Sunday,05-Feb-17,,17065,0,17065,17065,0,17065
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,6,Monday,06-Feb-17,,18791,0,18791,18791,0,18791
,,,,,,,,,,,,,
Leeds,Albion Street North,2017,February,6,Tuesday,07-Feb-17,,17077,0,17077,17077,0,17077
,,,,,,,,,,,,,
