Site,LocationName,BRCYear,BRCMonthName,BRCWeekNum,DayName,Date,Hour,InCount,OutCount,ReportCount,FactoredInCount,FactoredOutCount,FactoredReportCount,Date33,Date444
Leeds,Albion Street North,2018,February,5,Thursday,01/02/2018,,26433,0,26433,26433,0,26433,43132,43132
Leeds,Albion Street South,2018,February,5,Thursday,01/02/2018,,19506,0,19506,19506,0,19506,43132,43132
Leeds,Briggate,2018,February,5,Thursday,01/02/2018,,32161,0,32161,32161,0,32161,43132,43132
Leeds,"Briggate at McDonalds	",2018,February,5,Thursday,01/02/2018,,12866,13040,12866,12866,13040,12866,43132,43132
Leeds,Commercial Street at Barratts,2018,February,5,Thursday,01/02/2018,,19282,0,19282,19282,0,19282,43132,43132
Leeds,Commercial Street at Sharps,2018,February,5,Thursday,01/02/2018,,25785,0,25785,25785,0,25785,43132,43132
Leeds,"Dortmund Square	",2018,February,5,Thursday,01/02/2018,,19917,0,19917,19917,0,19917,43132,43132
Leeds,Headrow,2018,February,5,Thursday,01/02/2018,,16351,0,16351,16351,0,16351,43132,43132
Leeds,Albion Street North,2018,February,5,Friday,02/02/2018,,30353,0,30353,30353,0,30353,43133,43133
Leeds,Albion Street South,2018,February,5,Friday,02/02/2018,,22324,0,22324,22324,0,22324,43133,43133
Leeds,Briggate,2018,February,5,Friday,02/02/2018,,39265,0,39265,39265,0,39265,43133,43133
Leeds,"Briggate at McDonalds	",2018,February,5,Friday,02/02/2018,,15167,15526,15167,15167,15526,15167,43133,43133
Leeds,Commercial Street at Barratts,2018,February,5,Friday,02/02/2018,,21945,0,21945,21945,0,21945,43133,43133
Leeds,Commercial Street at Sharps,2018,February,5,Friday,02/02/2018,,30099,0,30099,30099,0,30099,43133,43133
Leeds,"Dortmund Square	",2018,February,5,Friday,02/02/2018,,21603,0,21603,21603,0,21603,43133,43133
Leeds,Headrow,2018,February,5,Friday,02/02/2018,,18321,0,18321,18321,0,18321,43133,43133
Leeds,Albion Street North,2018,February,5,Saturday,03/02/2018,,28093,0,28093,28093,0,28093,43134,43134
Leeds,Albion Street South,2018,February,5,Saturday,03/02/2018,,19273,0,19273,19273,0,19273,43134,43134
Leeds,Briggate,2018,February,5,Saturday,03/02/2018,,45144,0,45144,45144,0,45144,43134,43134
Leeds,"Briggate at McDonalds	",2018,February,5,Saturday,03/02/2018,,16156,16812,16156,16156,16812,16156,43134,43134
Leeds,Commercial Street at Barratts,2018,February,5,Saturday,03/02/2018,,27947,0,27947,27947,0,27947,43134,43134
Leeds,Commercial Street at Sharps,2018,February,5,Saturday,03/02/2018,,29287,0,29287,29287,0,29287,43134,43134
Leeds,"Dortmund Square	",2018,February,5,Saturday,03/02/2018,,20261,0,20261,20261,0,20261,43134,43134
