"Date","InCount","BRCWeek","LocationName","Hour","Weekday","NewDate","Month","Year","Day","Day_yr","Month_yr","Week_yr","Hour_yr","week_no","X"
"1","01/01/2011",558,52,"Briggate",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"2","01/01/2011",647,52,"Briggate",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"3","01/01/2011",639,52,"Briggate",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"4","01/01/2011",433,52,"Briggate",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"5","01/01/2011",89,52,"Briggate",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"6","01/01/2011",67,52,"Briggate",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"7","01/01/2011",102,52,"Briggate",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"8","01/01/2011",243,52,"Briggate",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"9","01/01/2011",399,52,"Briggate",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"10","01/01/2011",679,52,"Briggate",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"11","01/01/2011",844,52,"Briggate",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"12","01/01/2011",935,52,"Briggate",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"13","01/01/2011",1037,52,"Briggate",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"14","01/01/2011",550,52,"Briggate",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"15","01/01/2011",386,52,"Briggate",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"16","01/01/2011",268,52,"Briggate",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"17","01/01/2011",184,52,"Briggate",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"18","01/01/2011",180,52,"Briggate",20,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"19","01/01/2011",160,52,"Briggate",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"20","01/01/2011",148,52,"Briggate",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"21","01/01/2011",151,52,"Briggate",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"22","01/01/2011",27,52,"Briggate at McDonalds",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"23","01/01/2011",15,52,"Briggate at McDonalds",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"24","01/01/2011",22,52,"Briggate at McDonalds",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"25","01/01/2011",74,52,"Briggate at McDonalds",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"26","01/01/2011",19,52,"Briggate at McDonalds",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"27","01/01/2011",2,52,"Briggate at McDonalds",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"28","01/01/2011",4,52,"Briggate at McDonalds",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"29","01/01/2011",11,52,"Briggate at McDonalds",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"30","01/01/2011",123,52,"Briggate at McDonalds",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"31","01/01/2011",358,52,"Briggate at McDonalds",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"32","01/01/2011",666,52,"Briggate at McDonalds",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"33","01/01/2011",816,52,"Briggate at McDonalds",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"34","01/01/2011",680,52,"Briggate at McDonalds",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"35","01/01/2011",968,52,"Briggate at McDonalds",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"36","01/01/2011",926,52,"Briggate at McDonalds",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"37","01/01/2011",953,52,"Briggate at McDonalds",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"38","01/01/2011",630,52,"Briggate at McDonalds",16,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"39","01/01/2011",382,52,"Briggate at McDonalds",17,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"40","01/01/2011",171,52,"Briggate at McDonalds",18,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"41","01/01/2011",74,52,"Briggate at McDonalds",19,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"42","01/01/2011",44,52,"Briggate at McDonalds",20,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"43","01/01/2011",53,52,"Briggate at McDonalds",21,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"44","01/01/2011",41,52,"Briggate at McDonalds",22,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"45","01/01/2011",43,52,"Briggate at McDonalds",23,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"46","01/01/2011",173,52,"Albion Street North",0,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"47","01/01/2011",154,52,"Albion Street North",1,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"48","01/01/2011",158,52,"Albion Street North",2,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"49","01/01/2011",92,52,"Albion Street North",3,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"50","01/01/2011",72,52,"Albion Street North",4,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"51","01/01/2011",17,52,"Albion Street North",5,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"52","01/01/2011",20,52,"Albion Street North",6,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"53","01/01/2011",8,52,"Albion Street North",7,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"54","01/01/2011",24,52,"Albion Street North",8,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"55","01/01/2011",131,52,"Albion Street North",9,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"56","01/01/2011",214,52,"Albion Street North",10,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"57","01/01/2011",395,52,"Albion Street North",11,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"58","01/01/2011",567,52,"Albion Street North",12,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"59","01/01/2011",664,52,"Albion Street North",13,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"60","01/01/2011",711,52,"Albion Street North",14,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
"61","01/01/2011",797,52,"Albion Street North",15,"Saturday","01-Jan-11",1,2011,1,"Saturday/01-Jan-2011","Jan-11","00-2011","00, 01-Jan-2011",1,NA
