Date,Hour,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount
04/08/2014,0,Briggate,,Monday,2014,3,August,32,254,0,254
04/08/2014,0,Briggate at McDonalds ,,Monday,2014,3,August,32,95,0,95
04/08/2014,0,Commercial Street at Lush,,Monday,2014,3,August,32,21,0,21
04/08/2014,0,Commercial Street at Barratts,,Monday,2014,3,August,32,50,0,50
04/08/2014,0,Headrow,,Monday,2014,3,August,32,18,0,18
04/08/2014,0,Dortmund Square ,,Monday,2014,3,August,32,3,0,3
04/08/2014,0,Albion Street South,,Monday,2014,3,August,32,73,0,73
04/08/2014,0,Albion Street North,,Monday,2014,3,August,32,59,0,59
04/08/2014,1,Briggate,,Monday,2014,3,August,32,199,0,199
04/08/2014,1,Briggate at McDonalds ,,Monday,2014,3,August,32,45,0,45
04/08/2014,1,Commercial Street at Lush,,Monday,2014,3,August,32,7,0,7
04/08/2014,1,Commercial Street at Barratts,,Monday,2014,3,August,32,26,0,26
04/08/2014,1,Headrow,,Monday,2014,3,August,32,4,0,4
04/08/2014,1,Dortmund Square ,,Monday,2014,3,August,32,3,0,3
04/08/2014,1,Albion Street South,,Monday,2014,3,August,32,35,0,35
04/08/2014,1,Albion Street North,,Monday,2014,3,August,32,27,0,27
04/08/2014,2,Briggate,,Monday,2014,3,August,32,155,0,155
04/08/2014,2,Briggate at McDonalds ,,Monday,2014,3,August,32,56,0,56
04/08/2014,2,Commercial Street at Lush,,Monday,2014,3,August,32,4,0,4
04/08/2014,2,Commercial Street at Barratts,,Monday,2014,3,August,32,16,0,16
04/08/2014,2,Headrow,,Monday,2014,3,August,32,0,0,0
04/08/2014,2,Dortmund Square ,,Monday,2014,3,August,32,0,0,0
04/08/2014,2,Albion Street South,,Monday,2014,3,August,32,7,0,7
04/08/2014,2,Albion Street North,,Monday,2014,3,August,32,6,0,6
04/08/2014,3,Briggate,,Monday,2014,3,August,32,149,0,149
04/08/2014,3,Briggate at McDonalds ,,Monday,2014,3,August,32,27,0,27
04/08/2014,3,Commercial Street at Lush,,Monday,2014,3,August,32,5,0,5
04/08/2014,3,Commercial Street at Barratts,,Monday,2014,3,August,32,8,0,8
04/08/2014,3,Headrow,,Monday,2014,3,August,32,2,0,2
04/08/2014,3,Dortmund Square ,,Monday,2014,3,August,32,0,0,0
04/08/2014,3,Albion Street South,,Monday,2014,3,August,32,8,0,8
04/08/2014,3,Albion Street North,,Monday,2014,3,August,32,17,0,17
04/08/2014,4,Briggate,,Monday,2014,3,August,32,115,0,115
04/08/2014,4,Briggate at McDonalds ,,Monday,2014,3,August,32,26,0,26
04/08/2014,4,Commercial Street at Lush,,Monday,2014,3,August,32,20,0,20
04/08/2014,4,Commercial Street at Barratts,,Monday,2014,3,August,32,31,0,31
04/08/2014,4,Headrow,,Monday,2014,3,August,32,3,0,3
04/08/2014,4,Dortmund Square ,,Monday,2014,3,August,32,0,0,0
04/08/2014,4,Albion Street South,,Monday,2014,3,August,32,52,0,52
04/08/2014,4,Albion Street North,,Monday,2014,3,August,32,22,0,22
04/08/2014,5,Briggate,,Monday,2014,3,August,32,184,0,184
04/08/2014,5,Briggate at McDonalds ,,Monday,2014,3,August,32,76,0,76
04/08/2014,5,Commercial Street at Lush,,Monday,2014,3,August,32,54,0,54
04/08/2014,5,Commercial Street at Barratts,,Monday,2014,3,August,32,59,0,59
04/08/2014,5,Headrow,,Monday,2014,3,August,32,6,0,6
04/08/2014,5,Dortmund Square ,,Monday,2014,3,August,32,11,0,11
04/08/2014,5,Albion Street South,,Monday,2014,3,August,32,56,0,56
04/08/2014,5,Albion Street North,,Monday,2014,3,August,32,36,0,36
