Date,Hour,Sitename,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount,BusinessInCount,BusinessOutCount,BusinessTotalCount,FactoredInCount,FactoredOutCount,FactoredTotalCount
2014-12-01,0,Leeds,Briggate,,Monday,2014,4,December,49,133,0,133,0,0,0,133,0,133
2014-12-01,0,Leeds,"Briggate at McDonalds	",,Monday,2014,4,December,49,54,0,54,0,0,0,54,0,54
2014-12-01,0,Leeds,Commercial Street at Lush,,Monday,2014,4,December,49,38,0,38,0,0,0,38,0,38
2014-12-01,0,Leeds,Commercial Street at Barratts,,Monday,2014,4,December,49,53,0,53,0,0,0,53,0,53
2014-12-01,0,Leeds,Headrow,,Monday,2014,4,December,49,56,0,56,0,0,0,56,0,56
2014-12-01,0,Leeds,"Dortmund Square	",,Monday,2014,4,December,49,45,0,45,0,0,0,45,0,45
2014-12-01,0,Leeds,Albion Street South,,Monday,2014,4,December,49,53,0,53,0,0,0,53,0,53
2014-12-01,0,Leeds,Albion Street North,,Monday,2014,4,December,49,30,0,30,0,0,0,30,0,30
2014-12-01,1,Leeds,Briggate,,Monday,2014,4,December,49,88,0,88,0,0,0,88,0,88
2014-12-01,1,Leeds,"Briggate at McDonalds	",,Monday,2014,4,December,49,34,0,34,0,0,0,34,0,34
2014-12-01,1,Leeds,Commercial Street at Lush,,Monday,2014,4,December,49,22,0,22,0,0,0,22,0,22
2014-12-01,1,Leeds,Commercial Street at Barratts,,Monday,2014,4,December,49,25,0,25,0,0,0,25,0,25
2014-12-01,1,Leeds,Headrow,,Monday,2014,4,December,49,26,0,26,0,0,0,26,0,26
2014-12-01,1,Leeds,"Dortmund Square	",,Monday,2014,4,December,49,48,0,48,0,0,0,48,0,48
2014-12-01,1,Leeds,Albion Street South,,Monday,2014,4,December,49,22,0,22,0,0,0,22,0,22
2014-12-01,1,Leeds,Albion Street North,,Monday,2014,4,December,49,33,0,33,0,0,0,33,0,33
2014-12-01,2,Leeds,Briggate,,Monday,2014,4,December,49,90,0,90,0,0,0,90,0,90
2014-12-01,2,Leeds,"Briggate at McDonalds	",,Monday,2014,4,December,49,38,0,38,0,0,0,38,0,38
2014-12-01,2,Leeds,Commercial Street at Lush,,Monday,2014,4,December,49,5,0,5,0,0,0,5,0,5
2014-12-01,2,Leeds,Commercial Street at Barratts,,Monday,2014,4,December,49,10,0,10,0,0,0,10,0,10
2014-12-01,2,Leeds,Headrow,,Monday,2014,4,December,49,11,0,11,0,0,0,11,0,11
2014-12-01,2,Leeds,"Dortmund Square	",,Monday,2014,4,December,49,35,0,35,0,0,0,35,0,35
2014-12-01,2,Leeds,Albion Street South,,Monday,2014,4,December,49,14,0,14,0,0,0,14,0,14
2014-12-01,2,Leeds,Albion Street North,,Monday,2014,4,December,49,14,0,14,0,0,0,14,0,14
2014-12-01,3,Leeds,Briggate,,Monday,2014,4,December,49,50,0,50,0,0,0,50,0,50
