Date,Hour,LocationName,LocationGroup,Weekday,BRCYear,BRCQuarter,BRCMonthName,BRCWeek,InCount,OutCount,TotalCount
07/07/2014,0,Briggate,,Monday,2014,3,July,28,124,0,124
07/07/2014,0,Briggate at McDonalds ,,Monday,2014,3,July,28,66,0,66
07/07/2014,0,Commercial Street at Lush,,Monday,2014,3,July,28,62,0,62
07/07/2014,0,Commercial Street at Barratts,,Monday,2014,3,July,28,48,0,48
07/07/2014,0,Headrow,,Monday,2014,3,July,28,24,0,24
07/07/2014,0,Dortmund Square ,,Monday,2014,3,July,28,6,0,6
07/07/2014,0,Albion Street South,,Monday,2014,3,July,28,53,0,53
07/07/2014,0,Albion Street North,,Monday,2014,3,July,28,47,0,47
07/07/2014,1,Briggate,,Monday,2014,3,July,28,84,0,84
07/07/2014,1,Briggate at McDonalds ,,Monday,2014,3,July,28,30,0,30
07/07/2014,1,Commercial Street at Lush,,Monday,2014,3,July,28,32,0,32
07/07/2014,1,Commercial Street at Barratts,,Monday,2014,3,July,28,26,0,26
07/07/2014,1,Headrow,,Monday,2014,3,July,28,7,0,7
07/07/2014,1,Dortmund Square ,,Monday,2014,3,July,28,5,0,5
07/07/2014,1,Albion Street South,,Monday,2014,3,July,28,44,0,44
07/07/2014,1,Albion Street North,,Monday,2014,3,July,28,27,0,27
07/07/2014,2,Briggate,,Monday,2014,3,July,28,76,0,76
07/07/2014,2,Briggate at McDonalds ,,Monday,2014,3,July,28,21,0,21
07/07/2014,2,Commercial Street at Lush,,Monday,2014,3,July,28,14,0,14
07/07/2014,2,Commercial Street at Barratts,,Monday,2014,3,July,28,16,0,16
07/07/2014,2,Headrow,,Monday,2014,3,July,28,0,0,0
07/07/2014,2,Dortmund Square ,,Monday,2014,3,July,28,0,0,0
07/07/2014,2,Albion Street South,,Monday,2014,3,July,28,6,0,6
07/07/2014,2,Albion Street North,,Monday,2014,3,July,28,0,0,0
07/07/2014,3,Briggate,,Monday,2014,3,July,28,65,0,65
07/07/2014,3,Briggate at McDonalds ,,Monday,2014,3,July,28,9,0,9
07/07/2014,3,Commercial Street at Lush,,Monday,2014,3,July,28,6,0,6
07/07/2014,3,Commercial Street at Barratts,,Monday,2014,3,July,28,9,0,9
07/07/2014,3,Headrow,,Monday,2014,3,July,28,5,0,5
07/07/2014,3,Dortmund Square ,,Monday,2014,3,July,28,0,0,0
07/07/2014,3,Albion Street South,,Monday,2014,3,July,28,2,0,2
07/07/2014,3,Albion Street North,,Monday,2014,3,July,28,2,0,2
07/07/2014,4,Briggate,,Monday,2014,3,July,28,220,0,220
07/07/2014,4,Briggate at McDonalds ,,Monday,2014,3,July,28,27,0,27
07/07/2014,4,Commercial Street at Lush,,Monday,2014,3,July,28,16,0,16
07/07/2014,4,Commercial Street at Barratts,,Monday,2014,3,July,28,30,0,30
07/07/2014,4,Headrow,,Monday,2014,3,July,28,7,0,7
07/07/2014,4,Dortmund Square ,,Monday,2014,3,July,28,0,0,0
07/07/2014,4,Albion Street South,,Monday,2014,3,July,28,17,0,17
07/07/2014,4,Albion Street North,,Monday,2014,3,July,28,1,0,1
07/07/2014,5,Briggate,,Monday,2014,3,July,28,91,0,91
07/07/2014,5,Briggate at McDonalds ,,Monday,2014,3,July,28,45,0,45
07/07/2014,5,Commercial Street at Lush,,Monday,2014,3,July,28,79,0,79
07/07/2014,5,Commercial Street at Barratts,,Monday,2014,3,July,28,57,0,57
07/07/2014,5,Headrow,,Monday,2014,3,July,28,10,0,10
07/07/2014,5,Dortmund Square ,,Monday,2014,3,July,28,16,0,16
07/07/2014,5,Albion Street South,,Monday,2014,3,July,28,63,0,63
07/07/2014,5,Albion Street North,,Monday,2014,3,July,28,53,0,53
07/07/2014,6,Briggate,,Monday,2014,3,July,28,200,0,200
07/07/2014,6,Briggate at McDonalds ,,Monday,2014,3,July,28,138,0,138
07/07/2014,6,Commercial Street at Lush,,Monday,2014,3,July,28,111,0,111
07/07/2014,6,Commercial Street at Barratts,,Monday,2014,3,July,28,141,0,141
07/07/2014,6,Headrow,,Monday,2014,3,July,28,56,0,56
07/07/2014,6,Dortmund Square ,,Monday,2014,3,July,28,62,0,62
07/07/2014,6,Albion Street South,,Monday,2014,3,July,28,90,0,90
07/07/2014,6,Albion Street North,,Monday,2014,3,July,28,106,0,106
07/07/2014,7,Briggate,,Monday,2014,3,July,28,440,0,440
07/07/2014,7,Briggate at McDonalds ,,Monday,2014,3,July,28,271,0,271
07/07/2014,7,Commercial Street at Lush,,Monday,2014,3,July,28,435,0,435
07/07/2014,7,Commercial Street at Barratts,,Monday,2014,3,July,28,293,0,293
07/07/2014,7,Headrow,,Monday,2014,3,July,28,133,0,133
07/07/2014,7,Dortmund Square ,,Monday,2014,3,July,28,400,0,400
07/07/2014,7,Albion Street South,,Monday,2014,3,July,28,363,0,363
07/07/2014,7,Albion Street North,,Monday,2014,3,July,28,258,0,258
07/07/2014,8,Briggate,,Monday,2014,3,July,28,866,0,866
07/07/2014,8,Briggate at McDonalds ,,Monday,2014,3,July,28,530,0,530
07/07/2014,8,Commercial Street at Lush,,Monday,2014,3,July,28,857,0,857
07/07/2014,8,Commercial Street at Barratts,,Monday,2014,3,July,28,602,0,602
07/07/2014,8,Headrow,,Monday,2014,3,July,28,457,0,457
07/07/2014,8,Dortmund Square ,,Monday,2014,3,July,28,1138,0,1138
07/07/2014,8,Albion Street South,,Monday,2014,3,July,28,942,0,942
07/07/2014,8,Albion Street North,,Monday,2014,3,July,28,809,0,809
07/07/2014,9,Briggate,,Monday,2014,3,July,28,1112,0,1112
07/07/2014,9,Briggate at McDonalds ,,Monday,2014,3,July,28,590,0,590
07/07/2014,9,Commercial Street at Lush,,Monday,2014,3,July,28,922,0,922
07/07/2014,9,Commercial Street at Barratts,,Monday,2014,3,July,28,676,0,676
07/07/2014,9,Headrow,,Monday,2014,3,July,28,590,0,590
07/07/2014,9,Dortmund Square ,,Monday,2014,3,July,28,1373,0,1373
07/07/2014,9,Albion Street South,,Monday,2014,3,July,28,764,0,764
07/07/2014,9,Albion Street North,,Monday,2014,3,July,28,612,0,612
07/07/2014,10,Briggate,,Monday,2014,3,July,28,1852,0,1852
07/07/2014,10,Briggate at McDonalds ,,Monday,2014,3,July,28,773,0,773
07/07/2014,10,Commercial Street at Lush,,Monday,2014,3,July,28,1170,0,1170
07/07/2014,10,Commercial Street at Barratts,,Monday,2014,3,July,28,1012,0,1012
07/07/2014,10,Headrow,,Monday,2014,3,July,28,780,0,780
07/07/2014,10,Dortmund Square ,,Monday,2014,3,July,28,1727,0,1727
07/07/2014,10,Albion Street South,,Monday,2014,3,July,28,1061,0,1061
07/07/2014,10,Albion Street North,,Monday,2014,3,July,28,741,0,741
07/07/2014,11,Briggate,,Monday,2014,3,July,28,2622,0,2622
07/07/2014,11,Briggate at McDonalds ,,Monday,2014,3,July,28,1098,0,1098
07/07/2014,11,Commercial Street at Lush,,Monday,2014,3,July,28,1543,0,1543
07/07/2014,11,Commercial Street at Barratts,,Monday,2014,3,July,28,1462,0,1462
07/07/2014,11,Headrow,,Monday,2014,3,July,28,1126,0,1126
07/07/2014,11,Dortmund Square ,,Monday,2014,3,July,28,2376,0,2376
07/07/2014,11,Albion Street South,,Monday,2014,3,July,28,1507,0,1507
07/07/2014,11,Albion Street North,,Monday,2014,3,July,28,1258,0,1258
07/07/2014,12,Briggate,,Monday,2014,3,July,28,4460,0,4460
07/07/2014,12,Briggate at McDonalds ,,Monday,2014,3,July,28,1758,0,1758
07/07/2014,12,Commercial Street at Lush,,Monday,2014,3,July,28,3327,0,3327
07/07/2014,12,Commercial Street at Barratts,,Monday,2014,3,July,28,2466,0,2466
07/07/2014,12,Headrow,,Monday,2014,3,July,28,1961,0,1961
