"Date","InCount","outlier"
"1","2009-07-17","9195",2
"2","2009-07-18","11883",2
"3","2009-07-19","8459",2
"4","2009-07-20","7445",2
"5","2009-07-21","7800",2
"6","2009-07-22","8329",2
"7","2009-07-23","8268",2
"8","2009-07-24","12394",2
"9","2009-07-25","12691",2
"10","2009-07-26","9596",2
"11","2009-07-27","7881",2
"12","2009-07-28","7185",2
"13","2009-07-29","7152",2
"14","2009-07-30","7639",2
"15","2009-07-31","11495",2
"16","2009-08-01","11413",2
"17","2009-08-02","9979",2
"18","2009-08-03","7828",2
"19","2009-08-04","7334",2
"20","2009-08-05","7306",2
"21","2009-08-06","7991",2
"22","2009-08-07","11435",2
"23","2009-08-08","12446",2
"24","2009-08-09","10132",2
"25","2009-08-10","6411",2
"26","2009-08-11","8177",2
"27","2009-08-12","7274",2
"28","2009-08-13","8103",2
"29","2009-08-14","11063",2
"30","2009-08-15","11514",2
"31","2009-08-16","8691",2
"32","2009-08-17","6275",2
"33","2009-08-18","7491",2
"34","2009-08-19","7212",2
"35","2009-08-20","8177",2
"36","2009-08-21","13768",2
"37","2009-08-22","10520",2
"38","2009-08-23","8510",2
"39","2009-08-24","6033",2
"40","2009-08-25","7629",2
"41","2009-08-26","7192",2
"42","2009-08-27","7867",2
"43","2009-08-28","10351",2
"44","2009-08-29","10706",2
"45","2009-08-30","8993",2
"46","2009-08-31","8245",2
"47","2009-09-01","7106",2
"48","2009-09-02","6581",2
"49","2009-09-03","6729",2
"50","2009-09-04","10912",2
"51","2009-09-05","10093",2
"52","2009-09-06","7427",2
"53","2009-09-07","6022",2
"54","2009-09-08","6696",2
"55","2009-09-09","7061",2
"56","2009-09-10","7345",2
"57","2009-09-11","12264",2
"58","2009-09-12","11947",2
"59","2009-09-13","8016",2
"60","2009-09-14","5823",2
"61","2009-09-15","6571",2
"62","2009-09-16","7176",2
"63","2009-09-17","7531",2
"64","2009-09-18","11645",2
"65","2009-09-19","11906",2
"66","2009-09-20","10486",2
"67","2009-09-21","9804",2
"68","2009-09-22","10872",2
"69","2009-09-23","10072",2
"70","2009-09-24","11059",2
"71","2009-09-25","14976",2
"72","2009-09-26","14841",2
"73","2009-09-27","10822",2
"74","2009-09-28","7305",2
"75","2009-09-29","8344",2
"76","2009-09-30","9255",2
"77","2009-10-01","10041",2
"78","2009-10-02","14234",2
"79","2009-10-03","13361",2
"80","2009-10-04","9848",2
"81","2009-10-05","7922",2
"82","2009-10-06","7951",2
"83","2009-10-07","9279",2
"84","2009-10-08","8537",2
"85","2009-10-09","13030",2
"86","2009-10-10","13411",2
"87","2009-10-11","11632",2
"88","2009-10-12","7229",2
"89","2009-10-13","9170",2
"90","2009-10-14","7956",2
"91","2009-10-15","7664",2
"92","2009-10-16","12923",2
"93","2009-10-17","12767",2
"94","2009-10-18","9794",2
"95","2009-10-19","7756",2
"96","2009-10-20","7401",2
"97","2009-10-21","8613",2
"98","2009-10-22","8858",2
"99","2009-10-23","14428",2
"100","2009-10-24","13318",2
"101","2009-10-25","11699",2
"102","2009-10-26","9667",2
"103","2009-10-27","9162",2
"104","2009-10-28","9796",2
"105","2009-10-29","9928",2
"106","2009-10-30","15654",2
"107","2009-10-31","12809",2
"108","2009-11-01","11601",2
"109","2009-11-02","7249",2
"110","2009-11-03","7860",2
"111","2009-11-04","7877",2
"112","2009-11-05","8385",2
"113","2009-11-06","11094",2
"114","2009-11-07","11792",2
"115","2009-11-08","8371",2
"116","2009-11-09","7898",2
"117","2009-11-10","8280",2
"118","2009-11-11","9274",2
"119","2009-11-12","8281",2
"120","2009-11-13","12948",2
"121","2009-11-14","12850",2
"122","2009-11-15","10665",2
"123","2009-11-16","7754",2
"124","2009-11-17","7523",2
"125","2009-11-18","8153",2
"126","2009-11-19","9687",2
"127","2009-11-20","13100",2
"128","2009-11-21","13931",2
"129","2009-11-22","10153",2
"130","2009-11-23","7307",2
"131","2009-11-24","7672",2
"132","2009-11-25","8072",2
"133","2009-11-26","9396",2
"134","2009-11-27","14131",2
"135","2009-11-28","13418",2
"136","2009-11-29","7994",2
"137","2009-11-30","8509",2
"138","2009-12-01","8166",2
"139","2009-12-02","7500",2
"140","2009-12-03","8083",2
"141","2009-12-04","12495",2
"142","2009-12-05","11796",2
"143","2009-12-06","8323",2
"144","2009-12-07","6807",2
"145","2009-12-08","7948",2
"146","2009-12-09","8858",2
"147","2009-12-10","10242",2
"148","2009-12-11","14282",2
"149","2009-12-12","14874",2
"150","2009-12-13","9785",2
"151","2009-12-14","6335",2
"152","2009-12-15","6940",2
"153","2009-12-16","8290",2
"154","2009-12-17","10226",2
"155","2009-12-18","12994",2
"156","2009-12-19","12598",2
"157","2009-12-20","7005",2
"158","2009-12-21","7173",2
"159","2009-12-22","7336",2
"160","2009-12-23","8362",2
"161","2009-12-24","6297",2
"162","2009-12-25","775",2
"163","2009-12-26","7323",2
"164","2009-12-27","5199",2
"165","2009-12-28","4945",2
