"Date","InCount","outlier"
"1","2009-07-17","139390",2
"2","2009-07-18","250356",2
"3","2009-07-19","98951",2
"4","2009-07-20","197348",2
"5","2009-07-21","172605",2
"6","2009-07-22","188276",2
"7","2009-07-23","186926",2
"8","2009-07-24","193942",2
"9","2009-07-25","230078",2
"10","2009-07-26","93113",2
"11","2009-07-27","184496",2
"12","2009-07-28","178183",2
"13","2009-07-29","164966",2
"14","2009-07-30","166847",2
"15","2009-07-31","199224",2
"16","2009-08-01","219428",2
"17","2009-08-02","125434",2
"18","2009-08-03","196815",2
"19","2009-08-04","174565",2
"20","2009-08-05","172886",2
"21","2009-08-06","188587",2
"22","2009-08-07","192675",2
"23","2009-08-08","229349",2
"24","2009-08-09","93978",2
"25","2009-08-10","161202",2
"26","2009-08-11","197596",2
"27","2009-08-12","189630",2
"28","2009-08-13","178625",2
"29","2009-08-14","189334",2
"30","2009-08-15","221090",2
"31","2009-08-16","98754",2
"32","2009-08-17","176879",2
"33","2009-08-18","185111",2
"34","2009-08-19","180466",2
"35","2009-08-20","162176",2
"36","2009-08-21","169575",2
"37","2009-08-22","224999",2
"38","2009-08-23","89947",2
"39","2009-08-24","161927",2
"40","2009-08-25","196043",2
"41","2009-08-26","166348",2
"42","2009-08-27","192371",2
"43","2009-08-28","189992",2
"44","2009-08-29","245957",2
"45","2009-08-30","103665",2
"46","2009-08-31","130940",2
"47","2009-09-01","201774",2
"48","2009-09-02","181724",2
"49","2009-09-03","150390",2
"50","2009-09-04","170409",2
"51","2009-09-05","220316",2
"52","2009-09-06","98793",2
"53","2009-09-07","175274",2
"54","2009-09-08","157630",2
"55","2009-09-09","168388",2
"56","2009-09-10","173180",2
"57","2009-09-11","181258",2
"58","2009-09-12","253298",1
"59","2009-09-13","98304",2
"60","2009-09-14","142834",2
"61","2009-09-15","149539",2
"62","2009-09-16","148226",2
"63","2009-09-17","164184",2
"64","2009-09-18","171739",2
"65","2009-09-19","272012",1
"66","2009-09-20","131188",2
"67","2009-09-21","157009",2
"68","2009-09-22","165354",2
"69","2009-09-23","169045",2
"70","2009-09-24","184590",2
"71","2009-09-25","192134",2
"72","2009-09-26","298149",1
"73","2009-09-27","121518",2
"74","2009-09-28","179921",2
"75","2009-09-29","173788",2
"76","2009-09-30","183716",2
"77","2009-10-01","188726",2
"78","2009-10-02","192202",2
"79","2009-10-03","275114",1
"80","2009-10-04","133067",2
"81","2009-10-05","164725",2
"82","2009-10-06","147676",2
"83","2009-10-07","182714",2
"84","2009-10-08","179769",2
"85","2009-10-09","181440",2
"86","2009-10-10","308731",1
"87","2009-10-11","131937",2
"88","2009-10-12","160722",2
"89","2009-10-13","174718",2
"90","2009-10-14","155780",2
"91","2009-10-15","160609",2
"92","2009-10-16","194923",2
"93","2009-10-17","293435",1
"94","2009-10-18","120459",2
"95","2009-10-19","153832",2
"96","2009-10-20","149258",2
"97","2009-10-21","158538",2
"98","2009-10-22","167817",2
"99","2009-10-23","202879",2
"100","2009-10-24","263021",1
"101","2009-10-25","125444",2
"102","2009-10-26","218685",2
"103","2009-10-27","224990",2
"104","2009-10-28","241522",2
"105","2009-10-29","242904",2
"106","2009-10-30","272784",1
"107","2009-10-31","257603",1
"108","2009-11-01","76048",2
"109","2009-11-02","166317",2
"110","2009-11-03","164590",2
"111","2009-11-04","155732",2
"112","2009-11-05","164187",2
"113","2009-11-06","175222",2
"114","2009-11-07","346009",1
"115","2009-11-08","123413",2
"116","2009-11-09","173836",2
"117","2009-11-10","162272",2
"118","2009-11-11","178826",2
"119","2009-11-12","171912",2
"120","2009-11-13","190605",2
"121","2009-11-14","322112",1
"122","2009-11-15","161248",2
"123","2009-11-16","152853",2
"124","2009-11-17","174694",2
"125","2009-11-18","147070",2
"126","2009-11-19","186645",2
"127","2009-11-20","207348",2
"128","2009-11-21","327604",1
"129","2009-11-22","143115",2
"130","2009-11-23","170731",2
"131","2009-11-24","169037",2
"132","2009-11-25","174054",2
"133","2009-11-26","205526",2
"134","2009-11-27","241413",2
"135","2009-11-28","418353",1
"136","2009-11-29","140489",2
"137","2009-11-30","218397",2
"138","2009-12-01","208841",2
"139","2009-12-02","211337",2
