"V1","V2","V3","V4"
"2017-04-01","0","2017-04-01-0","2909"
"2017-04-01","1","2017-04-01-1","2337"
"2017-04-01","2","2017-04-01-2","1862"
"2017-04-01","3","2017-04-01-3","1285"
"2017-04-01","4","2017-04-01-4","851"
"2017-04-01","5","2017-04-01-5","466"
"2017-04-01","6","2017-04-01-6","679"
"2017-04-01","7","2017-04-01-7","811"
"2017-04-01","8","2017-04-01-8","2223"
"2017-04-01","9","2017-04-01-9","5587"
"2017-04-01","10","2017-04-01-10","11088"
"2017-04-01","11","2017-04-01-11","17797"
"2017-04-01","12","2017-04-01-12","24845"
"2017-04-01","13","2017-04-01-13","28458"
"2017-04-01","14","2017-04-01-14","31621"
"2017-04-01","15","2017-04-01-15","28486"
"2017-04-01","16","2017-04-01-16","24227"
"2017-04-01","17","2017-04-01-17","17634"
"2017-04-01","18","2017-04-01-18","11139"
"2017-04-01","19","2017-04-01-19","7786"
"2017-04-01","20","2017-04-01-20","5100"
"2017-04-01","21","2017-04-01-21","4510"
"2017-04-01","22","2017-04-01-22","4989"
"2017-04-01","23","2017-04-01-23","4035"
"2017-04-02","0","2017-04-02-0","2953"
"2017-04-02","1","2017-04-02-1","2539"
"2017-04-02","2","2017-04-02-2","2002"
"2017-04-02","3","2017-04-02-3","1412"
"2017-04-02","4","2017-04-02-4","882"
"2017-04-02","5","2017-04-02-5","361"
"2017-04-02","6","2017-04-02-6","376"
"2017-04-02","7","2017-04-02-7","443"
"2017-04-02","8","2017-04-02-8","725"
"2017-04-02","9","2017-04-02-9","1757"
"2017-04-02","10","2017-04-02-10","4602"
"2017-04-02","11","2017-04-02-11","10508"
"2017-04-02","12","2017-04-02-12","14602"
"2017-04-02","13","2017-04-02-13","17654"
"2017-04-02","14","2017-04-02-14","18745"
"2017-04-02","15","2017-04-02-15","16047"
"2017-04-02","16","2017-04-02-16","12299"
"2017-04-02","17","2017-04-02-17","6138"
"2017-04-02","18","2017-04-02-18","3596"
"2017-04-02","19","2017-04-02-19","2489"
"2017-04-02","20","2017-04-02-20","1758"
"2017-04-02","21","2017-04-02-21","1485"
"2017-04-02","22","2017-04-02-22","1390"
"2017-04-02","23","2017-04-02-23","631"
"2017-04-03","0","2017-04-03-0","342"
"2017-04-03","1","2017-04-03-1","266"
"2017-04-03","2","2017-04-03-2","212"
"2017-04-03","3","2017-04-03-3","113"
"2017-04-03","4","2017-04-03-4","139"
"2017-04-03","5","2017-04-03-5","306"
"2017-04-03","6","2017-04-03-6","814"
"2017-04-03","7","2017-04-03-7","2563"
"2017-04-03","8","2017-04-03-8","6234"
"2017-04-03","9","2017-04-03-9","6539"
"2017-04-03","10","2017-04-03-10","10463"
"2017-04-03","11","2017-04-03-11","15961"
"2017-04-03","12","2017-04-03-12","23603"
"2017-04-03","13","2017-04-03-13","23379"
"2017-04-03","14","2017-04-03-14","18054"
"2017-04-03","15","2017-04-03-15","17340"
"2017-04-03","16","2017-04-03-16","16684"
"2017-04-03","17","2017-04-03-17","15330"
"2017-04-03","18","2017-04-03-18","9706"
"2017-04-03","19","2017-04-03-19","5098"
"2017-04-03","20","2017-04-03-20","2773"
"2017-04-03","21","2017-04-03-21","2121"
"2017-04-03","22","2017-04-03-22","1389"
"2017-04-03","23","2017-04-03-23","696"
"2017-04-04","0","2017-04-04-0","545"
"2017-04-04","1","2017-04-04-1","253"
"2017-04-04","2","2017-04-04-2","313"
"2017-04-04","3","2017-04-04-3","169"
"2017-04-04","4","2017-04-04-4","331"
"2017-04-04","5","2017-04-04-5","363"
"2017-04-04","6","2017-04-04-6","930"
"2017-04-04","7","2017-04-04-7","2781"
